,làm,gì,khi,con,quá,hiếu,động,đừng,lo,ngại,nếu,bạn,có,những,biểu,hiện,hưng,phấn,như,vận,thường,xuyên,và,không,mục,đích,túm,lấy,ném,các,đồ,vật,đu,đưa,chân,vung,vẩy,tay,phải,bé,trí,tuệ,kém,hơn,so,với,bè,mà,chỉ,tập,trung,nhanh,nhẹn,đó,là,sự,thế,nào,để,xác,định,đứa,trẻ,hay,đơn,giản,nó,sống,hoạt,bát,bởi,vì,hiếm,trái,tim,thiên,vị,của,người,mẹ,cảm,giác,vậy,một,số,sau,dễ,tích,cực,xu,hướng,thay,đổi,đột,ngột,tâm,trạng,xúc,thái,rối,loạn,phối,hợp,khó,khăn,trong,học,triệu,chứng,này,thể,tình,còn,bình,tĩnh,trở,lại,cư,xử,hoàn,toàn,nhưng,giây,phút,hoi,bộ,thời,gian,đôi,nói,luyên,thuyên,nghỉ,nội,dung,câu,gây,do,nhiều,tưởng,tượng,ít,logic,đầu,xuất,ý,tin,nhất,hành,vượt,trước,nghĩ,lao,vào,cái,suy,tính,hết,từ,nảy,sinh,côn,cha,thày,cô,chịu,nổi,ngoài,ra,rất,đánh,nhau,chúng,điều,được,cẩn,thận,phạm,đến,cùng,trang,lứa,mới,nguyên,nhân,lộn,cũng,khác,chẳng,hạn,năng,cố,tiến,tới,vai,trò,thủ,lĩnh,thu,hút,nhận,ủng,hộ,theo,sẽ,mình,ai,muốn,kết,cỏi,khả,thấp,chú,môn,lỗi,bài,hiểu,tổ,chức,bản,thân,luôn,kịp,bị,xao,lãng,thầy,rằng,nghe,giảng,nhà,lý,cho,em,dường,bơi,dòng,nước,nghĩa,xộn,tự,đi,cảnh,bên,ví,dụ,nhìn,thấy,chó,sân,chính,tả,thiếu,kỷ,luật,tư,duy,phát,ngôn,nên,vốn,nghèo,nàn,gặp,việc,đặc,biệt,chật,trừu,xảy,giảm,thứ,cấp,triển,đáng,tiếc,ban,thông,minh,hề,chữa,trị,hội,đòi,hỏi,tổng,thêm,đa,trường,thuốc,chiếm,chủ,đạo,cần,bắt,vạch,cách,quan,hệ,đúng,đắn,đối,sao,ấm,cúng,hồn,bao,giờ,thành,xua,đuổi,khỏi,liễu,lòng,hàng,loạt,mặc,nỗi,tức,giận,vấn,đề,nghiêm,trọng,cuối,càng,hung,hăng,dữ,tạo,khí,yên,phòng,cao,giọng,bật,tivi,quấy,rầy,dọn,chơi,chiếc,xe,đạp,yêu,thích,ngủ,tất,cả,tắt,đèn,giữ,lặng,màu,sắc,sặc,sỡ,tốt,chọn,nhã,tường,gỗ,loại,gắng,ngày,ngặt,dạo,xem,trên,máy,vi,trời,lực,rỗi,ở,nhiên,bóng,đá,tennis,hòa,thiết,đều,đặn,chạy,mức,buổi,tối,thiếp,chóng,mệt,đạt,chưa,tuổi,hãy,lớp,15,mỗi,ngồi,riêng,bàn
0,0.018793359854908997,0.024445407498776307,0.020350261939341863,0.048890814997552615,0.03251023275981483,0.018793359854908997,0.025082286579930554,0.03844680264593823,0.03144610507235727,0.03144610507235727,0.02219168626603081,0.01744470992519535,0.01966342290218929,0.011095843133015405,0.027350959512922823,0.02219168626603081,0.027350959512922823,0.027350959512922823,0.018793359854908997,0.027350959512922823,0.02219168626603081,0.027350959512922823,0.015395033443787183,0.005159273246892009,0.03144610507235727,0.03144610507235727,0.03844680264593823,0.03844680264593823,0.03844680264593823,0.020350261939341863,0.020350261939341863,0.03144610507235727,0.03844680264593823,0.03844680264593823,0.03844680264593823,0.03844680264593823,0.03844680264593823,0.03844680264593823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,0.03409647849015455,0.019216526927139533,,,,,,,,,,0.015045146320064748,0.010084034073470746,,,,,,,,,,,,,,,0.047779660111244605,0.036732476080049405,0.05345869359344006,0.05345869359344006,0.12292568346466932,0.0953140915003662,0.07514602335342471,0.043374659519969314,0.05345869359344006,0.043374659519969314,0.047779660111244605,0.043374659519969314,0.05345869359344006,0.06146284173233466,0.07514602335342471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,0.1164950007226698,0.13468574562684782,0.08987819357808448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08451407968285093,0.13468574562684782,0.13468574562684782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.018366238040024702,,0.019887755986175003,0.023889830055622303,0.015885681916727703,0.018366238040024702,0.02451223461220486,,,,,0.017048239245077274,0.009608263463569766,,,,,,0.018366238040024702,,,,0.007522573160032374,0.005042017036735373,,,,,,,,,,,,,,,,0.018366238040024702,,,,,,,,,0.023889830055622303,,,,,,0.036732476080049405,,0.03073142086616733,0.023889830055622303,0.02672934679672003,0.03073142086616733,0.03073142086616733,0.043374659519969314,0.009044091106182673,0.03073142086616733,0.037573011676712356,0.037573011676712356,0.018366238040024702,0.037573011676712356,0.02672934679672003,0.037573011676712356,0.023889830055622303,0.023889830055622303,0.03073142086616733,0.037573011676712356,0.037573011676712356,0.03073142086616733,0.037573011676712356,0.01484573894943963,0.03073142086616733,0.023889830055622303,0.021687329759984657,0.03073142086616733,0.023889830055622303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,0.01519500009426128,0.017567705951327978,0.03516972792185914,,,,,,0.018381025756394335,,0.05113440256763832,0.041488804758231516,0.02556720128381916,0.02556720128381916,,0.05113440256763832,,,0.007195504761770096,0.0048227989047033995,,,,,,,,,,,,,,,,,,,,,,,,,,0.041488804758231516,0.02556720128381916,,,,,,,,,,,,0.008650869753739947,,,,,,,,,,,,,,,,,,0.020744402379115758,,,0.016307011451813045,0.02556720128381916,0.029395272132855706,0.029395272132855706,0.035939402473377034,0.035939402473377034,0.035939402473377034,0.035939402473377034,0.035939402473377034,0.035939402473377034,0.035939402473377034,0.035939402473377034,0.02556720128381916,0.029395272132855706,0.02556720128381916,0.035939402473377034,0.035939402473377034,0.035939402473377034,0.035939402473377034,0.02556720128381916,0.020744402379115758,0.029395272132855706,0.011023575610806644,0.01902307094329783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.03365620243814231,,,,,,,,,,0.016260138169118067,0.018350817489217786,,0.03670163497843557,0.045234279194449285,0.045234279194449285,,,0.03670163497843557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015305384948924524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0520070199273601,,,,,,,,,0.019503249157580987,,0.06358509668366708,0.0520070199273601,0.045234279194449285,0.06731240487628462,0.06358509668366708,0.040428943171053125,0.1040140398547202,0.0520070199273601,0.0520070199273601,0.03670163497843557,0.06358509668366708,0.06358509668366708,0.045234279194449285,0.040428943171053125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,0.059640156839957804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06338555976213821,0.10101430922013586,,,,,,,,,,,,,,,,,,0.1690228147639203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13139406530592265,0.20665156422191797,0.20665156422191797,0.20665156422191797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,0.029959397859361494,,,,,,0.02348686624428165,,,,,,,0.06533840328087118,0.05301347274662915,0.06533840328087118,0.018388512168968023,0.012324930534242022,0.0751212510061868,0.0751212510061868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05301347274662915,0.022107778259557644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028171359894283647,,,,,,,0.05839736235818784,,,,0.05301347274662915,,,,0.05839736235818784,,,,,0.0751212510061868,0.05301347274662915,0.05301347274662915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.032409676421914814,,0.05177555587674214,,,,0.05008083400412453,0.05008083400412453,,,0.0156579108295211,,,,,,,,,,0.012259008112645348,0.008216620356161348,,,,,,0.032409676421914814,,,,,,,,,,0.02993016569485507,,,,,,,,0.035342315164419436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061230093102790505,0.10016166800824906,0.061230093102790505,0.061230093102790505,0.061230093102790505,0.061230093102790505,0.061230093102790505,0.061230093102790505,0.03893157490545856,0.03893157490545856,0.03893157490545856,0.035342315164419436,0.05008083400412453,0.05008083400412453,0.061230093102790505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,0.047712125471966245,,0.047712125471966245,,,,,0.09542425094393249,0.05880456295278407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025354223904855283,0.04040572368805435,,,0.05255762612236906,,,,,0.01989700043360188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047712125471966245,,0.025354223904855283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09542425094393249,,,,0.05880456295278407,0.0826606256887672,0.07501225267834001,0.0826606256887672,0.0826606256887672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
