,anh,thành,cố,lần,cuối,cứu,vãn,cuộc,tình,tôi,hiểu,khó,chịu,của,khi,nghe,sự,so,sánh,từ,người,yêu,đàn,ông,xưa,nay,thế,với,họ,nếu,không,có,một,chút,tự,ái,và,lúc,nào,nghĩ,rằng,mình,tài,giỏi,thì,phải,là,vì,vậy,luôn,nổi,khùng,ai,đó,bì,khác,from,vu,tranto,tamsuvnexpress,net,sent,tuesday,may,25,2004,610,pm,subject,dan,ong,phai,lanh,lung,chào,bạn,gái,nhất,ta,kém,cỏi,gì,điều,này,như,mũi,dao,đâm,vào,tim,thể,xinh,đẹp,giàu,sang,hoặc,đi,chăng,nữa,nhưng,thiếu,cảm,thông,trai,những,đều,vô,nghĩa,sẽ,dẫn,tới,bất,đồng,hai,ngày,càng,lớn,hơn,quả,bom,bùng,nổ,cứ,đây,nên,thẳng,thắn,bàn,cô,ấy,cách,hay,để,trắc,nghiệm,cùng,nhau,lập,danh,sách,thấy,ở,đưa,ra,tham,khảo,nhỏ,nhặt,vượt,qua,2,đến,chuyện,tiếp,tục,mối,quan,hệ,hãy,đừng,làm,mờ,lý,trí,ạ,cũng,níu,kéo,nó,nằm,ngoài,vòng,tay,can,đảm,muốn,nói,lời,chia,đâu,cạnh,mà,mong,nhìn,hạnh,phúc,đúng,thà,mang,tiếng,bỏ,được,dù,đau,khổ,tức,thời,đáng,nhỉ,xem,kết,tin,đàng,hoàng,lại,giả,sử,đang,quen,cũ,giống,thành22,05,cần,tỉnh,táo,trong,này22,còn,chần,chừ,tâm,h,21,đơn,giản,thôi21,suy,lại21
0,0.02257715743528314,0.02617652136208532,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.05656652155060788,0.05656652155060788,0.043478260869565216,0.02617652136208532,0.03039000018852256,0.043478260869565216,0.03582211917149212,0.03582211917149212,0.019823128506509757,0.03039000018852256,0.03039000018852256,0.02617652136208532,0.02617652136208532,0.03582211917149212,0.043478260869565216,0.008134201885093237,0.02617652136208532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.024102413942621338,0.01372206926455302,0.041521378712273266,0.018030301561390953,0.031443583148256855,0.01372206926455302,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.020760689356136633,0.024102413942621338,0.018030301561390953,0.024102413942621338,0.020760689356136633,0.010380344678068316,0.028410646239459266,0.028410646239459266,0.020760689356136633,0.020760689356136633,0.015721791574128428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,0.04368562527100118,0.04368562527100118,,0.03762874945799765,,,0.011692915209821528,,,,,,,0.02487125054200235,0.03762874945799765,,,,,,,,,,,,,0.018814374728998825,,,,,,0.0625,0.0625,0.0625,0.0625,0.0625,0.05149429630901992,0.03762874945799765,0.0625,0.05149429630901992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3252574989159953,0.3252574989159953,0.3252574989159953,0.3252574989159953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.015735594576106432,,,,,,,,,0.021180909222303604,0.030303030303030304,0.024966931543767237,0.024966931543767237,0.027632239736346934,0.021180909222303604,0.021180909222303604,0.018244242161453407,0.018244242161453407,0.024966931543767237,0.030303030303030304,0.005669292222943771,,,,,,,,,,,,,,,,,,,,,0.009122121080726703,,,,,,,,,,,,,,,,,,,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.024966931543767237,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.024966931543767237,0.021180909222303604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.024102413942621338,0.01372206926455302,0.041521378712273266,0.018030301561390953,0.031443583148256855,0.01372206926455302,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.020760689356136633,0.024102413942621338,0.018030301561390953,0.024102413942621338,0.020760689356136633,0.010380344678068316,0.028410646239459266,0.028410646239459266,0.020760689356136633,0.020760689356136633,0.015721791574128428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,0.04368562527100118,0.04368562527100118,,0.03762874945799765,,,0.011692915209821528,,,,,,,0.02487125054200235,0.03762874945799765,,,,,,,,,,,,,0.018814374728998825,,,,,,0.0625,0.0625,0.0625,0.0625,0.0625,0.05149429630901992,0.03762874945799765,0.0625,0.05149429630901992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.012981865525287807,,,,,,,,,,,,,,,,,,,,0.009354332167857223,,,,,,,,,,0.02279659778248622,,,,,,,,,,,,,,0.03010299956639812,0.03010299956639812,0.04559319556497244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.05,0.034948500216800946,0.05,0.034948500216800946,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.06505149978319906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0066573669360450284,,,,,,,,,,,,,0.011690562965377549,,,0.015437435675075958,,,,0.00479709341941396,,,,,,0.017922307803487664,0.010203589965949682,,0.013407147314880451,,0.020407179931899364,,,,,,,0.013407147314880451,,,0.007718717837537979,0.02112586515241843,0.02112586515241843,,,0.011690562965377549,,,,,,,0.015437435675075958,,,,,,,,,,,,,,,,,,,,,,0.04225173030483686,0.017922307803487664,,,,,,0.017922307803487664,,,,,,,,0.03584461560697533,0.033359743478563623,0.033359743478563623,0.033359743478563623,0.033359743478563623,0.033359743478563623,0.06671948695712725,0.033359743478563623,0.02564102564102564,0.02564102564102564,0.033359743478563623,0.02564102564102564,0.033359743478563623,0.033359743478563623,0.02112586515241843,0.033359743478563623,0.033359743478563623,0.02564102564102564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,0.016886368727767567,,,0.02229851819733194,0.02229851819733194,0.030515138553493287,,0.006929134939153498,,,,,,,,,,,0.014738518839705096,,,,,0.02229851819733194,0.02588777793837107,0.019365879454827317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02588777793837107,,,,,,0.02588777793837107,,,,,,,,,,,,,,,,,,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.09637259227140602,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.037037037037037035,0.04818629613570301,0.04818629613570301,0.04818629613570301,0.04818629613570301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
