,cách,gần,gũi,với,con,nếu,chuyện,trò,hiểu,được,tính,tình,khả,năng,của,trẻ,sẽ,giúp,cha,mẹ,kịp,thời,uốn,nắn,những,khiếm,khuyết,các,bậc,phụ,huynh,nên,thực,hiện,công,việc,này,từ,sớm,mỗi,ngày,chỉ,mất,15,phút,và,không,khó,khăn,gì,đầu,tiên,phải,tạo,môi,trường,thân,thiện,để,có,thể,cởi,mở,hãy,bắt,bằng,nhìn,ngắm,trong,yên,lặng,chú,ý,tới,biểu,xem,nó,vui,buồn,hay,e,ngại,dùng,cho,thấy,bạn,đang,lắng,nghe,nói,như,bố,à,ồ,ừm,bày,tỏ,dấu,hiệu,khuyến,khích,tiếp,tục,còn,nữa,kể,đi,điều,đó,thế,nào,sau,thì,sao,sử,dụng,cụm,gợi,mong,làm,nghĩ,xảy,ra,muốn,đừng,phủ,nhận,thường,lãng,khỏi,cảm,xúc,chúng,cũng,rằng,lúc,đưa,lời,khuyên,tìm,giải,pháp,rất,thông,minh,sự,hỗ,trợ,đúng,chỗ,tự,quyết,mình,thứ,đến,biết,khen,động,thái,củng,cố,lòng,trọng,hành,vi,đắn,ngợi,tăng,mối,quan,hệ,gắn,bó,giữa,cái,góp,phần,xây,dựng,cần,dành,một,vào,mắt,trìu,mến,ngồi,sát,lại,mỉm,cười,cụ,đã,dọn,dẹp,căn,phòng,thật,tuyệt,vời,ngay,khi,đáng,tuyên,dương,thành,giảm,quả,quá,nhiều
0,0.031299927407935434,0.037821825891479185,0.04897108499014516,0.04897108499014516,0.009001409210603497,0.031299927407935434,0.026672566792813216,0.037821825891479185,0.031299927407935434,0.031299927407935434,0.04897108499014516,0.037821825891479185,0.04897108499014516,0.04897108499014516,0.017671157582209718,0.02308330705177409,0.031299927407935434,0.037821825891479185,0.020150668309269468,0.01362876982572572,0.04897108499014516,0.04897108499014516,0.04897108499014516,0.04897108499014516,0.037821825891479185,0.04897108499014516,0.04897108499014516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03131127406112856,0.05748779542321388,0.05748779542321388,0.05748779542321388,0.04439953474217122,0.03674339304409812,0.03131127406112856,0.04439953474217122,0.03674339304409812,0.03674339304409812,0.04439953474217122,0.05748779542321388,0.05748779542321388,0.05748779542321388,0.04439953474217122,0.05748779542321388,0.05748779542321388,0.04439953474217122,0.020744402379115758,0.03674339304409812,0.05748779542321388,0.05748779542321388,0.03131127406112856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,0.012791476246647076,,0.03790312123189247,0.053746805214207265,,,,,,,,,,,0.028635160228961877,0.019367199226031286,,,,,,,,,,,,,,,,,,,,,,,,,,0.02511164498524539,,,,,0.053746805214207265,0.06959048919652207,0.03790312123189247,0.06959048919652207,0.06959048919652207,0.06959048919652207,0.06959048919652207,0.06959048919652207,0.053746805214207265,0.04447884421127667,0.032802594231468446,0.06959048919652207,0.053746805214207265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.030182072857652027,,,,0.017359860620449603,,,,,,,,,,0.017040044811416515,,,,,,,,,,,,,0.025719975121641318,,,,,,0.025719975121641318,,,,,,,,,,,,,0.030182072857652027,,,0.025719975121641318,0.03647104639535493,,,,,,,,,,,,,0.025719975121641318,0.047222117669068545,0.03647104639535493,0.03647104639535493,0.047222117669068545,0.03647104639535493,0.047222117669068545,0.047222117669068545,0.030182072857652027,0.025719975121641318,0.047222117669068545,0.03647104639535493,0.03647104639535493,0.047222117669068545,0.047222117669068545,0.047222117669068545,0.025719975121641318,0.047222117669068545,0.047222117669068545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,0.013502113815905246,,,,0.046949891111903154,,,,,,,,,,,0.020443154738588577,,,,,,,,0.040008850189219826,,,,,,0.040008850189219826,,,,,,,,,,,,,,,,,,,,,,,,,,0.046949891111903154,0.03462496057766114,,,,,,,,,,,,,,0.05673273883721878,,,,,,,,0.07345662748521774,0.040008850189219826,0.046949891111903154,0.046949891111903154,0.05673273883721878,0.07345662748521774,0.07345662748521774,0.046949891111903154,0.05673273883721878,0.046949891111903154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4407397649113064,0.4407397649113064,0.4407397649113064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,0.012151902434314722,,,,,,,,,,,,,,,0.01839883926472972,,,,,,,,,,,,,,,,,,,,,,,,,,0.023856062735983122,,,,0.03600796517029785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03600796517029785,,,,,,0.04225490200071284,,0.04225490200071284,,,,0.051059464953496905,0.04225490200071284,0.06611096473669596,0.051059464953496905,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.13222192947339192,0.06611096473669596,0.06611096473669596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,0.04418873612478081,,,,0.07682709454675062,,,,,,,,,,,0.033452435026781316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06546902758235972,,,,,,,,,,,,0.07682709454675062,,,,,,,0.07682709454675062,,,,,,,,,,,,,,,,0.09283539082453983,0.06546902758235972,0.09283539082453983,0.07682709454675062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1440318606811914,0.20423785981398762,,0.20423785981398762,0.26444385894678385,0.20423785981398762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.025609031515583542,,,,0.022094368062390405,0.025609031515583542,0.02182300919411991,,,0.025609031515583542,,,,,,,0.051218063031167084,,0.01648691043485684,0.01115081167559377,,,,,,,,0.02182300919411991,,,,,,,,,,0.03094513027484661,,,,,,,,,,,,0.04364601838823982,,,,,,,,,,,,,0.03094513027484661,0.02182300919411991,,,,,0.03094513027484661,,,,,,,,,,,,,,,,,,,,,0.025609031515583542,0.03094513027484661,,,,,,,,,,,,,,,,,0.06189026054969322,,,,,,,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04006725135557331,0.04364601838823982,0.04006725135557331,0.04006725135557331,0.02182300919411991,0.04006725135557331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
