,anh,minh,ơi,tình,yêu,luôn,gắn,liền,với,sự,chung,thủy,con,gái,việt,nam,có,phẩm,hạnh,muốn,vun,đắp,cho,đích,thực,thì,họ,sẽ,không,bao,giờ,bắt,cá,hai,tay,dù,hoàn,cảnh,thế,nào,chăng,nữa,thậm,chí,nếu,càng,ở,xa,nhau,người,ta,phải,giác,hơn,già,trong,cách,ăn,nói,đấy,để,ai,thể,hiểu,nhầm,mình,được,from,nguyen,nguyet,to,tamsuvnexpress,net,sent,monday,may,17,2004,1125,pm,subject,ve,chuyen,bat,ca,và,duy,thân,mến,đọc,tâm,của,tôi,cảm,thông,những,nỗi,niềm,mà,các,bạn,đang,trải,qua,nhưng,rằng,cứ,là,như,vậy,đâu,ạ,tin,một,lòng,tự,trọng,bản,khẳng,định,xấu,cuộc,đời,tốt,nên,mỗi,đặt,ra,tiêu,thôi,lẽ,cần,tỉnh,táo,hãy,xác,sống,khi,cưới,rồi,liệu,vợ,suốt,tìm,câu,trả,lời,về,gia,đình,phúc,nghĩ,đi,du,học,cả,cũng,lưu,sinh,chuỗi,ngày,quả,khủng,khiếp,đặc,biệt,xứ,cô,đơn,vô,cùng,tháng,đã,làm,chúng,lớn,lên,nhớ,quý,đó,chỗ,gian,dối,đừng,theo,vẫn,điều,rất,nhiều,phụ,nữ,nay,niệm,mong,ái,mù,quáng,yêu18,05,minh17,đau,khổ,nhiều17,cố,gắng,mới,xây,bức,tường,yêu15,tay13
0,0.01742679013550362,0.014710730644018838,0.027798991325061497,0.02176531958996458,0.014109177891891483,0.01742679013550362,0.02125486098454017,0.02125486098454017,0.01088265979498229,0.014710730644018838,0.01742679013550362,0.01742679013550362,0.014710730644018838,0.014710730644018838,0.01742679013550362,0.01742679013550362,0.016333200606995016,0.02125486098454017,0.014710730644018838,0.01742679013550362,0.02125486098454017,0.02125486098454017,0.029421461288037676,0.014710730644018838,0.01260399123080022,0.014710730644018838,0.02125486098454017,0.01260399123080022,0.006059860890278889,0.01742679013550362,0.01742679013550362,0.01742679013550362,0.01742679013550362,0.01260399123080022,0.01742679013550362,0.02125486098454017,0.02125486098454017,0.01260399123080022,0.02125486098454017,0.02125486098454017,0.02125486098454017,0.014710730644018838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,0.012118181095512432,,,,,,,,,,,,0.008992051643639642,,,,,,,,,0.01870269666505839,,,,0.02182882611693118,0.03153947113834993,0.02585910794300537,0.03153947113834993,0.06307894227669986,0.02585910794300537,0.016148462921586622,0.02585910794300537,0.005316459633741682,0.03153947113834993,0.016148462921586622,0.03153947113834993,0.05171821588601074,0.03153947113834993,0.016148462921586622,0.02585910794300537,0.03153947113834993,0.016148462921586622,0.02585910794300537,0.02182882611693118,0.03153947113834993,0.02182882611693118,0.02585910794300537,0.03153947113834993,0.02182882611693118,0.02182882611693118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.11278226827081109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2131256001588048,0.2131256001588048,0.2131256001588048,0.2131256001588048,0.2131256001588048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.03643783391968939,0.015379400218746968,,,,,,,0.011377326149299666,0.030758800437493936,,,,,,,,,,,,,,,0.01317689992310932,,,,,,,,,0.02635379984621864,0.018218916959844695,,,,,,,,,,,,,,,0.003745687469227095,,0.011377326149299666,,,,,,,,,,,,,,,,,,,,,0.02906258183983702,0.02906258183983702,0.02906258183983702,0.02906258183983702,0.02906258183983702,0.022220991029291995,0.02906258183983702,0.02906258183983702,0.02906258183983702,0.02906258183983702,0.02906258183983702,0.02906258183983702,0.02906258183983702,0.022220991029291995,0.02906258183983702,0.018218916959844695,0.02906258183983702,0.02906258183983702,0.022220991029291995,0.01317689992310932,0.006335309112564294,0.02906258183983702,0.02906258183983702,0.015379400218746968,0.02906258183983702,0.02906258183983702,0.015379400218746968,0.015379400218746968,0.011377326149299666,0.018218916959844695,0.02906258183983702,0.02906258183983702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,0.016225554575675205,,,,,,,,0.03383468048124333,0.03383468048124333,,,,,,0.040081617311658324,,,,,,,,,0.013937680047641447,,,,,0.028989179830840508,,,,,,,,,,,,,,0.025030117528459267,,0.00824051243229961,,0.025030117528459267,,,,,,,0.025030117528459267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013937680047641447,,,,,,,,0.025030117528459267,,,,0.03383468048124333,0.03383468048124333,0.048886180264442386,0.02168277804692861,0.02168277804692861,0.03383468048124333,0.048886180264442386,0.06393768004764144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,0.010429215636858027,0.0067606477398646685,,,,0.020858431273716053,,,,0.014097783533851386,0.014097783533851386,0.016700673879857634,0.016700673879857634,0.015652650581703557,0.020369241776850993,0.014097783533851386,0.016700673879857634,0.020369241776850993,0.020369241776850993,0.02819556706770277,0.014097783533851386,0.012078824929516877,0.014097783533851386,0.020369241776850993,0.012078824929516877,0.005807366686517269,0.016700673879857634,0.016700673879857634,0.016700673879857634,0.016700673879857634,0.012078824929516877,0.016700673879857634,0.020369241776850993,0.020369241776850993,0.012078824929516877,0.020369241776850993,0.020369241776850993,0.020369241776850993,0.014097783533851386,,,,,,,,0.0034335468467915032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016700673879857634,,,,,0.005807366686517269,,,,,,,,,,,,,0.014097783533851386,,,0.00903449085288692,,0.020369241776850993,,0.0266407000198506,0.020369241776850993,0.0266407000198506,0.016700673879857634,0.020369241776850993,0.0266407000198506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,0.011383745877602587,,,,,,,,,,,,0.008447078816752392,,,,,,,,,0.017569199897479095,,,,0.020505866958329292,0.029627988039055992,0.024291889279792925,0.029627988039055992,0.059255976078111984,0.024291889279792925,0.015169768199066222,0.024291889279792925,0.0049942499589694595,0.029627988039055992,0.015169768199066222,0.029627988039055992,0.04858377855958585,0.029627988039055992,0.015169768199066222,0.024291889279792925,0.029627988039055992,0.015169768199066222,0.024291889279792925,0.020505866958329292,0.029627988039055992,0.020505866958329292,0.024291889279792925,0.029627988039055992,0.020505866958329292,0.020505866958329292,,,,,,,,,,,,,,,,,,,0.029627988039055992,,,,,,,,,,,,,,,,,,,,,,,0.013141077604199157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,0.017079531132289688,,,,,,,,,,,,,,,,,,,,,,,,0.014671242155412047,,,,,,,,,,,,,,,,,,,,,0.01734844722589391,,0.02634749213522028,,,,,,,0.02634749213522028,,0.03561545313815087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03561545313815087,,,0.03561545313815087,0.03561545313815087,0.02634749213522028,0.042191176117535076,,,,0.03561545313815087,,0.022823976891503797,0.022823976891503797,0.03561545313815087,,,,,,,,,0.06730282110278046,0.05145913712046567,0.05145913712046567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,0.03561545313815087,,,,,,,,,,,,,,,,,,0.042191176117535076,,,,,,0.008674223612946955,,,,,,0.02634749213522028,,,,,0.03561545313815087,,,,,0.03561545313815087,,,,,,,,,,,,,,,,,,,,,,,,,,0.030514926137726845,,,,,,,0.03561545313815087,,,,,,,,,,,,,,,,,0.042191176117535076,,,,,0.05145913712046567,0.05145913712046567,0.042191176117535076,0.06730282110278046,0.05145913712046567,0.06730282110278046,0.06730282110278046,0.06730282110278046,0.06730282110278046,0.06730282110278046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,0.008939327688735453,,0.014314863325592259,0.014314863325592259,,,,,0.026833115282920383,,0.012083814457586902,,,,,,,,,0.010353278511014466,0.004977742874157659,,,,,,,,,,,,,,,,,,,,0.014314863325592259,0.002943040154392717,,,,0.014314863325592259,,0.008939327688735453,,,,0.014314863325592259,,,0.012083814457586902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036251443372760705,0.026817983066206356,,,,0.012083814457586902,,,0.007743849302474503,0.015487698604949005,0.024167628915173805,,,,,,0.014314863325592259,,,,0.01745935009444371,,0.03491870018888742,0.014314863325592259,,,,,,,,0.022834885731300512,0.022834885731300512,0.022834885731300512,0.022834885731300512,0.01745935009444371,0.022834885731300512,0.045669771462601025,0.022834885731300512,0.022834885731300512,0.045669771462601025,0.022834885731300512,0.022834885731300512,0.022834885731300512,0.01745935009444371,0.01745935009444371,0.022834885731300512,0.022834885731300512,0.022834885731300512,0.022834885731300512,0.022834885731300512,0.01745935009444371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
