,uống,trà,với,người,sài,gòn,dù,quê,hương,của,là,ở,miền,bắc,những,tách,tp,hcm,ít,nhiều,vẫn,có,vị,riêng,tại,đất,này,khi,dùng,các,loại,cổ,truyền,như,xanh,lài,sen,móc,câu,cỏ,ngọt,quế,khách,sẽ,cùng,thức,phù,hợp,bánh,đậu,su,sê,in,quán,thành,phố,thường,bắt,đầu,vào,20,giờ,và,kết,thúc,22h30,mỗi,tối,chỉ,hơn,2,đồng,hồ,ngày,được,trích,ra,trong,quỹ,thời,gian,eo,hẹp,cá,nhân,vì,vậy,còn,sự,nghỉ,ngơi,thân,thể,phải,đàm,đạo,tâm,giao,bên,cuộc,sống,đã,mở,bao,công,việc,bàn,vướng,mắc,giải,sẻ,chia,thế,mới,hay,đâu,một,thứ,nước,thông,ghiền,tính,đến,dụng,bổ,dưỡng,mát,gan,hạt,trị,cảm,nắng,bạc,hà,nhiệt,khổ,qua,nghệ,thuật,không,tĩnh,lặng,tương,đối,tuýp,cũng,hoàn,toàn,khác,biệt,nhưng,nay,ai,bạn,trẻ,rất,ghé,số,quận,1,3,5,nhận,thấy,tuổi,từ,35,cô,gái,chàng,trai,từng,đi,du,học,trời,tây,về,muốn,tìm,thậm,chí,chủ,điểm,tịnh,cung,đình,anh,sĩ,hoàng,cho,tôi,mang,thuần,việt,cao,nhất,pha,cần,tỉ,mỉ,sơ,suất,nhỏ,chén,ý,ngay,ngoài,chọn,mộc,cách,ướp,thì,điều,quan,trọng,bậc,ông,bà,ta,giọt,sương,trên,lá,mưa,chúng,đó,hiếm,rồi,suối,khoáng,để,tới,đây,chiêm,ngưỡng,bộ,trang,phục,xưa,khung,cảnh,nghe,ca,trù,chầu,văn,họ,âm,thanh,chợ,làng,nam,quả,kiến,trúc,gam,màu,hẳn,cà,phê,tiên,thấm
0,0.023329018349119417,0.013964332338750657,0.051120134434249544,0.020938061576597514,0.051120134434249544,0.051120134434249544,0.051120134434249544,0.04036906316053593,0.08073812632107186,0.020938061576597514,0.017040044811416515,0.05231383998735489,0.051120134434249544,0.051120134434249544,0.020938061576597514,0.03408008962283303,0.051120134434249544,0.051120134434249544,0.04036906316053593,0.03408008962283303,0.051120134434249544,0.0188669206131087,0.051120134434249544,0.051120134434249544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.036493455178601725,,,,,,,,,,,,,,,,,,,,,,,0.057254550566359495,0.057254550566359495,0.057254550566359495,0.057254550566359495,0.033172150913241,0.033172150913241,0.038169700377572995,0.04521335073980025,0.057254550566359495,0.033172150913241,0.04521335073980025,0.057254550566359495,0.038169700377572995,0.057254550566359495,0.057254550566359495,0.057254550566359495,0.04521335073980025,0.057254550566359495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,0.032570318008040576,,,,,,,,,,,,,,0.04607243182394583,,,,,0.04607243182394583,0.06279632047194478,,,,,,0.06279632047194478,,0.04607243182394583,0.06279632047194478,0.07952020911994374,0.07952020911994374,0.07952020911994374,0.07952020911994374,0.23856062735983122,0.07952020911994374,0.07952020911994374,0.07952020911994374,0.07952020911994374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.006859672026052954,,,,,,,,,,0.03854703999068255,,,,,,,,0.05022328997049078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030856090744459497,0.059491250973421374,0.059491250973421374,0.04364756699110658,0.07533493495573618,0.059491250973421374,0.15066986991147235,0.059491250973421374,0.059491250973421374,0.03854703999068255,0.07533493495573618,0.07533493495573618,0.07533493495573618,0.059491250973421374,0.07533493495573618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,0.029313286207236524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05651668842475031,,,,,0.05651668842475031,,0.04146518864155125,0.07156818820794937,0.07156818820794937,0.07156818820794937,0.07156818820794937,0.07156818820794937,0.036619687991148425,0.07156818820794937,0.05651668842475031,0.05651668842475031,0.07156818820794937,0.029313286207236524,0.047712125471966245,0.07156818820794937,0.07156818820794937,0.07156818820794937,0.05651668842475031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.05443437614794531,0.010861147374583845,,,,,,,,0.04885547701206087,0.039760104559971865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09419448070791717,0.07952020911994373,0.07952020911994373,0.05443437614794531,0.11928031367991561,0.11928031367991561,0.11928031367991561,0.06103281331858071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.07257916819726042,0.014481529832778459,,0.06514063601608115,,,,,,,,,,,,,,,,,,0.058697086351893746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12559264094388956,0.1590404182398875,0.1590404182398875,0.1060269454932583,0.1590404182398875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.005213350739800246,,,,,,,,,,,,,,0.038169700377572995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02929575039291874,,0.04521335073980025,,,,,,,,,,,,0.02612850055101375,,,,,,,,0.038169700377572995,,0.057254550566359495,0.057254550566359495,0.057254550566359495,0.180853402959201,0.057254550566359495,0.17176365169907848,0.04521335073980025,0.04521335073980025,0.057254550566359495,0.057254550566359495,0.057254550566359495,0.04521335073980025,0.057254550566359495,0.057254550566359495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.050247116444257216,0.010025674499615857,,,,,,,,,0.03670163497843557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06379259791007885,,,,,,,,,,,,0.06379259791007885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11010490493530672,0.11010490493530672,0.07340326995687114,0.11010490493530672,0.0406364443974649,0.11010490493530672,0.05633798152484373,0.07340326995687114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.02172229474916769,,0.04885547701206087,,,,,,0.04885547701206087,,,,,0.04885547701206087,0.07952020911994373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07952020911994373,,,,,,,,,,,,,,,,,0.09419448070791717,,,,,,,,,,,,,,,,0.11928031367991561,0.11928031367991561,0.06103281331858071,0.11928031367991561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
