,trang,trí,nội,thất,với,chữ,thọ,xuất,hiện,nhiều,trong,kiến,trúc,từ,cung,điện,tư,gia,của,các,bậc,vương,giả,cho,tới,những,ngôi,nhà,bình,dân,theo,kinh,thi,ban,đầu,là,lời,chúc,tụng,sự,nghiệp,vua,chúa,nhưng,về,sau,đã,chuyển,thành,muôn,người,cách,điệu,vuông,hay,tròn,được,xử,lý,qua,đường,thẳng,cong,khỏe,mạnh,cân,xứng,hiệu,quả,thẩm,mỹ,cao,nhất,khi,phóng,lớn,trên,bức,tường,hoặc,cửa,sổ,uốn,lượn,cầu,kỳ,mô,tuýp,vân,mây,hoa,lá,tỏ,ra,thích,hợp,hơn,điêu,khắc,chạm,trổ,gỗ,đồng,chi,tiết,nhỏ,như,đèn,chiếc,mắc,rèm,vỏ,gối,xinh,xắn,cũng,có,diện,tủ,đựng,đĩa,phim,nhạc,bằng,làm,giữ,thêu,và,chăn
0,0.02184281263550059,0.02184281263550059,0.03125,0.03125,0.03125,0.0028598431600421964,0.0028598431600421964,0.03125,0.02184281263550059,0.03125,0.02184281263550059,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.01633996079001055,0.012435625271001175,0.02184281263550059,0.03125,0.03125,0.01633996079001055,0.03125,0.012435625271001175,0.03125,0.03125,0.03125,0.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0.001525249685355838,0.001525249685355838,,,,,,,,,,,,0.034858583018689174,0.013264666955734587,0.02329900014453396,,,0.017429291509344587,,,,,,,0.02329900014453396,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.02329900014453396,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,0.0012041444884388194,0.0012041444884388194,,,,,,,,,,,,,0.01047210549136941,,,,0.013759966981061515,,0.02094421098273882,,,,,,,,,,,,,,,,,,,,,,,,,,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.01839394748252681,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.01047210549136941,0.02631578947368421,0.013759966981061515,0.01839394748252681,0.01839394748252681,0.02631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.04368562527100118,0.04368562527100118,,,,0.0028598431600421964,0.0028598431600421964,,,,,,,,,,,,,,,,,,,0.02487125054200235,,,,,0.04368562527100118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,0.04659800028906792,,,,,,,,,0.026529333911469173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026529333911469173,,,0.04659800028906792,,,,,,,,,,,,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.04659800028906792,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.034858583018689174,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,0.0018302996224270058,0.0018302996224270058,,0.027958800173440754,,,,,,,,,,0.020915149811213504,,,,,,,0.031835200693763006,,,,,,,,,,,,,,0.027958800173440754,,,,,,,,,,,,,,,0.027958800173440754,,,,,,,,,,,,,,,,,,,,,,,,0.020915149811213504,,,,,,,,,,,,,,,,,,0.027958800173440754,,,,,,,0.04,0.04,0.04,0.04,0.027958800173440754,0.04,0.027958800173440754,0.027958800173440754,0.027958800173440754,0.027958800173440754,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,
6,,,,,,0.005719686320084393,0.005719686320084393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0497425010840047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.125,0.125,0.125,0.125,,,,,,
7,,,,,,0.0065367843658107345,0.0065367843658107345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0746969636114768,,,,,,,,,,,,,,,,,,,,,,,,0.0746969636114768,,,,,0.0998528577622884,,,,,,,,,,,,,,,,0.0998528577622884,0.0998528577622884,,,,
8,,,,,,0.005084165617852793,0.005084165617852793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0776633338151132,,,,,,,,,,,,,,,,,,,,,,0.05809763836448195,,,,,,,0.0776633338151132,0.0776633338151132,,,,,,,,,,,,,0.0776633338151132,0.0776633338151132,0.1111111111111111,,,
9,,,,,,0.005084165617852793,0.005084165617852793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04421555651911529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1553266676302264,0.0776633338151132,,,,,,,,,,,,,,0.1111111111111111,0.1111111111111111,0.1111111111111111
