,tình,yêu,cần,bình,đẳng,giữa,hai,người,hạnh,phúc,có,được,khi,bạn,khác,cho,và,cũng,họ,lại,những,phần,thật,xứng,đáng,không,một,lý,do,gì,mãi,mà,hề,nhận,tín,hiệu,đáp,tương,đương,từ,phía,bên,kia,phải,là,sự,chịu,đựng,from,vo,dinh,vu,to,tamsuvnexpress,net,sent,friday,may,07,2004,118,pm,subject,tam,su,long,cua,ban,thân,mếntôi,con,trai,giống,như,đó,tôi,từng,lúc,đau,khổ,vì,vậy,xin,chia,sẻ,lời,mộc,mạc,sau,đây,thứ,nhất,đừng,quá,mù,quáng,ai,tự,ái,nếu,chấp,điều,thế,thì,e,rằng,cuộc,sống,của,khó,bền,vững,để,thay,đổi,cách,suy,nghĩ,cô,ấy,rất,bao,lâu,nói,riêng,phái,nam,nữ,thôi,cưng,chiều,đang,làm,với,thể,hành,động,đụng,chạm,đến,lòng,hoài,chăng,biết,nào,hy,sinh,tất,cả,gái,anh,ta,trong,tâm,hồn,vọng,sẽ,cái,gọi,đã,sẵn,đi,tính,toán,ba,trạng,này,kéo,dài,nội,chọn,mình,bấy,nay,vô,chỉ,đánh,mất,chính,còn,gia,đình,mai,nữa,thành,nhạy,cảm,giá,yêu08,05,tỏ,ra,yếu,đuối,trước,yêu07,thần,tượng,hóa,nhiều,thời,gian,hiểu,gái06,hãy,cứ,chờ,đợi,phản,ứng
0,0.01913437559092396,0.013264666955734587,0.029168708779723336,0.039203041968522714,0.039203041968522714,0.039203041968522714,0.029168708779723336,0.018200084804249176,0.015904041823988746,0.015904041823988746,0.015904041823988746,0.03979400086720376,0.02329900014453396,0.008979904926497079,0.02329900014453396,0.02206621460276163,0.02329900014453396,0.01913437559092396,0.02329900014453396,0.01913437559092396,0.009100042402124588,0.029168708779723336,0.029168708779723336,0.02329900014453396,0.02329900014453396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.01640089336364911,0.011369714533486789,,,,,,,,,,0.022739429066973578,,0.0038485306827844624,,0.009456949115469269,,,,0.01640089336364911,,,,,,0.023400109034034656,0.03994114310491536,0.02500175038262,0.02500175038262,0.01997057155245768,0.02500175038262,0.013632035849133212,0.01997057155245768,0.01997057155245768,0.03360260740159089,0.03360260740159089,0.02500175038262,0.03360260740159089,0.03360260740159089,0.05000350076524,0.05000350076524,0.03360260740159089,0.03360260740159089,0.02500175038262,0.009456949115469269,0.02500175038262,0.01997057155245768,0.01997057155245768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19601520984261356,0.19601520984261356,0.19601520984261356,0.19601520984261356,0.14584354389861667,0.19601520984261356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,0.010775885911796495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013239728761656978,,,,,,,,0.03500245053566801,,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.03500245053566801,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.047043650362227254,0.03500245053566801,0.03500245053566801,0.047043650362227254,0.019084850188786497,0.022961250709108753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,0.017671157582209718,,,0.00997767214055231,,,,0.021260417323248845,,,0.010111158224582875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017671157582209718,,0.014738518839705096,0.04355893552058079,0.032409676421914814,0.04355893552058079,0.04355893552058079,0.04355893552058079,0.04355893552058079,0.04355893552058079,0.04355893552058079,0.04355893552058079,0.032409676421914814,0.04355893552058079,0.04355893552058079,0.032409676421914814,0.04355893552058079,0.021260417323248845,0.04355893552058079,0.032409676421914814,0.02588777793837107,0.04355893552058079,0.04355893552058079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0521846607025199,0.03617636442473069,,,,,,,,,,,,,,,,,,,,,,,,0.024818297460339787,0.06354272766691081,,,,,,,,,,,,,0.07955102394470001,0.07955102394470001,,,0.07955102394470001,0.030090292640129496,0.07955102394470001,0.06354272766691081,0.06354272766691081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,0.008531289751991801,0.014910039209989451,0.014910039209989451,0.014910039209989451,,,0.008418660868591011,,,,,,,0.008531289751991801,,,,,0.017062579503983603,,,,,,0.014910039209989451,,0.02184281263550059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027345664480990628,0.027345664480990628,,0.029820078419978902,,0.012435625271001175,,,,,,,,,,,,,,,,,,,,,0.03675285184549004,0.027345664480990628,0.027345664480990628,0.017938477116491214,0.03675285184549004,0.03675285184549004,0.017938477116491214,0.017938477116491214,0.03675285184549004,0.017938477116491214,0.03675285184549004,0.027345664480990628,0.017938477116491214,0.027345664480990628,0.03675285184549004,0.03675285184549004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.01989700043360188,,,,,,0.013650063603186883,,,,,,0.00673492869487281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01654966095207122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01989700043360188,,,,,,,,,,,,,,,,,,,,,,,,0.028701563386385943,,,,0.028701563386385943,,,,,0.05740312677277189,0.04375306316958501,,,0.034948500216800946,0.05880456295278407,0.05880456295278407,0.05880456295278407,0.05880456295278407,0.11760912590556814,0.04375306316958501,0.034948500216800946,0.05880456295278407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,0.03500245053566801,,,,,0.015917600346881503,,0.0053879429558982474,,0.013239728761656978,,0.022961250709108753,,,0.010920050882549506,,,,,0.010920050882549506,,,,0.027958800173440754,,,,,,,,,,,,,,,,,0.027958800173440754,0.027958800173440754,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015917600346881503,,,,,,,,,,0.03500245053566801,,,,,0.022961250709108753,,,,,,,,,,,,0.022961250709108753,,,0.022961250709108753,,,,,,,,,,,,,,0.027958800173440754,,0.047043650362227254,0.03500245053566801,0.047043650362227254,0.047043650362227254,0.09408730072445451,0.047043650362227254,0.047043650362227254,0.047043650362227254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.009588915871615365,,,,,,0.006578343905150305,0.005748448852044126,0.005748448852044126,0.011496897704088252,0.009588915871615365,0.00842132535344601,0.006491497537226804,,0.00797574021786565,,,0.01684265070689202,0.00691603937021348,0.006578343905150305,,,,,0.0032891719525751525,,,,,,0.005748448852044126,0.00842132535344601,,,,0.01054290678785181,,,,,,,,0.003987870108932825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017245346556132378,0.01383207874042696,,,0.01054290678785181,,,,,,,,,,,,,,,,,,,,0.01054290678785181,0.01054290678785181,0.00691603937021348,,,0.00691603937021348,0.00691603937021348,,0.00691603937021348,,,0.00691603937021348,,,,,,,,,,0.03162872036355542,0.01684265070689202,,,,,,,,,,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.028339548410980273,0.00842132535344601,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.028339548410980273,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.02108581357570362,0.014169774205490137,0.014169774205490137,0.01054290678785181,0.014169774205490137,0.01054290678785181,0.014169774205490137,0.014169774205490137,0.00842132535344601,0.014169774205490137,0.01054290678785181,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.014169774205490137,0.014169774205490137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
