,tôi,cũng,ở,trong,tình,cảnh,như,anh,minh,cờ,đọc,tâm,sự,của,nhận,thấy,một,trùng,hợp,đến,ngạc,nhiên,đang,rơi,vào,trạng,không,thể,hiểu,nổi,rất,khủng,hoảng,và,cần,xin,lời,khuyên,ơi,tại,sao,phụ,nữ,lại,thế,nhỉ,thật,họ,nữa,from,hn,fcto,tamsuvnexpress,net,sent,friday,may,14,2004,903,pm,subject,re,có,bắt,cá,hai,tay,thân,mến,chúng,là,sinh,viên,du,học,thái,lan,quen,yêu,nàng,hơn,2,năm,thì,tốt,nghiệp,về,nước,trước,chỉ,còn,chờ,để,làm,lễ,cưới,cảm,sâu,đậm,chat,e,mail,điện,thoại,mỗi,ngày,kiếm,được,việc,ổn,định,cho,công,ty,ngoài,nhưng,lương,đủ,thỉnh,thoảng,đi,thăm,thôi,khoảng,3,tháng,lần,bay,sang,hoặc,cố,gắng,thêm,tiền,vé,máy,với,nói,vậy,các,bạn,sắc,thời,gian,gần,đây,mới,promotion,phải,bận,rộn,nên,dành,ít,ngờ,đã,người,khác,qua,mà,hề,hay,biết,cuối,cùng,giấu,hẹn,hò,đó,chơi,những,thương,thậm,chí,hôn,nhau,gì,dám,tưởng,tượng,bàng,hoàng,khi,ngọt,ngào,viết,buổi,chuyện,thẳng,thắn,thú,hết,mọi,luôn,khẳng,rằng,kia,xúc,nhất,rồi,khóc,đề,nghị,chia,bỏ,cầu,chấm,dứt,quan,hệ,chẳng,bao,lâu,vẫn,đàn,ông,hỏi,sẻ,thực,tế,lúc,nào,nghĩ,bời,nhậu,nhẹt,bè,giờ,nhà,nếu,hôm,gọi,hoàn,toàn,mất,lý,trí,sẽ,tin,bây,giải,liệu,chân,chính,đảm,bảo,cuộc,sống,gia,đình,hạnh,phúc,mãi,thích,gái
0,0.0014850119381066636,0.013912609077599725,0.05237414753913819,0.05237414753913819,0.044890506587226875,0.05237414753913819,0.02921799402652425,0.05098137166781339,0.02921799402652425,0.05237414753913819,0.04079607078283122,0.04079607078283122,0.08159214156566244,0.034023330049920406,0.04079607078283122,0.05237414753913819,0.01763991727021728,0.05237414753913819,0.05237414753913819,0.04079607078283122,0.05237414753913819,0.05237414753913819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0025740206927182168,0.04823037813567904,,,0.03890510570892995,,0.050644522979308694,0.04418385544543827,,,,,,,,,,,,,,,0.07071318935690744,0.09078185573450619,0.09078185573450619,0.09078185573450619,0.03890510570892995,0.07071318935690744,0.04418385544543827,0.07071318935690744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0016087629329488854,0.0301439863347994,,,,,,,,,,,,,,,0.03821982075213744,,,,,,0.0883914866961343,,,,,,,,0.0883914866961343,0.11347731966813274,0.11347731966813274,0.0301439863347994,0.07371721510816087,0.0883914866961343,0.06330565372413587,0.0883914866961343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0010160607997571906,,,,,,0.039982518141559495,0.03488199114113548,0.039982518141559495,,,,0.05582620212387429,,,,,,,,,,,,,,0.03071455713862891,,0.03488199114113548,0.05582620212387429,,,,,,,,,0.07166988610618909,0.07166988610618909,0.07166988610618909,0.05582620212387429,0.05582620212387429,0.04655824112094371,0.05582620212387429,0.07166988610618909,0.07166988610618909,0.04655824112094371,0.039982518141559495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3404319590043982,0.3404319590043982,0.3404319590043982,0.3404319590043982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0006656950067374699,0.012473373655779064,,,,,,0.022853718333847382,0.026195442920332084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04695613227646872,0.04695613227646872,0.04695613227646872,0.04695613227646872,0.04695613227646872,0.04695613227646872,0.04695613227646872,0.04695613227646872,0.04695613227646872,0.04695613227646872,0.022853718333847382,0.04695613227646872,0.04695613227646872,0.04695613227646872,0.030503675217170016,0.04695613227646872,0.04695613227646872,0.0201233305391017,0.030503675217170016,0.04695613227646872,0.04695613227646872,0.04695613227646872,0.04695613227646872,0.04695613227646872,0.04695613227646872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0025740206927182168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02411518906783952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07071318935690744,0.034441986400222405,0.018836439331331205,0.07071318935690744,0.07071318935690744,0.09078185573450619,0.050644522979308694,0.07071318935690744,0.07071318935690744,0.03890510570892995,0.07071318935690744,0.09078185573450619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0014850119381066636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044890506587226875,,,,,,,,,,0.02173435307461293,,,,,0.08159214156566244,0.08159214156566244,0.044890506587226875,,,0.06804666009984081,0.08159214156566244,0.10474829507827638,0.03527983454043456,0.044890506587226875,0.10474829507827638,0.10474829507827638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0022711947288690144,,,,0.03432803444905584,,,,,,,,,0.05203568125281944,,,,,,,,,,,,,,,,,0.06239399060903598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06865606889811168,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05203568125281944,0.06239399060903598,0.08010163741279958,0.04468634380527238,0.04468634380527238,0.04468634380527238,0.05203568125281944,0.06239399060903598,0.08010163741279958,0.08010163741279958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0006894698284066652,0.012918851286342601,,,,,,,,,,,,,,,0.016379923179487475,,,,,,,,,,,,,,,,,0.012918851286342601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010090949641784574,,,,,,,,0.037882065726914695,,0.0315930921892118,,,0.016379923179487475,0.02084202091549819,,,,,,,,,0.0315930921892118,0.037882065726914695,,,0.04863313700062831,0.02084202091549819,0.0315930921892118,0.04863313700062831,0.037882065726914695,0.02084202091549819,0.037882065726914695,0.04863313700062831,0.04863313700062831,0.023669922560056216,0.04863313700062831,0.037882065726914695,0.04863313700062831,0.04863313700062831,0.0315930921892118,0.0315930921892118,0.04863313700062831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
