,phải,biết,chứng,tỏ,mình,là,người,đàn,ông,thực,thụ,tôi,thấynguyên,nên,ly,dị,vợđể,đi,tìm,hạnh,phúc,mới,một,bà,như,vậy,tình,yêu,bạn,cũng,không,hề,hối,tiếc,đôi,lúc,nói,lời,nào,nhưng,nhìn,hành,động,và,cách,cư,xử,chúng,ta,có,thể,hiểu,được,9,10,phần,tâm,tư,của,họ,from,doan,duc,duy,to,tamsuvnexpress,net,sent,thursday,may,20,2004,617,am,subject,phai,biet,ra,minh,la,nguoi,dan,ong,thuc,thu,thấy,chia,tay,để,cùng,đã,gặp,trường,hợp,giống,hoàn,cảnh,anh,vợ,chồng,với,nhau,2,mặt,con,cô,cảm,rể,ở,riêng,sau,đó,chung,sống,khi,kết,thúc,cũ,thì,bắt,đầu,tốt,đẹp,hơn,hưng,phấn,mối,giờ,đây,đang,mong,rằng,những,dòng,viết,sẽ,giúp,cho,rút,giải,quyết,thích,đáng,thân,thẳng,hiệu,quả,chẳng,cần,bóng,gió,xa,xôi20,05,nguyên,hãy,cứng,rắn,lấy,lại,phong,độ,ông19,thắn,nể,hơn17,đồng,sàng,mộng15,ý,em,rể13
0,0.055929496426285176,0.055929496426285176,0.055929496426285176,0.055929496426285176,0.042246314805195126,0.055929496426285176,0.017515949152909868,0.02856313318410507,0.055929496426285176,0.055929496426285176,0.055929496426285176,0.02415813259282978,0.055929496426285176,0.042246314805195126,0.034242166666300526,0.02856313318410507,0.055929496426285176,0.02856313318410507,0.042246314805195126,0.034242166666300526,0.034242166666300526,0.02856313318410507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,0.025690058757601136,0.04189259533668743,,,,,,,,,,0.04189259533668743,,,,,0.04189259533668743,0.06196126171428618,0.05022184444390743,0.06196126171428618,0.030153178066308687,0.04189259533668743,0.04189259533668743,0.03543192780281701,0.03543192780281701,0.06196126171428618,0.06196126171428618,0.06196126171428618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018981389894366252,0.018981389894366252,,,,0.02690455952352184,0.03319353306122474,0.02690455952352184,0.03319353306122474,0.03319353306122474,0.03319353306122474,0.03319353306122474,0.03319353306122474,0.03319353306122474,0.03319353306122474,0.02690455952352184,0.03319353306122474,0.03319353306122474,0.03319353306122474,0.03319353306122474,0.018981389894366252,0.02690455952352184,0.03319353306122474,0.03319353306122474,0.03319353306122474,0.03319353306122474,0.03319353306122474,0.04394460433493835,0.04394460433493835,0.016153488249808223,0.02690455952352184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2050748202297123,0.2050748202297123,0.2050748202297123,0.2050748202297123,0.15490315428571544,0.2050748202297123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,0.016608716157570473,,0.029044341428571648,,,,0.019637154064072234,0.029044341428571648,0.02354148958308161,0.02354148958308161,0.019637154064072234,,,,,,,0.019637154064072234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029044341428571648,,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.029044341428571648,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.02354148958308161,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,0.03845152879307106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,0.025690058757601136,0.04189259533668743,,,,,,,,,,0.04189259533668743,,,,,0.04189259533668743,0.06196126171428618,0.05022184444390743,0.06196126171428618,0.030153178066308687,0.04189259533668743,0.04189259533668743,0.03543192780281701,0.03543192780281701,0.06196126171428618,0.06196126171428618,0.06196126171428618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020441496809317505,0.020441496809317505,,,,0.028974141025331215,0.03574688175824203,0.028974141025331215,0.03574688175824203,0.03574688175824203,0.03574688175824203,0.03574688175824203,0.03574688175824203,0.03574688175824203,,0.028974141025331215,0.03574688175824203,0.03574688175824203,0.03574688175824203,0.03574688175824203,0.020441496809317505,0.028974141025331215,0.03574688175824203,0.03574688175824203,0.03574688175824203,0.03574688175824203,0.03574688175824203,,,0.017396064269024243,0.028974141025331215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047324958514549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,0.053147891704225514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04522976709946303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12304489213782739,0.12304489213782739,0.09294189257142928,0.09294189257142928,0.12304489213782739,0.12304489213782739,0.12304489213782739,0.053147891704225514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,0.06283889300503115,,,,,,,,,,,,0.07533276666586115,,,,,,,,,,,,,,,0.053147891704225514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053147891704225514,0.053147891704225514,0.06283889300503115,0.12304489213782739,0.12304489213782739,0.12304489213782739,0.12304489213782739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05653720887432879,,,,,,,,,,,,,,,,,,,,,,,0.06643486463028189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06643486463028189,0.06643486463028189,,0.07854861625628894,,,,,0.11617736571428659,0.15380611517228424,0.09416595833232644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
