,chuyện,của,anh,thành,cũng,đơn,giản,thôi,tự,đánh,giá,là,người,mạnh,mẽ,nhưng,thật,ra,điều,đó,chỉ,đúng,với,những,khác,còn,trước,h,đàn,ông,yếu,đuối,mà,chính,sự,quan,tâm,chiều,chuộng,quá,mức,đã,khiến,có,suy,nghĩ,và,hành,động,như,vậy,tin,tôi,đi,vì,cô,gái,giống,from,thu,thuyto,tamsuvnexpress,net,sent,friday,may,21,2004,304,pm,subject,chuyen,cua,thanh,cung,don,gian,thoi,gửi,mình,câu,nói,này,cũ,rồi,trong,trường,hợp,thì,nên,đọc,lại,nhé,theo,tình,phớt,hãy,cứ,tập,trung,vào,công,việc,phấn,đấu,trở,đạt,bớt,đến,khi,sẽ,cảm,thấy,lo,lắng,nhiều,hơn,một,ngày,nào,chẳng,yêu,cầu,hãnh,diện,nắm,tay,dạo,trên,đường,mong,lại21,05,từng,đau,khổ,thành19,phải,làm,sao,để,bạn,sợ,chút19,ơi,vẫn,chỗ,so,sánh19,cùng,nỗi,buồn,tôi17
0,0.04897108499014516,0.026672566792813216,0.015427847587191295,0.026672566792813216,0.031299927407935434,0.04897108499014516,0.04897108499014516,0.031299927407935434,0.037821825891479185,0.037821825891479185,0.037821825891479185,0.02308330705177409,0.04616661410354818,0.037821825891479185,0.037821825891479185,0.031299927407935434,0.037821825891479185,0.037821825891479185,0.037821825891479185,0.026672566792813216,0.026672566792813216,0.037821825891479185,0.031299927407935434,0.037821825891479185,0.037821825891479185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,0.3403964330233127,0.3403964330233127,0.13970976924732523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.02082759424270825,,,,,0.08450980400142569,,,,0.06232492903979005,0.06232492903979005,,,,,,,,0.0720159303405957,,,,,,,,0.08450980400142569,0.08450980400142569,0.10211892990699381,0.10211892990699381,0.10211892990699381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.05539686949276592,0.016021226340544807,,,,,,,,,,,,,,,,,,,,,,,,,0.03224071598015198,,,,,,0.07855302300537985,0.07855302300537985,0.05539686949276592,0.05539686949276592,0.07855302300537985,0.07855302300537985,0.07855302300537985,0.07855302300537985,0.07855302300537985,0.07855302300537985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1056372550017821,0.1056372550017821,0.1056372550017821,0.09001991292574461,0.12764866238374226,0.12764866238374226,0.12764866238374226,0.12764866238374226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,0.07682709454675062,,,,,,,0.05665902639980913,,,,,,,,,,,,,,,,0.03810266434017961,,,,,,,,,,,,,,,,,,,,,,,,0.12020175406671994,0.18567078164907966,0.09283539082453983,0.12020175406671994,0.12020175406671994,0.09283539082453983,0.09283539082453983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3305548236834798,0.3305548236834798,0.3305548236834798,0.3305548236834798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.015620695682031187,0.018003982585148924,,,,,0.025529732476748453,0.025529732476748453,0.025529732476748453,0.015581232259947512,0.031162464519895024,0.025529732476748453,0.025529732476748453,0.02112745100035642,0.025529732476748453,0.025529732476748453,0.025529732476748453,0.018003982585148924,0.018003982585148924,0.025529732476748453,0.02112745100035642,0.025529732476748453,0.025529732476748453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.025529732476748453,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.03305548236834798,0.03305548236834798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,0.3403964330233127,0.3403964330233127,0.13970976924732523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.02082759424270825,,,,,0.08450980400142569,,,,0.06232492903979005,0.06232492903979005,,,,,,,,0.0720159303405957,,,,,,,,0.08450980400142569,0.08450980400142569,0.10211892990699381,0.10211892990699381,0.10211892990699381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.05539686949276592,0.016021226340544807,,,,,,,,,,,,,,,,,,,,,,,,,0.03224071598015198,,,,,,0.07855302300537985,0.07855302300537985,0.05539686949276592,0.05539686949276592,0.07855302300537985,0.07855302300537985,0.07855302300537985,0.07855302300537985,0.07855302300537985,0.07855302300537985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1056372550017821,0.1056372550017821,0.1056372550017821,0.09001991292574461,0.12764866238374226,0.12764866238374226,0.12764866238374226,0.12764866238374226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.03600796517029785,0.010413797121354125,,,,,,,,,,,,,0.04225490200071284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.051059464953496905,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.06611096473669596,0.051059464953496905,0.08450980400142569,0.051059464953496905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2552973247674845,0.4225490200071284,0.2552973247674845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.011570885690393471,0.08001770037843965,,,,,,,,,0.03462496057766114,,,,,,,,,,,,,,,,0.046949891111903154,0.046949891111903154,,,,,,,,,,,,,,,,,0.040008850189219826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05673273883721878,0.07345662748521774,0.07345662748521774,0.07345662748521774,0.07345662748521774,0.07345662748521774,0.07345662748521774,0.07345662748521774,0.07345662748521774,0.07345662748521774,0.07345662748521774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
