,tôi,đã,vượt,qua,được,mặc,cảm,chênh,lệch,học,vấn,chị,hà,giống,hoàn,cảnh,của,lúc,trước,có,khác,chăng,là,thì,đại,còn,người,yêu,chỉ,hết,lớp,7,cha,luôn,tìm,cách,ngăn,cản,nhiều,lần,đuổi,anh,về,khi,đến,chơi,trải,bao,sóng,chúng,càng,quyết,giữ,gìn,tình,sự,trong,trắng,và,cuối,cùng,mẹ,vui,vẻ,chấp,nhận,bây,giờ,thật,hạnh,phúc,from,thnghito,tamsuvnexpress,net,sent,monday,may,31,2004,241,am,subject,chia,se,voi,tam,su,cua,chi,ha,quen,nhau,những,buổi,sinh,hoạt,đoàn,ở,địa,phương,nơi,đó,thợ,xây,làm,việc,phòng,nhân,một,công,ty,nước,ngoài,dù,bên,cạnh,theo,nhưng,vẫn,vì,tính,rất,hiền,biết,tôn,trọng,lớn,tuổi,cởi,mở,với,xung,quanh,chăm,cố,gắng,nhất,thương,lo,lắng,cho,đương,nhiên,bàn,tán,ra,vào,cũng,không,hài,lòng,cứ,nếu,vợ,chồng,mà,như,vậy,sẽ,thể,gắn,bó,lâu,dài,thế,khóc,an,ủi,khuyên,đừng,nên,giận,để,thấy,ta,cuộc,kéo,5,năm,kết,hôn,hiện,nay,thầu,dựng,nhỏ,chỗ,cũ,sống,thông,hỗ,trợ,mỗi,thành,tốt,sóc,con,đi,tác,xa,đứa,gái,kháu,khỉnh,lấy,ấy,phải,hy,sinh28,05,hãy,đi28,quan,điểm,giỏi,hơn,mình27,liệu,phúc25
0,0.0023448836538054953,0.03423763146484161,0.03423763146484161,0.021681808972218913,0.02631578947368421,0.03423763146484161,0.02631578947368421,0.021681808972218913,0.021681808972218913,0.0633747359292592,0.021681808972218913,0.021681808972218913,0.021681808972218913,0.02631578947368421,0.01839394748252681,0.021681808972218913,0.021681808972218913,0.01839394748252681,0.02631578947368421,0.0158436839823148,0.021681808972218913,0.02631578947368421,0.011998209359203272,0.013759966981061515,0.021681808972218913,0.0158436839823148,0.011998209359203272,0.0079218419911574,0.021681808972218913,0.02631578947368421,0.02631578947368421,0.02631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.001392274669447013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028495747228107774,0.04368562527100118,0.0625,0.0625,0.0625,0.0625,0.04368562527100118,0.0625,0.05149429630901992,0.032454663813219514,0.05149429630901992,0.05149429630901992,0.0625,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0015911710507965863,,,0.029425312176582813,,,,,,,,,,,,,,,,,,,,0.0186742409028692,,,,0.010751071273713613,,,,,0.016283284130347297,,,,,,,,,,,,,,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.012385267365166297,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.029425312176582813,0.0186742409028692,0.0186742409028692,0.03571428571428571,0.021502142547427227,0.03571428571428571,0.03571428571428571,0.021502142547427227,0.029425312176582813,0.029425312176582813,0.029425312176582813,0.029425312176582813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.002784549338894026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04334843577808204,,,,,,0.0653598431600422,,,,,,,,,,,0.16262874945799766,0.16262874945799766,0.08737125054200236,0.10298859261803985,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4336766652213271,0.4336766652213271,0.4336766652213271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0015188450939421958,,,,,,,,,0.04104954486327016,,0.018725198657825428,0.018725198657825428,0.022727272727272728,0.015885681916727703,0.018725198657825428,0.018725198657825428,0.015885681916727703,0.022727272727272728,0.013683181621090055,0.018725198657825428,0.022727272727272728,0.0103620899011301,0.011883607847280401,0.018725198657825428,0.013683181621090055,0.0103620899011301,0.006841590810545028,0.018725198657825428,0.022727272727272728,0.022727272727272728,0.022727272727272728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029568863537817756,0.029568863537817756,0.029568863537817756,0.029568863537817756,0.029568863537817756,0.022727272727272728,0.029568863537817756,0.029568863537817756,0.029568863537817756,0.029568863537817756,0.029568863537817756,0.029568863537817756,0.029568863537817756,0.029568863537817756,0.029568863537817756,0.029568863537817756,0.029568863537817756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.001392274669447013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016227331906609757,,,,,,,,0.02167421788904102,,,,,,,0.0326799215800211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08131437472899883,0.03762874945799765,0.05149429630901992,0.08131437472899883,0.08131437472899883,0.08131437472899883,0.08131437472899883,0.125,0.08131437472899883,0.08131437472899883,0.08131437472899883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0010607807005310575,,,,,,,,,,,,,,,,0.03923374956877708,0.0332842859207628,,,,,0.021711045507129732,,,0.028669523396569637,0.021711045507129732,,,,,,,,,,,,,,,0.012363681452655052,,,,,,,,,,,,,,0.024898987870492266,0.024898987870492266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06195380931733244,0.06195380931733244,0.047619047619047616,0.0332842859207628,0.024898987870492266,0.06195380931733244,0.06195380931733244,0.047619047619047616,0.03923374956877708,0.06195380931733244,0.06195380931733244,0.06195380931733244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0018563662259293507,,,,,,,,,0.050171665943996864,,,,,0.02912375018066745,0.034329530872679946,,,,,0.034329530872679946,,,,0.034329530872679946,0.025085832971998432,0.018997164818738515,0.012542916485999216,,,,,,,,,,,0.02912375018066745,,0.034329530872679946,0.01081822127107317,,,,,,,,,,,,,,,0.021786614386680732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025085832971998432,,,,,,,,,,,,,0.02912375018066745,0.021786614386680732,,,,,,,,0.054209583152665886,0.041666666666666664,0.054209583152665886,0.054209583152665886,0.041666666666666664,0.034329530872679946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0037127324518587013,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050171665943996864,,,,,,,,,,,,,,0.04327288508429268,,,,,,,,,,,,,0.13731812349071978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.21683833261066354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
