,anh,thành,ơi,tình,yêu,vẫn,có,chỗ,so,sánh,cũng,thấy,cô,xinh,xắn,dễ,thương,và,đảm,đang,khéo,léo,hơn,những,gái,khác,mà,như,vậy,thì,rồi,đó,cuối,cùng,em,muốn,nói,với,điều,này,hãy,cố,gắng,hết,sức,của,mình,để,làm,vừa,lòng,ấy,cho,sẽ,from,mot,trai,xin,dau,tento,tamsuvnexpress,net,sent,friday,may,07,2004,202,am,subject,gui,thanh,thật,chẳng,phải,là,người,kém,cỏi,đâu,con,không,thể,toàn,diện,được,ông,trời,ban,thứ,cất,đi,tự,nếu,lấy,đòi,hỏi,nhiều,nhưng,nè,trong,sự,tin,tưởng,tuyệt,đối,vào,phương,còn,một,cần,đáp,lại,nỗi,buồn,tôi17,05,hy,vọng,đừng,vội,chán,nản17,bạn,tôn,trọng,thành17,đau,khổ,nhiều17,chút,sóng,gió,giúp,thêm,thi,vị13
0,0.006683449172969408,0.018030301561390953,0.024102413942621338,0.018030301561390953,0.018030301561390953,0.034482758620689655,0.024102413942621338,0.034482758620689655,0.024102413942621338,0.024102413942621338,0.024102413942621338,0.034482758620689655,0.036060603122781906,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.024102413942621338,0.034482758620689655,0.024102413942621338,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.018030301561390953,0.018030301561390953,0.024102413942621338,0.018030301561390953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010767779223117379,,,,,,,,0.0776633338151132,0.0776633338151132,0.0776633338151132,,,,,,,,,,,,,,,,,0.1111111111111111,0.0776633338151132,0.05809763836448195,0.1111111111111111,0.0776633338151132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008306572543547693,,,,,,,,,,,,0.02987878544459072,,,,,0.03994114310491536,,0.01997057155245768,,,,,,,,,,,,,0.02857142857142857,0.01997057155245768,0.01997057155245768,0.02857142857142857,0.05714285714285714,0.01997057155245768,0.02857142857142857,0.01997057155245768,0.05714285714285714,0.03994114310491536,0.03994114310491536,0.02857142857142857,0.02857142857142857,0.011369714533486789,0.01997057155245768,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.03994114310491536,0.01493939272229536,0.01493939272229536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08737125054200236,,,,,,,,,,,,,,,,,,,,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.01162920156096677,0.020915149811213504,0.027958800173440754,,,,,,,,,,,,,,,,,,,,,,,,,,0.027958800173440754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.04,0.04,0.04,0.027958800173440754,0.04,0.04,0.04,0.04,0.04,0.020915149811213504,0.04,0.027958800173440754,0.027958800173440754,0.027958800173440754,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0653598431600422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08737125054200236,,,,0.125,0.0653598431600422,0.125,0.125,0.125,0.08737125054200236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.01250451780749115,,,,,,,,,,,,,,,,,,,,,,,0.05060116889809719,,0.022547419494710286,0.01686705629936573,,,0.01686705629936573,,,,,,,,,,0.022547419494710286,,0.022547419494710286,0.022547419494710286,,,0.012836774473291535,,,,,,0.022547419494710286,0.01686705629936573,0.03373411259873146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04509483898942057,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.06764225848413086,0.03225806451612903,0.022547419494710286,0.03225806451612903,0.03225806451612903,0.03225806451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.019382002601611284,,,,,,,,,,,,0.05228787452803377,,,,,,,,,,,,0.05228787452803377,,,,,,,0.06989700043360189,,,,,,,,,,,,,,0.03979400086720376,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05228787452803377,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.05228787452803377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0028502945002369536,,,0.015378786625892283,0.015378786625892283,,,,,,,,,,,,,,,,,,,0.015378786625892283,,,0.030757573251784565,,,,,,,,,,,,,,,,,,,0.011704117902118753,0.020557941304000554,,,,,,0.015378786625892283,,,,,,,,,,,,,,,,,,,,0.015378786625892283,,0.020557941304000554,0.020557941304000554,,,,,,0.030757573251784565,,,,,,,,0.020557941304000554,,0.020557941304000554,,,,,,0.015378786625892283,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.020557941304000554,0.029411764705882353,0.029411764705882353,0.029411764705882353,,,,,,,,,,,,,,,,,,,,,,,,
9,0.005814600780483385,0.020915149811213504,,0.010457574905606752,0.020915149811213504,,0.013979400086720377,,,,,,,,,,,,,,,,,,0.010457574905606752,,,,,,,,,0.013979400086720377,,,,0.013979400086720377,,,,,,,,,,,,,,,,0.020915149811213504,,,,,,,,,,,,,0.06989700043360189,,,,,,,,,,,,,,,0.010457574905606752,,,,,,,,,,,,,,,,0.010457574905606752,,,,,,,,,,,,0.013979400086720377,,,,0.02,0.02,0.02,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
