,hai,người,cùng,cố,gắng,mới,xây,được,bức,tường,tình,yêu,minh,thân,mến,anh,đang,gặp,phải,một,trong,những,hoàn,cảnh,trớ,trêu,nhất,tôi,nghĩ,điều,quan,trọng,là,nhìn,về,tương,lai,để,có,gia,đình,hạnh,phúc,cần,viên,gạch,chắc,chắn,và,dựng,từ,cả,2,from,quang,to,tamsuvnexpress,netsent,friday,may,14,2004,335,pmsubject,ý,kiến,chia,sẻ,với,đọc,tâm,sự,của,thật,thông,cảm,xin,vài,đến,cái,đó,cốt,lõi,mọi,chuyện,vậy,thì,thử,xem,bạn,gái,tư,tưởng,không,hiểu,phụ,nữ,nhiều,lắm,nhưng,nghiêm,túc,chính,cô,ấy,cũng,đong,đưa,giữa,cũ,thuận,lợi,gần,bên,cạnh,song,thực,chiếm,toàn,bộ,trái,tim,nàng,thể,thấy,hơi,nóng,mặt,rằng,nếu,ở,mà,còn,giữ,nữa,vết,thương,nào,rồi,lành,nỗi,đau,khổ,sẽ,qua,đàn,ông,tốt,mạnh,mẽ,vì,thế,hãy,tự,đứng,lên,khẳng,định,mình,hẳn,lúc,đều,huống,này,đã,đánh,mất,cho,bước,giới,hạn,làm,em,khi,việt,nam,giả,sử,lấy,nhau,vẫn,hệ,như,chàng,kia,đảm,bảotôi,tin,dám,việc,tìm,hết,lòng,chỉ,dũng,vượt,chúc,thành,công
0,0.03535659467845372,0.0135828442192756,0.029486886043264347,0.04539092786725309,0.04539092786725309,0.04539092786725309,0.025322261489654347,0.019452552854464976,0.029486886043264347,0.029486886043264347,0.034441986400222405,0.030575856601709955,0.029486886043264347,0.029486886043264347,0.029486886043264347,0.0061878858987303885,0.029486886043264347,0.03535659467845372,0.025322261489654347,0.017220993200111202,0.034441986400222405,0.025322261489654347,0.029486886043264347,0.029486886043264347,0.03535659467845372,0.03535659467845372,0.03535659467845372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.0631861843784236,,,,,,,,0.03690212828595257,0.03275984635897495,,,,,,,,,0.03690212828595257,,,,,,,0.02910609475559057,0.04733984512011243,0.0631861843784236,0.0631861843784236,0.07576413145382939,0.04733984512011243,0.07576413145382939,0.0631861843784236,0.07576413145382939,0.07576413145382939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0.016299413063130718,,,,,0.03038671378758522,,0.03538426325191722,0.03538426325191722,,,,,,,,,0.03038671378758522,0.04133038368026688,,0.03038671378758522,,,,,,,,,,,,,,,,0.03038671378758522,0.046686126850715944,0.03538426325191722,0.03538426325191722,0.026510313267262966,0.026510313267262966,0.04242791361414446,0.04242791361414446,0.04242791361414446,0.03538426325191722,0.04242791361414446,0.023343063425357972,0.03538426325191722,0.04242791361414446,0.03538426325191722,0.04242791361414446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3404319590043982,0.3404319590043982,0.3404319590043982,0.3404319590043982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.05203568125281944,0.02601784062640972,0.02601784062640972,0.021839597289636664,,,,,,,0.02601784062640972,0.02601784062640972,,,,0.011984862546419646,,,,,,,,,,,,,,,,,,,,,0.01716401722452792,,,,,,,,,0.04005081870639979,0.04005081870639979,0.04005081870639979,0.04005081870639979,0.04005081870639979,0.04005081870639979,0.04005081870639979,0.03119699530451799,0.03119699530451799,0.03119699530451799,0.03119699530451799,0.05203568125281944,0.04005081870639979,0.04005081870639979,0.06239399060903598,0.03432803444905584,0.04005081870639979,0.04005081870639979,0.019492877402399238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,0.034441986400222405,0.030575856601709955,,,,0.012375771797460777,0.058973772086528695,0.07071318935690744,0.050644522979308694,0.034441986400222405,0.06888397280044481,0.050644522979308694,0.058973772086528695,0.058973772086528695,0.07071318935690744,0.07071318935690744,0.07071318935690744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,0.020626286329101295,,,,,,,,,,,,0.04527614739758533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11785531559484573,0.11785531559484573,0.11785531559484573,0.11785531559484573,0.0982896201442145,,,,,,,,0.15130309289084365,0.15130309289084365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.04020939005899684,,,,,,,,0.023483172545606185,0.020847174955711333,,,,,,,,0.023483172545606185,0.023483172545606185,,,,,,,0.01852206029901218,0.060250711971052195,0.04020939005899684,0.04020939005899684,0.04821353819789144,0.030125355985526098,0.04821353819789144,0.04020939005899684,0.04821353819789144,0.04821353819789144,,,0.04020939005899684,0.04020939005899684,0.030125355985526098,0.030125355985526098,,,,,,0.026526208437906786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0618967198189815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,0.05166297960033361,,,,,,,,,,0.05166297960033361,,,,,,,,,,,,0.06627578316815741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06627578316815741,,,,0.07596678446896304,0.08846065812979305,0.1361727836017593,0.1361727836017593,0.08846065812979305,0.08846065812979305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.015092049132528443,,,,,0.02813584609961594,,0.03276320671473816,0.03276320671473816,,,,,,,,,0.02813584609961594,0.03826887377802489,,0.02813584609961594,,,,,,,,,,,,,,,,0.02813584609961594,0.04322789523214439,0.03276320671473816,0.03276320671473816,0.024546586358576816,0.024546586358576816,0.039285105198281906,0.039285105198281906,0.039285105198281906,0.03276320671473816,0.039285105198281906,0.021613947616072195,0.03276320671473816,0.039285105198281906,0.03276320671473816,0.039285105198281906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039285105198281906,0.03276320671473816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
