,trẻ,thiếu,cha,vẫn,học,tốt,như,thường,sự,nuôi,dạy,đơn,độc,của,bà,mẹ,không,hề,ảnh,xấu,đối,với,lực,và,hành,vi,một,nghiên,cứu,lớn,đại,cornell,mỹ,vừa,tiết,lộ,vấn,đề,chính,ở,đây,là,năng,trình,độ,người,đó,ngoài,ra,hưởng,mức,nhẹ,hơn,thu,nhập,môi,trường,gia,đình,các,đều,có,thể,nguồn,tích,cực,đến,cuộc,sống,con,cái,họ,bất,kể,thân,hay,nhà,henry,ricciuti,nhận,định,vậy,sau,khi,thực,hiện,điều,tra,đa,chủng,tộc,tìm,hiểu,trên,gần,1,500,chúng,được,6,7,tuổi,kéo,dài,cho,năm,12,13,xác,phụ,nữ,cùng,chồng,trong,khoảng,thời,gian,trung,bình,sinh,20,21,thấy,mối,liên,hệ,chặt,chẽ,giữa,vai,trò,da,đen,trắng,những,gốc,bồ,đào,nha,tây,ban,nhìn,chung,tôi,hầu,tiêu,việc,mình,tới,tình,trạng,này,xảy,bao,lâu,trước,nói,ông,lưu,ý,nhiều,kinh,nghiệm,làm,kiến,thức,xã,hội,tế,đã,biết,cách,cải,thiện,huynh,rất,tuy,nhiên,cần,giúp,đỡ,để,kiện
0,0.01854688983959054,0.018979298789844966,0.026321493806039632,0.026321493806039632,0.034911311320950905,0.018979298789844966,0.014684390032389328,0.026321493806039632,0.018979298789844966,0.018979298789844966,0.026321493806039632,0.026321493806039632,0.00927344491979527,0.01712803946585619,0.011637103773650303,0.007342195016194664,0.011637103773650303,0.026321493806039632,0.011637103773650303,0.026321493806039632,0.026321493806039632,0.018979298789844966,0.014684390032389328,0.007342195016194664,0.018979298789844966,0.018979298789844966,0.018979298789844966,0.014684390032389328,0.014684390032389328,0.018979298789844966,0.018979298789844966,0.018979298789844966,0.018979298789844966,0.026321493806039632,0.026321493806039632,0.026321493806039632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.028065956159980143,,,,,,,,,0.013769600354903998,,0.0177076468037636,,,,,,,0.0354152936075272,0.0177076468037636,,,,,,,,,,,,,0.12696249953501468,0.06348124976750734,0.06348124976750734,0.0354152936075272,0.06348124976750734,0.0177076468037636,0.06348124976750734,0.06348124976750734,0.06348124976750734,0.0354152936075272,0.0354152936075272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,0.029820078419978902,,,,,0.018814374728998825,,,,,,,,,,,,,,,,0.03762874945799765,,0.018814374728998825,,,,,,0.06744882787797656,0.04863445314897773,0.03762874945799765,0.06744882787797656,0.06744882787797656,0.06744882787797656,0.06744882787797656,0.06744882787797656,0.04863445314897773,0.03762874945799765,0.03762874945799765,0.03762874945799765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0.00935531871999338,,0.011805097869175734,,,,,,0.007455122386502079,0.009179733569935998,0.00935531871999338,0.005902548934587867,0.00935531871999338,,0.00935531871999338,,,,,,,,,0.011805097869175734,0.011805097869175734,0.015257867654581248,0.015257867654581248,0.015257867654581248,,,,,,,,,,0.005902548934587867,,,,,,,,0.011805097869175734,,,,,,,,,,0.015257867654581248,0.021160416589169114,0.030515735309162496,0.015257867654581248,0.021160416589169114,0.021160416589169114,0.015257867654581248,0.015257867654581248,0.04232083317833823,0.011805097869175734,0.011805097869175734,0.021160416589169114,0.023610195738351467,0.011805097869175734,0.011805097869175734,0.00935531871999338,0.015257867654581248,0.021160416589169114,0.021160416589169114,0.011805097869175734,0.015257867654581248,0.015257867654581248,0.021160416589169114,0.021160416589169114,0.011805097869175734,0.021160416589169114,0.021160416589169114,0.015257867654581248,0.021160416589169114,0.021160416589169114,0.021160416589169114,0.021160416589169114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08600857018970891,0.08600857018970891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08600857018970891,0.11116446434052052,0.15416874943537498,0.15416874943537498,0.15416874943537498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.023763202606975377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04863445314897773,,,,,,,,,,,,,,,,,0.03762874945799765,,,,,,,,,,,,,0.06744882787797656,0.04863445314897773,0.04863445314897773,0.04863445314897773,0.06744882787797656,0.09726890629795545,0.06744882787797656,0.06744882787797656,0.04863445314897773,0.04863445314897773,0.06744882787797656,0.06744882787797656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.016530923552678524,,0.020744402379115758,0.01308826068104266,0.020744402379115758,,,,,,,,,,,,,,,,,,,,,,,,,0.01308826068104266,,,,0.02617652136208532,,,,,,,,,,,,,,0.03383266306015842,,,,,,,,,0.02617652136208532,,,,,,0.020744402379115758,,,,,,0.03383266306015842,,,,,,,,,,,0.02617652136208532,0.03383266306015842,,,,,,0.06766532612031684,,,,,,,,,,0.04692092374120108,0.03383266306015842,0.04692092374120108,0.04692092374120108,0.04692092374120108,0.02617652136208532,0.03383266306015842,0.04692092374120108,0.04692092374120108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,0.021280291457578905,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02736636324218011,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05473272648436022,,0.05473272648436022,,,,,,,,,,,,0.05473272648436022,,,,,,,,,,,,,,,,,,0.07074102276214943,,,,,,,,,,,,,,,,0.09810738600432954,0.09810738600432954,0.09810738600432954,0.09810738600432954,0.09810738600432954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.008265461776339262,,,,0.010372201189557879,,,,,,,,,0.010177530697102954,,0.00654413034052133,,,,,,0.01691633153007921,0.01308826068104266,0.00654413034052133,0.01691633153007921,0.01691633153007921,,,,,,,0.01691633153007921,,,,,,,0.01308826068104266,,0.00654413034052133,,,,0.03926478204312798,0.01308826068104266,,,,,,,,,,0.01308826068104266,0.01308826068104266,0.01308826068104266,,,,,,,,,,,,,,0.01308826068104266,0.01308826068104266,,0.01691633153007921,,,0.01308826068104266,0.01691633153007921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01691633153007921,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.01691633153007921,0.01691633153007921,0.04692092374120108,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.02346046187060054,0.04692092374120108,0.02346046187060054,0.02346046187060054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.00950528104279015,,,,,,0.01505149978319906,,,0.01945378125959109,,,0.00950528104279015,0.005852080150834199,,,0.011928031367991561,,0.011928031367991561,,,,,,,,0.01945378125959109,,,,,,,,,,,,,,,,,,,,0.01505149978319906,,0.01945378125959109,0.01505149978319906,,,,,,,,,,,,,,,,0.01945378125959109,,,,0.01505149978319906,,,0.01505149978319906,0.01505149978319906,0.011928031367991561,,,,0.01505149978319906,,,,,,,,,,,,,0.01505149978319906,,,,,,0.01945378125959109,,0.01945378125959109,,,,,,0.01945378125959109,,,,,,,,0.01505149978319906,0.01945378125959109,,,,,,,,0.01945378125959109,,,,,,,,,,,,,,,,,,,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.01945378125959109,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,0.026979531151190624,,,,,,,,,,,,,,,,,,,,,,,,,,
