,đạt,có,thể,về,quê,nhà,để,ôn,thi,cháu,đang,đại,học,vẫn,tìm,thêm,việc,làm,gì,giúp,cho,của,mình,sao,không,nơi,mẹ,ông,bà,tiếp,tục,sự,bao,giờ,ngừng,nghỉ,cả,đâu,tiện,lợi,ổn,định,và,giỏi,nữa,ạ,tôi,mong,sớm,suy,nghĩ,tự,quyết,from,pham,thuy,phuongto,tamsuvnexpress,net,sent,sunday,january,11,2004,529,am,subject,than,chao,chau,dat,thân,chào,được,gọi,là,vì,tuổi,đã,lớn,hoàn,cảnh,giống,rất,gia,đình,bạn,đọc,thiết,trang,mục,này,cũng,thường,lắng,nghe,những,ý,kiến,đầy,sức,thuyết,phục,biết,bài,viết,hôm,nay,dòng,tâm,trong,cuộc,đời,nhiêu,người,đàn,phụ,nữ,cùng,đau,khổ,như,thế,các,con,nhau,nhưng,riêng,với,dạy,chúng,nghị,lực,vươn,lên,mọi,lúc,đi,quãng,đường,dài,12,năm,cần,bàn,tay,ấy,đến,bây,lại,trở,cướp,hạnh,phúc,ân,dỗ,cha,suốt,đoạn,mà,mến,theo,nếu,ở,tp,hcm,chứng,bất,công,nghiệt,ngã,nhỉ,còn,chuyện,nên,tham,chắc,ít,nhiều,ba
0,0.018202304207695565,0.01266417065444956,0.02834404476324275,0.018202304207695565,0.018202304207695565,0.018202304207695565,0.03640460841539113,0.04776533480608025,0.04776533480608025,0.005622591981864529,0.023882667403040125,0.023882667403040125,0.03640460841539113,0.018202304207695565,0.023882667403040125,0.023882667403040125,0.03640460841539113,0.018202304207695565,0.023882667403040125,0.023882667403040125,0.018202304207695565,0.011045892929748589,0.018202304207695565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.014021046081712013,0.010460302234053871,0.013435034058061013,0.013435034058061013,0.013435034058061013,0.013435034058061013,,,0.004150008367566676,,,0.05374013623224405,0.013435034058061013,,,0.013435034058061013,,,,,,0.013435034058061013,0.01762768308319628,0.020920604468107742,0.03525536616639256,0.01762768308319628,0.013435034058061013,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.013435034058061013,0.010460302234053871,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.010460302234053871,0.006267653208918604,0.01762768308319628,0.01762768308319628,0.01762768308319628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,0.009683352857655578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04881474375891807,,,,,0.021810516127107576,0.08226252105491598,0.08226252105491598,0.06269682560428472,0.06269682560428472,0.08226252105491598,0.08226252105491598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20827853703164503,0.20827853703164503,0.20827853703164503,0.20827853703164503,0.20827853703164503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.014468498216373398,0.0050331960293325175,,,,,,,,0.008938479560912841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00674978037883542,,,,0.015099588087997554,,,,,,,,,,,,0.026702376542518592,0.026702376542518592,0.026702376542518592,0.026702376542518592,0.026702376542518592,0.026702376542518592,0.026702376542518592,0.026702376542518592,0.026702376542518592,0.026702376542518592,0.026702376542518592,0.026702376542518592,0.026702376542518592,0.014468498216373398,0.026702376542518592,0.014468498216373398,0.026702376542518592,0.011264940867442631,0.026702376542518592,0.026702376542518592,0.00878006873903093,0.018983658704980613,0.018983658704980613,0.018983658704980613,0.037967317409961225,0.018983658704980613,0.018983658704980613,0.026702376542518592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,0.02536464302386713,,,,,,,,,,,0.016271581252972688,,,,,,,,,,0.00974968276942894,,,,0.007270172042369192,,,,,,,,,,,,,,,,,,,,,,,,,0.02089894186809491,,,,0.016271581252972688,,,,,,,,,,,0.03857009945030463,0.02742084035163866,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.02742084035163866,0.02089894186809491,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.02089894186809491,0.03857009945030463,0.02742084035163866,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.03857009945030463,0.02742084035163866,0.03857009945030463,0.03857009945030463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.009575348543608204,0.010715431556835674,,,,,,,0.002125614041924395,,,,,,,,0.013762717815574697,,,0.013762717815574697,0.008351772702980641,,,0.010715431556835674,,,0.013762717815574697,,,,0.013762717815574697,0.021430863113671348,,,,,,,,,,,,,,0.004787674271804102,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013762717815574697,,0.010715431556835674,,,0.008351772702980641,,,,,,,,,0.01805762657303034,,,,0.01805762657303034,0.013762717815574697,,,,0.027525435631149394,,,,,,,0.01805762657303034,,,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.013762717815574697,0.025399821589225005,0.025399821589225005,0.05079964317845001,0.027525435631149394,0.01805762657303034,0.01805762657303034,0.01805762657303034,0.01805762657303034,0.025399821589225005,0.025399821589225005,0.025399821589225005,0.025399821589225005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.013086309676264545,,,,,,,,0.0029050058572966733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008774714492486046,,,,0.01962946451439682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022828178721480418,,0.049357512632949595,0.049357512632949595,0.024678756316474797,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01880904768128542,,,,,,,,,,,,,0.024678756316474797,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.024678756316474797,0.024678756316474797,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.03471308950527417,0.06942617901054834,0.03471308950527417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0035940855441946662,0.007501706183845918,0.005596594825863219,0.0071881710883893325,0.0035940855441946662,0.0035940855441946662,0.0071881710883893325,0.004715685920345503,0.004715685920345503,0.007216256588189188,0.004715685920345503,0.004715685920345503,0.021564513265167996,0.0071881710883893325,0.004715685920345503,0.004715685920345503,0.010782256632583998,0.0035940855441946662,0.004715685920345503,0.004715685920345503,0.0035940855441946662,0.006543108550742795,0.0071881710883893325,0.009431371840691006,0.011193189651726438,0.009431371840691006,0.014147057761036507,0.0071881710883893325,0.004715685920345503,0.004715685920345503,0.004715685920345503,0.0071881710883893325,0.0027982974129316094,0.009431371840691006,0.004715685920345503,0.004715685920345503,0.004715685920345503,0.004715685920345503,0.004715685920345503,0.004715685920345503,0.004715685920345503,0.0027982974129316094,0.0016766970367807733,0.004715685920345503,0.004715685920345503,0.004715685920345503,0.0012502843639743198,,,,,,,,,,,,,,,,,,,,,,,,,0.0035940855441946662,,0.0035940855441946662,,0.0027982974129316094,,,0.004362072367161864,,,,,0.004715685920345503,,,,,,,,,,,,,0.0035940855441946662,,0.004715685920345503,,,,,,,,,,,,0.0035940855441946662,,,,0.0071881710883893325,0.004715685920345503,0.004715685920345503,0.004715685920345503,0.004715685920345503,,,,,0.014147057761036507,,,,,0.014147057761036507,0.009431371840691006,,,,,,,,0.019899223283278186,0.006633074427759396,0.013266148855518791,0.006633074427759396,0.006633074427759396,0.006633074427759396,0.019899223283278186,0.006633074427759396,0.006633074427759396,0.013266148855518791,0.006633074427759396,0.006633074427759396,0.006633074427759396,0.006633074427759396,0.013266148855518791,0.006633074427759396,0.006633074427759396,0.006633074427759396,0.013266148855518791,0.013266148855518791,0.006633074427759396,0.006633074427759396,0.019899223283278186,0.006633074427759396,0.006633074427759396,0.006633074427759396,0.006633074427759396,0.006633074427759396,0.006633074427759396,0.006633074427759396,0.006633074427759396,0.006633074427759396,0.006633074427759396,0.006633074427759396,0.006633074427759396,,,,,,,,
9,,,,,,,,,,0.007578276149469583,,,,,,,,,,,,0.014887942644443751,,,0.019101421470880984,,,,,,,,,,,,,,,,,0.019101421470880984,0.011445279772807886,,,,0.017069099577736363,0.032189682151923645,0.032189682151923645,0.024533540453850543,0.04906708090770109,0.032189682151923645,0.032189682151923645,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032189682151923645,,,,,0.032189682151923645,,,,,,,,0.024533540453850543,,,,,,,,,,,,,,,,,,,,,,0.024533540453850543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04527794283296631,0.04527794283296631,0.04527794283296631,0.04527794283296631,,,,
10,,0.01962946451439682,,,,,,,,0.00871501757189002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05642714304385626,0.05642714304385626,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03424226808222063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10413926851582252,0.10413926851582252,0.20827853703164503,0.10413926851582252
