,mai,chi,có,vị,trí,đặc,biệt,trong,trái,tim,của,anh,ấy,xung,quanh,rất,nhiều,người,con,gái,khác,sao,ta,không,tâm,sự,mà,lại,thổ,lộ,với,bạn,chắc,chắn,cũng,một,nào,đó,nếu,niềm,tin,và,dành,cho,tình,yêu,cao,cả,mình,ngày,sẽ,thành,công,hãy,tưởng,vào,bản,thân,làm,tất,vì,from,human,resourcesto,tamsuvnexpress,net,sent,tuesday,may,11,2004,1234,pm,subject,gui,tran,bai,yeu,em,theo,mong,uoc,cua,co,gai,khac,chào,đã,đọc,những,dòng,cảm,nhận,được,rằng,đang,đau,khổ,bối,rối,việc,tìm,cách,giải,quyết,chuyện,đi,2,năm,rồi,lẽ,là,hơn,tuổi,thể,gửi,tới,vài,điều,như,lời,khuyên,chị,thực,khi,thấy,xót,xa,lắm,số,phận,phụ,nữ,chúng,vừa,lòng,gì,mắn,hết,đừng,nên,quá,buồn,dũng,lên,sống,chàng,để,đến,lúc,ra,mới,chính,cần,chứ,phải,du,học,kia,nhau,sâu,sắc,thời,gian,sớm,chiều,quên,cũ,ngay,nhất,thì,bên,cạnh,quan,lo,lắng,đây,trọng,mở,rộng,mối,hệ,hai,biết,nói,dễ,thương,phần,đúng,chúc,đón,ấy05,05,tế,hơn05,tiếp,tục,yêu05,tôi,giống,hoàn,cảnh,chi04,hy,vọng,ấy04
0,0.018410668640479654,0.018410668640479654,0.02804251237214442,0.044314582347158515,0.044314582347158515,0.02856218469834481,0.02856218469834481,0.0315047952976274,0.02856218469834481,0.02856218469834481,0.009347504124048141,0.01921468057429667,0.024011550231428192,0.022157291173579258,0.022157291173579258,0.0157523976488137,0.018410668640479654,0.009347504124048141,0.018410668640479654,0.0157523976488137,0.022157291173579258,0.022157291173579258,0.0157523976488137,0.012005775115714096,0.0157523976488137,0.0157523976488137,0.018410668640479654,0.022157291173579258,0.022157291173579258,0.022157291173579258,0.018410668640479654,0.008352963623147582,0.0157523976488137,0.022157291173579258,0.013690482478429519,0.009347504124048141,0.013690482478429519,0.012005775115714096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.017573307753210504,,,,,,,,,0.012041199826559249,,,,,,,,,,,,,,,,,,,,0.015703571611517454,0.029614507579769755,,,0.03514661550642101,0.0257381070594475,0.0225708572175425,0.041655707406329005,0.041655707406329005,0.05922901515953951,0.015527206855315256,0.03461205704410175,0.019892985632317978,0.017573307753210504,0.015527206855315256,0.041655707406329005,0.0257381070594475,0.015527206855315256,0.041655707406329005,0.03461205704410175,0.03461205704410175,0.03461205704410175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052883049249588844,0.027727155098777243,,,0.031380906702161614,0.027727155098777243,,0.0459609054632991,,,,,,0.10576609849917769,0.06180724472161027,0.06180724472161027,0.07438519179701608,0.07438519179701608,0.052883049249588844,0.07438519179701608,0.052883049249588844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33560567020555154,0.33560567020555154,0.33560567020555154,0.33560567020555154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.027469886542937895,0.027469886542937895,,,,,,0.02350357744426171,,,0.013947069645405163,0.004778253899428273,,,,0.011751788722130854,,,,,,,,,0.011751788722130854,0.011751788722130854,,,,,,0.0124631520726329,,,,,,,,,,0.0061615900219504985,,0.007894041917586499,0.006973534822702581,,,0.0102135345473998,0.0061615900219504985,,,,,,,,,,,,,,,,,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.01653004262155913,0.0213082965209874,0.01653004262155913,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.01653004262155913,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.013734943271468947,0.01653004262155913,0.01653004262155913,0.0213082965209874,0.02350357744426171,0.013734943271468947,0.013734943271468947,0.013734943271468947,0.013734943271468947,0.013734943271468947,0.013734943271468947,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.0213082965209874,0.01653004262155913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.05857769251070168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013086309676264545,,,,,,,,,,0.025878678092192093,,,,,,,0.025878678092192093,,,,,,,,,,0.049357512632949595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05768676174016959,,,,,,,,,,,,,0.06942617901054834,0.06942617901054834,0.08949484538814707,0.08949484538814707,0.08949484538814707,0.042896845099079164,0.08949484538814707,0.08949484538814707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,0.024407371879459034,,,,,,,,0.024407371879459034,,,,,,,,,0.04113126052745799,,,,,,,,,,,,0.010905258063553788,,,,0.024407371879459034,,,,,,,,,,,,,0.021565565076826745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05785514917545695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05785514917545695,,,,0.0357473709158993,,,0.05785514917545695,0.07457903782345589,0.07457903782345589,0.07457903782345589,0.05785514917545695,0.05785514917545695,0.07457903782345589,0.07457903782345589,0.05785514917545695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,0.03661105781918855,,,,,,,,,,,,,,,0.06169689079118699,,,,,,0.016357887095330682,,,,,,,,,,,,,,,,,0.032348347615240115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08678272376318542,,,,,,,,,,,,,,,,,0.08678272376318542,,,,,,,,,,,,,,,,,,0.08678272376318542,0.11186855673518384,0.11186855673518384,0.08678272376318542,0.08678272376318542,0.11186855673518384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,0.04393326938302627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049732464080794944,,,,,0.03881801713828814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10413926851582252,0.10413926851582252,,0.13424226808222062,0.13424226808222062,0.13424226808222062,0.13424226808222062,0.13424226808222062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.03820284294176197,,,,,,,,,,,,,,,0.03820284294176197,,,,,,,,,,,,,0.037621801134893204,,,,0.02797620332548641,0.019101421470880984,,,,,,0.016877398755777453,,,,0.016877398755777453,,,0.050632196267332355,,,,,,,,,,,,0.032189682151923645,,,,,,,,0.04527794283296631,,,,,,,,,,,,,,,,,,,,,0.04527794283296631,,,,,,0.037621801134893204,,,,,,,,,,,,,,,,0.02797620332548641,,,,,,,,,,,,,,,,,,,,,,,0.058366203514008966,0.11673240702801793,0.058366203514008966,0.058366203514008966,0.04527794283296631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
