,cần,sân,chơi,bình,đẳng,để,xóa,nghèo,tăng,trưởng,nhanh,trưa,nay,đại,diện,thường,trú,chương,trình,phát,triển,liên,hợp,quốc,undp,tại,vn,jordan,d,ryan,khẳng,định,với,vnexpress,dung,hòa,giữa,mục,tiêu,và,giảm,đói,tới,đây,tạo,ra,cho,mọi,thành,phần,kinh,tế,thiết,lập,các,lĩnh,vực,ngành,nghề,khu,chẳng,hạn,như,doanh,nghiệp,nhà,nước,tư,nhân,miền,núi,xuôi,ông,nhấn,mạnh,10,năm,gần,trong,khi,rất,thì,lại,có,sự,gia,bất,đặc,biệt,là,về,thu,nhập,bộ,phận,dân,cư,vì,thế,rằng,chính,phủ,đặt,phải,đảm,bảo,giải,quyết,luôn,cả,vấn,đề,xã,hội,nói,làm,sao,hướng,đến,người,họ,nhiều,cơ,hơn,mặt,một,báo,cáo,mới,được,dự,án,cao,học,hà,lan,nội,công,bố,thấy,gdp,mối,hệ,mật,lẫn,nhau,tác,giả,việc,pháp,ngắn,dài,hoà,hai,bằng,cấp,theo,đầu,vùng,còn,gặp,khó,khăn,nâng,chất,lượng,giáo,dục,đồng,thời,tiến,lên,thị,trường,sách,dựng,giàu,phù,hoạch
0,0.007649956883322634,0.01372206926455302,0.01372206926455302,0.0053414468960601095,0.0053414468960601095,0.018030301561390953,0.034482758620689655,0.010380344678068316,0.0053414468960601095,0.0053414468960601095,0.01372206926455302,0.034482758620689655,0.034482758620689655,0.024102413942621338,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.024102413942621338,0.024102413942621338,0.024102413942621338,0.024102413942621338,0.024102413942621338,0.034482758620689655,0.018030301561390953,0.01372206926455302,0.034482758620689655,0.034482758620689655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.006524963224010482,0.011704117902118753,0.011704117902118753,0.004555939999580682,0.004555939999580682,0.015378786625892283,,0.0088538234018818,0.004555939999580682,0.004555939999580682,0.011704117902118753,,,,,,,,,,,,,,,,0.011704117902118753,,,0.015378786625892283,0.029411764705882353,0.020557941304000554,0.020557941304000554,0.029411764705882353,0.020557941304000554,0.029411764705882353,0.011704117902118753,0.015378786625892283,0.015378786625892283,0.0088538234018818,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.020557941304000554,0.020557941304000554,0.020557941304000554,0.006524963224010482,0.020557941304000554,0.029411764705882353,0.029411764705882353,0.011704117902118753,0.011704117902118753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.014789916641090426,0.026529333911469173,0.026529333911469173,0.010326797332382879,0.010326797332382879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026529333911469173,,,,,,,,,,,,,,,,0.034858583018689174,0.04659800028906792,0.020068666377598746,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,0.011915535383518708,0.011915535383518708,,,,,,,,,,,,,,,,,,,,,,,,,0.020110720972320677,,,,,,,0.030610769897849048,,,0.02315615351261394,,,,,,,,,,,,,,,0.01157807675630697,,,,,,0.038461538461538464,0.020110720972320677,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.026883461705231496,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.020110720972320677,0.038461538461538464,0.038461538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,0.004555939999580682,0.004555939999580682,,,,0.009111879999161365,0.004555939999580682,0.011704117902118753,,,,,,,,,,,,,,,,0.011704117902118753,,,,,,,,,,0.011704117902118753,,,,,,,0.020557941304000554,,,,,,,0.011704117902118753,0.011704117902118753,,,0.0088538234018818,,,,,,,,,,,,,,,,,,,,,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.020557941304000554,0.020557941304000554,0.020557941304000554,0.020557941304000554,0.029411764705882353,0.015378786625892283,0.029411764705882353,0.029411764705882353,0.020557941304000554,0.029411764705882353,0.029411764705882353,0.020557941304000554,0.020557941304000554,0.020557941304000554,0.020557941304000554,0.029411764705882353,0.029411764705882353,0.020557941304000554,0.029411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.007923169629155584,,,,,,,,0.005532212856633685,0.005532212856633685,,,,,,,,,,,,,,,,,,,,0.0186742409028692,,,,,,,,0.0186742409028692,0.0186742409028692,,,,,,,,0.007923169629155584,,,,,,,,0.010751071273713613,,,,,,,,,,,,,,,,,,0.0186742409028692,,,,,,,0.0249632144405721,,0.0249632144405721,,,,,,,,,,,,,,,,0.03571428571428571,0.03571428571428571,0.0249632144405721,0.0186742409028692,0.0249632144405721,0.03571428571428571,0.0186742409028692,0.0249632144405721,0.0249632144405721,0.0249632144405721,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0249632144405721,0.03571428571428571,0.0249632144405721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,0.01308826068104266,0.006734867825467095,0.006734867825467095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009645597809406799,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,,,,,0.02273385849044946,,,,,,,,,,,0.02273385849044946,,,,,,,0.03039000018852256,,,,,,,,,,,,,0.02273385849044946,0.03039000018852256,0.03039000018852256,,,,,,,,0.03039000018852256,0.03039000018852256,0.043478260869565216,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.02273385849044946,0.043478260869565216,0.03039000018852256,0.043478260869565216,0.03039000018852256,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.003295786382675387,0.003295786382675387,,,,0.003295786382675387,0.003295786382675387,,,,0.014871702219915295,,,,,,0.014871702219915295,0.014871702219915295,0.014871702219915295,,0.014871702219915295,,0.011125079686815694,0.01693361739029947,,,,,,,,,,,,,0.0064048935247655574,,,,,,,0.004720186162050136,,,,0.01693361739029947,0.01693361739029947,0.011125079686815694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011125079686815694,,,0.014871702219915295,,,,,0.014871702219915295,0.014871702219915295,,,0.014871702219915295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014871702219915295,0.014871702219915295,0.014871702219915295,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.014871702219915295,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.014871702219915295,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0034130576864054834,,,,,0.008044288388928272,,0.004631230702522788,0.004766214153407483,0.0023831070767037416,0.00612215397956981,,,,,,,,,,,,,,,0.008044288388928272,,,,,,,,,0.010753384682092599,,,0.008044288388928272,0.008044288388928272,0.013893692107568363,,,,,,0.010753384682092599,0.006826115372810967,,,,0.00612215397956981,0.00612215397956981,0.008044288388928272,,0.013893692107568363,,,,,,,0.016088576777856543,,,,,,0.010753384682092599,,,,,,,,,,,,,,,,,,,,,,0.010753384682092599,,,,,,,,,,0.010753384682092599,0.008044288388928272,0.010753384682092599,,,,,0.010753384682092599,,,,,0.010753384682092599,,,,,,0.010753384682092599,,0.008044288388928272,,0.010753384682092599,,,,,,,,,,,0.010753384682092599,,,,,0.010753384682092599,,,,,,,,,0.010753384682092599,0.010753384682092599,0.010753384682092599,0.015384615384615385,0.010753384682092599,0.010753384682092599,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.010753384682092599,0.010753384682092599,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,,,,,
9,0.005159273246892009,0.009254418806326456,0.009254418806326456,0.003602371162459144,0.003602371162459144,,,0.007000697573580958,,,,,,,,,,,,,,,0.016255116379907415,,,,,,,,,0.016255116379907415,0.016255116379907415,,,,,,,0.007000697573580958,,,,,0.016255116379907415,,0.005159273246892009,,,,,,,0.016255116379907415,,,,,,,,0.024319941640945936,,,,,,,,,,,,,,,,,0.016255116379907415,,0.016255116379907415,,,,,,,,,,,,,,,,,,,,0.036479912461418906,,,0.012159970820472968,,,,,,,,,,,0.016255116379907415,,,,,0.024319941640945936,,,,0.016255116379907415,,0.03251023275981483,0.016255116379907415,0.016255116379907415,,,,,,,,,,,,,,,,,,,0.016255116379907415,0.016255116379907415,0.016255116379907415,,0.016255116379907415,0.016255116379907415,,,,,,,,,,,,,,,0.016255116379907415,0.016255116379907415,,,,,,,0.06976744186046512,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372
