,phân,bón,thiếu,hệ,thống,phối,trao,đổi,với,báo,giới,thứ,trưởng,thương,mại,phan,thế,ruệ,cho,rằng,doanh,nghiệp,trong,ngành,cần,xây,dựng,rộng,khắp,các,địa,bàn,đón,trước,khả,năng,cạnh,tranh,gay,gắt,từ,tập,đoàn,nước,ngoài,khi,vn,mở,cửa,thị,trường,này,đánh,giá,ra,sao,về,của,theo,tính,toán,bộ,công,đến,năm,2005,sản,lượng,urê,do,xuất,có,thể,đáp,ứng,được,50,nhu,cầu,tiêu,thụ,cả,hy,vọng,lúc,đó,chúng,ta,sẽ,không,bị,tác,động,nhiều,bởi,nhưng,phía,tôi,cũng,phải,những,giải,pháp,dài,hơi,đặc,biệt,là,vùng,miền,chứ,trung,cung,cấp,một,vài,nhà,chính,nằm,tại,thành,phố,lớn,như,hiện,nay,vậy,mới,hạn,chế,tượng,đội,bất,thường,khâu,gian,hạ,tay,người,nông,dân,ở,mức,chấp,nhận,nếu,thực,điều,việt,nam,tham,gia,vào,tổ,chức,kinh,tế,quốc,nhảy,thua,ngay,trên,sân,gần,đây,tăng,cao,lường,quả,thật,2003,và,sang,đầu,đã,diễn,biến,phức,tạp,khó,dự,đoán,nhập,cảng,lên,190,200,usd,tấn,hơn,36,so,cùng,kỳ,ảnh,hưởng,tới,3,400,500,đồng,kg,tiếp,tục,nữa,thì,mà,chịu,đựng,rất,nguyên,nhân,khiến,ổn,hết,tình,hình,trị,kéo,đông,chiến,iraq,đẩy,xăng,dầu,liệu,để,liên,hai,indonesia,phần,đang,giai,đoạn,khăn,lấy,ví,dụ,đóng,máy,cước,phí,vận,chuyển,góp,riêng,còn,gánh,thêm,khoảng,20,chi,vat,chiếm,10,lần,kiến,nghị,giảm,thuế,xuống,0,bán,ý,gì,đề,hoàn,toàn,hợp,lý,mạnh,tuy,nhiên,muốn,chờ,thủ,tướng,vụ,hội,sửa,vì,luật,thời,đợi,tài,phép,giãn,nộp,30,ngày,60,bắt,loại,phục,chỉ,đảm,bảo,100,npk,lân,ba,quan,trọng,khác,dap,kali,vẫn,khẩu,số,2004,7,triệu,90,tương,đương,21,quá,thuộc
0,0.008663332101401572,0.0061473676467898725,0.01891224160358718,0.03782448320717436,0.03782448320717436,0.03782448320717436,0.024102413942621338,0.01891224160358718,0.01372206926455302,0.01891224160358718,0.012051206971310669,0.01372206926455302,0.015876185412971987,0.024102413942621338,0.024102413942621338,0.024102413942621338,0.010686013073937827,0.024102413942621338,0.008531896925518862,0.01891224160358718,0.012051206971310669,0.010686013073937827,0.0061473676467898725,0.01891224160358718,0.024102413942621338,0.01891224160358718,0.01891224160358718,0.01891224160358718,0.01891224160358718,0.021372026147875655,0.024102413942621338,0.024102413942621338,0.024102413942621338,0.015876185412971987,0.01891224160358718,0.01891224160358718,0.01891224160358718,0.015876185412971987,0.024102413942621338,0.024102413942621338,0.01891224160358718,0.015876185412971987,0.01891224160358718,0.009531758080306565,0.01372206926455302,0.01891224160358718,0.012051206971310669,0.024102413942621338,0.01891224160358718,0.008531896925518862,0.008531896925518862,0.012051206971310669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002576785958365596,0.005485343438674041,,,,,,,,,0.010753384682092599,0.01224430795913962,0.01416644236849808,,,,0.009535211665975292,,,,0.021506769364185198,0.02860563499792588,,,,,,,,0.009535211665975292,,,,,0.016875538661662408,0.016875538661662408,0.016875538661662408,0.01416644236849808,,,,,,0.008505261056273552,,,,,,0.007613077256616831,0.007613077256616831,,0.021506769364185198,0.006826115372810966,0.016875538661662408,0.021506769364185198,0.01224430795913962,0.050626615984987224,0.016875538661662408,0.021506769364185198,0.021506769364185198,0.01416644236849808,0.021506769364185198,0.010753384682092599,0.010753384682092599,0.021506769364185198,0.02833288473699616,0.01416644236849808,0.010753384682092599,0.01416644236849808,0.01416644236849808,0.009535211665975292,0.021506769364185198,0.021506769364185198,0.021506769364185198,0.010753384682092599,0.021506769364185198,0.01416644236849808,0.01416644236849808,0.021506769364185198,0.021506769364185198,0.016875538661662408,0.021506769364185198,0.021506769364185198,0.021506769364185198,0.01416644236849808,0.010753384682092599,0.010753384682092599,0.01224430795913962,0.01416644236849808,0.021506769364185198,0.021506769364185198,0.016875538661662408,0.01224430795913962,0.021506769364185198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.006090584992500499,,,0.019943818418328298,0.019943818418328298,0.039887636836656595,,,,,,,,,,,0.011268886514334435,,0.008997273121456255,,0.012708545533382161,0.011268886514334435,0.006482678609342048,,,0.019943818418328298,0.019943818418328298,0.019943818418328298,0.019943818418328298,0.033806659543003305,,,,,,,,,,,,0.016742159162770456,,,,,,,,,,,,,,,0.014470545769892276,,0.019943818418328298,,,,,,,,,,,,,0.011268886514334435,,,,,,,,,,,,,,0.016742159162770456,,,,0.016742159162770456,,,,,,0.019943818418328298,0.025417091066764323,0.016742159162770456,0.016742159162770456,0.011268886514334435,0.025417091066764323,0.025417091066764323,0.025417091066764323,0.019943818418328298,0.025417091066764323,0.019943818418328298,0.019943818418328298,0.012708545533382161,0.025417091066764323,0.025417091066764323,0.025417091066764323,0.014470545769892276,0.016742159162770456,0.016742159162770456,0.016742159162770456,0.025417091066764323,0.016742159162770456,0.014470545769892276,0.025417091066764323,0.014470545769892276,0.019943818418328298,0.025417091066764323,0.014470545769892276,0.016742159162770456,0.008067227258776595,0.012708545533382161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.00440766019194115,0.009382824302995068,,,,,,,,,,,,,,,,,,,0.01839394748252681,0.016310230481273523,,,,,,,,0.016310230481273523,,,,,,,,,,,,,,,,,,,,,,,,0.03502874993942469,,,,,,,,,,0.01839394748252681,,,,,,,,0.016310230481273523,,,,0.03678789496505362,,,,,,,,,,,,,0.02094421098273882,,,,,,,,,,0.024232072472430925,,,,,,,,,,,,,0.02094421098273882,,,,,,,,0.02094421098273882,0.02886605297389622,,,0.024232072472430925,0.011676249979808229,,0.03678789496505362,0.02886605297389622,0.03678789496505362,0.03678789496505362,0.03678789496505362,0.03678789496505362,0.024232072472430925,0.02886605297389622,0.03678789496505362,0.02886605297389622,0.03678789496505362,0.03678789496505362,0.03678789496505362,0.02094421098273882,0.024232072472430925,0.02886605297389622,0.03678789496505362,0.02886605297389622,0.02886605297389622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,0.034948500216800946,0.0309894379144197,0.008913683087845316,,,,,,,0.046484156871629545,,,,,,,,,,,,0.023020468848809383,0.027422750325201414,0.02764209843288904,0.01989700043360188,0.027422750325201414,,,,,,0.017474250108400473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01989700043360188,0.023020468848809383,,,,,,,,,,,,,,,,,,,,,,,,,0.023020468848809383,,0.023020468848809383,,,,,,,,0.01109243748081782,,,,,,,,,,,,,,,,,,,,,0.027422750325201414,0.023020468848809383,0.027422750325201414,0.034948500216800946,0.034948500216800946,0.034948500216800946,0.034948500216800946,0.046040937697618765,0.034948500216800946,0.034948500216800946,0.034948500216800946,0.05484550065040283,0.023020468848809383,0.034948500216800946,0.034948500216800946,0.034948500216800946,0.027422750325201414,0.034948500216800946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.009305060405209094,0.019808184639656255,,,,,,,,,,,,,,,,,,,,,0.009904092319828127,,,,,,,,,,,0.025578298720899312,,,,,,,,,,,,,,,,,,0.0194158334537783,,0.02464986106848404,,,,,,,,0.025578298720899312,,,0.0388316669075566,,,,,,,0.017216354396899832,,,,0.0194158334537783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0194158334537783,,,,,,,,,,,,,,,,,,,,,,0.030469722583557124,,,,,,,,,,,,,,,,0.0388316669075566,0.025578298720899312,0.0194158334537783,0.0388316669075566,0.0388316669075566,0.0388316669075566,0.0388316669075566,0.0388316669075566,0.0388316669075566,0.0388316669075566,0.030469722583557124,0.015356721351605021,0.0388316669075566,0.030469722583557124,0.0388316669075566,0.0388316669075566,0.022107778259557644,0.030469722583557124,0.0388316669075566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.006978795303906821,,,,,,,,0.033161667389336465,,,,,,,,,,,,,,,,,,,,,0.025824531595349746,,,,,,,,,,,,,,,,,0.02912375018066745,,,,,,,0.018487395801363028,,,0.033161667389336465,,,,,,,0.0582475003613349,,,,,0.02912375018066745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018487395801363028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02912375018066745,,,,,,,,,0.023035082027407533,,,,,,,,0.025824531595349746,0.0582475003613349,0.03836744808134897,0.0582475003613349,0.0582475003613349,0.045704583875335686,0.03836744808134897,0.0582475003613349,0.045704583875335686,0.0582475003613349,0.0582475003613349,0.0582475003613349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.008374554364688187,,,,,,,,,,0.034948500216800946,,,,,,0.0309894379144197,,,,,,0.017827366175690633,,,,,,,,,,,,,,,,,,,,,0.02764209843288904,,,,,,0.049485002168009405,0.049485002168009405,,,0.02218487496163564,,,,0.05484550065040283,,,,,,,,,,,0.034948500216800946,0.046040937697618765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03979400086720376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02764209843288904,,,,,,,,,,0.046040937697618765,,,,,,,,,,0.06989700043360189,0.06989700043360189,0.06989700043360189,0.05484550065040283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5484550065040282,0.6989700043360189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04111588260800111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04681647160847501,0.05416580905602207,,,,,0.06452411841223861,,,,,,,,,,,,,,,,,,,,0.04111588260800111,,,,,,0.04111588260800111,,,,,,,,0.04681647160847501,,,,,,,,,,,,,,,,,,,,0.08223176521600221,0.06452411841223861,0.08223176521600221,0.08223176521600221,0.06452411841223861,0.08223176521600221,0.04681647160847501,0.08223176521600221,0.08223176521600221,0.08223176521600221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
