,năm,nay,vcb,sẽ,phát,hành,cổ,phiếu,ưu,đãi,kế,hoạch,phần,hóa,ngân,hàng,ngoại,thương,việt,nam,dự,kiến,chia,thành,2,giai,đoạn,trong,đó,đợt,1,tiến,ngay,với,khối,lượng,000,500,tỷ,đồng,chiếm,30,35,tổng,vốn,của,sau,thông,tin,này,đã,được,thống,đốc,nhà,nước,lê,đức,thúy,khẳng,định,chiều,qua,ông,cho,biết,khái,niệm,đang,cân,nhắc,để,thay,đổi,tuy,nhiên,người,nắm,giữ,loại,hưởng,lãi,suất,cố,hấp,dẫn,hơn,thực,và,có,quyền,trao,trên,thị,trường,chứng,khoán,không,rút,trực,tiếp,từ,tham,gia,điều,bắt,đầu,phổ,sở,hữu,gắn,bó,như,một,chủ,đầy,đủ,lợi,cũng,chịu,những,rủi,ro,quá,trình,quản,trị,hoạt,động,phương,án,xây,dựng,xong,nhưng,còn,chờ,số,tính,toán,mức,trước,khi,chính,phủ,nữa,đợi,lâu,vậy,vì,chúng,ta,chưa,kinh,nghiệm,imf,tổ,chức,tài,quốc,tế,khác,hứa,hỗ,trợ,về,mặt,kỹ,thuật,giúp,cách,công,nói,thêm,theo,yêu,cầu,chỉ,đạo,đbscl,mhb,xúc,nhanh,hướng,đề,chứ,phải,tìm,đối,tác,chiến,lược,vào
0,0.02306919934339916,0.029141311724629543,0.030838484920153047,0.012688854665330842,0.01876096704656123,0.012688854665330842,0.010077795564016414,0.010380344678068316,0.01876096704656123,0.01876096704656123,0.03952165640269786,0.03952165640269786,0.015419242460076523,0.015419242460076523,0.010380344678068316,0.010380344678068316,0.03952165640269786,0.03952165640269786,0.03952165640269786,0.03952165640269786,0.029141311724629543,0.029141311724629543,0.03952165640269786,0.029141311724629543,0.015419242460076523,0.02306919934339916,0.02306919934339916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.03185746575993217,0.040242763810202704,,0.017522704061647354,0.025908002111917888,0.03504540812329471,0.006958477889439905,0.014334761698284819,0.025908002111917888,0.025908002111917888,,,,,,,,,,,,,,,0.02129323958772472,,,0.06371493151986433,0.05457752550848752,0.05457752550848752,0.05457752550848752,0.040242763810202704,0.05457752550848752,0.040242763810202704,0.05457752550848752,0.05457752550848752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,0.2235790156711096,,,,,,,,,,,,0.573064017839119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.03439677164170917,,0.04185138802694428,0.02830590656112265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08816369505217216,0.08816369505217216,0.06500754153955822,0.08816369505217216,0.08816369505217216,0.08816369505217216,0.08816369505217216,0.08816369505217216,0.04185138802694428,0.06500754153955822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,0.016723888647998956,0.016723888647998956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03716704338658753,0.0636737797599021,0.03716704338658753,0.046949891111903154,0.0302260024639042,0.0636737797599021,0.0636737797599021,0.046949891111903154,0.046949891111903154,0.0636737797599021,0.0636737797599021,0.046949891111903154,0.0636737797599021,0.046949891111903154,0.0636737797599021,0.046949891111903154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,0.007215231084207734,,,0.0057305112030681575,0.011805097869175734,0.010668000869613248,0.010668000869613248,,,,,0.005902548934587867,0.005902548934587867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010668000869613248,,,,0.0131177800187956,,0.021336001739226496,,,,,,,,,0.016570549804201112,,,0.0131177800187956,0.016570549804201112,0.016570549804201112,0.016570549804201112,0.016570549804201112,0.0131177800187956,0.02247309873878898,0.02247309873878898,0.0131177800187956,0.016570549804201112,0.033141099608402225,0.016570549804201112,0.016570549804201112,0.0131177800187956,0.02247309873878898,0.016570549804201112,0.02247309873878898,0.016570549804201112,0.033141099608402225,0.033141099608402225,0.02247309873878898,0.02247309873878898,0.02247309873878898,0.016570549804201112,0.02247309873878898,0.008767804536121944,0.0131177800187956,0.0131177800187956,0.02247309873878898,0.02247309873878898,0.02247309873878898,0.02247309873878898,0.02247309873878898,0.02247309873878898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,0.015332366053941435,0.006088668153259917,0.012542916485999216,0.022669501847928153,0.022669501847928153,,,,,0.012542916485999216,0.012542916485999216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022669501847928153,,,,,,,,,,,,,,,,,,,,,,,0.03521241833392737,0.03521241833392737,0.02787528253994065,,0.03521241833392737,,,,,,,,,,0.01863158463925913,0.02787528253994065,0.02787528253994065,,,,,,,0.07042483666785473,0.04775533481992658,0.04775533481992658,0.04775533481992658,0.03521241833392737,0.03521241833392737,0.03521241833392737,0.03521241833392737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.03521088320834608,,0.02353463322853785,0.019367199226031286,0.028635160228961877,0.019367199226031286,0.007690949246223053,0.0158436839823148,,,,,,,,,,,,,0.04447884421127667,0.04447884421127667,,,0.02353463322853785,0.03521088320834608,0.03521088320834608,0.03521088320834608,,,,,,,,,,,,,,,,,,,0.04447884421127667,0.03521088320834608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04447884421127667,,,,0.06032252819359147,0.06032252819359147,0.06032252819359147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.009435302187040882,,0.009435302187040882,0.0037468727096984103,0.007718717837537979,,,,,,,0.015437435675075958,0.015437435675075958,,,,,,,,,,,,0.01715402002457886,,,,,,0.02166918051318607,,,,,,,,,,,,0.013950462675648093,,,,,,0.013950462675648093,,,,,,,,,,,,,,,,,,,,,,,,,0.03430804004915772,,,,0.02166918051318607,,,,,,,,0.01146559054723639,,0.01715402002457886,,,,,,,,,,,,,,0.02166918051318607,,,,0.02938789835072405,0.02938789835072405,0.02938789835072405,0.02938789835072405,0.01715402002457886,0.01146559054723639,0.02938789835072405,0.02166918051318607,0.02166918051318607,0.02938789835072405,0.02166918051318607,0.02938789835072405,0.02938789835072405,0.02938789835072405,0.02938789835072405,0.02166918051318607,0.01715402002457886,0.02938789835072405,0.02938789835072405,0.02938789835072405,0.02938789835072405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.012421056426172755,,,,0.008118224204346556,0.008361944323999478,,,,,0.012421056426172755,0.012421056426172755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023474945555951577,,,,,,,,0.023474945555951577,,,,,0.018583521693293765,0.023474945555951577,0.023474945555951577,0.023474945555951577,0.023474945555951577,,,,,0.023474945555951577,0.023474945555951577,,,,,,,,0.023474945555951577,0.023474945555951577,,,,,,0.012421056426172755,,,,,,,,,,,,,,,,,,,,,,,,,0.012421056426172755,,,,,,,,,,,0.018583521693293765,,,,,0.03183688987995105,0.023474945555951577,0.023474945555951577,0.023474945555951577,0.03183688987995105,0.03183688987995105,0.023474945555951577,0.03183688987995105,0.023474945555951577,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.03183688987995105,0.018583521693293765,0.023474945555951577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
