,lại,nhen,nhúm,hy,vọng,tăng,lãi,suất,usd,trong,tháng,5,có,thêm,248,000,công,ăn,việc,làm,mới,chưa,kể,lĩnh,vực,nông,nghiệp,được,tạo,ra,tại,mỹ,cao,hơn,so,với,dự,đoán,của,giới,chuyên,gia,thông,tin,này,khiến,người,ta,càng,cục,trữ,liên,bang,fed,sẽ,ngay,theo,toshiaki,kimura,một,cấp,ngân,hàng,mitsubishi,trust,and,banking,cơ,bản,đồng,đôla,thể,25,điểm,tương,đương,025,lên,mức,125,cuộc,thăm,dò,ý,kiến,tiến,hành,wall,street,sau,báo,cáo,bộ,lao,động,cũng,cho,thấy,cả,22,kinh,tế,đây,đều,cùng,quan,ông,trước,những,bất,ngờ,giảm,xuống,thấp,nhất,vòng,2,qua,euro,và,mạnh,yen,nhật,đêm,đã,lúc,1,eur,đổi,12335,khi,chỉ,11060,jpy,11116,cuối,tuần,giá,hội,đưa,vàng,về,trên,390,ounce,hiện,giao,sàn,dịch,new,york,đang,là,392,nước,bán,các,ty,doanh,hầu,như,không,thay,riêng,sjc,nâng,mua,vào,755,còn,vẫn,giữ,768,từ
0,0.05633986933428379,0.07640853571188252,0.07640853571188252,0.05633986933428379,0.05633986933428379,0.036271202956685046,0.04460045206390504,0.04460045206390504,0.036271202956685046,0.029810535422814612,0.036271202956685046,0.07640853571188252,0.036271202956685046,0.029810535422814612,0.07640853571188252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,0.020150668309269468,0.031299927407935434,0.031299927407935434,0.031299927407935434,0.031299927407935434,0.042449186506601407,0.042449186506601407,0.042449186506601407,0.042449186506601407,0.042449186506601407,0.042449186506601407,0.042449186506601407,0.024778028924391685,0.031299927407935434,0.042449186506601407,0.020150668309269468,0.024778028924391685,0.024778028924391685,0.031299927407935434,0.020150668309269468,0.01656140856823034,0.031299927407935434,0.042449186506601407,0.020150668309269468,0.042449186506601407,0.024778028924391685,0.024778028924391685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.03674339304409812,0.03674339304409812,0.023655132363055463,0.029087251346025023,0.029087251346025023,,,0.023655132363055463,,,0.019441653536618225,,,,,,,,,,,,,,,,,,,,,,,0.03674339304409812,,,,,,0.03674339304409812,0.03674339304409812,0.058174502692050045,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.04983165372514078,0.023655132363055463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,0.012954001055958944,0.015928732879966084,0.015928732879966084,,0.01064661979386236,0.012954001055958944,,0.012954001055958944,0.01064661979386236,,,,,,,,,,,,,,0.015928732879966084,,,0.012954001055958944,0.015928732879966084,0.015928732879966084,,,,,,0.012954001055958944,,0.015928732879966084,0.015928732879966084,,,0.015928732879966084,,,,,,,,,,,0.012954001055958944,0.02728876275424376,0.02728876275424376,0.020121381905101352,0.02728876275424376,0.020121381905101352,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.040242763810202704,0.05457752550848752,0.01064661979386236,0.020121381905101352,0.02728876275424376,0.02728876275424376,0.020121381905101352,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.020121381905101352,0.01064661979386236,0.02728876275424376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.012954001055958944,,,,,,0.020121381905101352,0.020121381905101352,,,,,,,,,,,0.025908002111917888,0.015928732879966084,0.015928732879966084,,,0.01064661979386236,,,0.012954001055958944,,0.015928732879966084,0.015928732879966084,,,,,,,,,,,,,,0.012954001055958944,,,0.020121381905101352,,0.020121381905101352,,,,,,,,,,,,,0.020121381905101352,,,,,,,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.020121381905101352,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.020121381905101352,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,0.02728876275424376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,0.014905267711407306,0.018135601478342523,,,,,,,,,,,,,,,,,,,,,,,,0.036271202956685046,0.029810535422814612,,,,,,,0.028169934667141894,0.028169934667141894,0.02230022603195252,,,,,,,,,,,,,,,,,,,,,,,,,0.014905267711407306,0.028169934667141894,,,,,,,,0.014905267711407306,,,,,,,,,,,,,,,,,0.028169934667141894,,,,,,,,,,,,0.018135601478342523,0.03820426785594126,0.03820426785594126,0.03820426785594126,0.04460045206390504,0.03820426785594126,0.03820426785594126,0.03820426785594126,0.03820426785594126,0.028169934667141894,0.028169934667141894,0.03820426785594126,0.03820426785594126,0.03820426785594126,0.028169934667141894,0.03820426785594126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,0.03752193409312246,0.015419242460076523,,,0.01876096704656123,,,,,0.029141311724629543,,,,,,,,,,0.02306919934339916,,,,,,,0.01876096704656123,0.015419242460076523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015419242460076523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01876096704656123,,,,0.02306919934339916,,,,,,0.029141311724629543,,,,0.029141311724629543,,0.03952165640269786,0.03952165640269786,0.03952165640269786,0.08742393517388863,0.03952165640269786,0.029141311724629543,0.03952165640269786,0.03952165640269786,0.015419242460076523,0.03952165640269786,0.03952165640269786,0.03952165640269786,0.02306919934339916,0.02306919934339916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.05281862750089105,,,,,,,,0.06800850554378446,,,,,0.0279473769588887,,,,,,,,,,,,,,,0.05281862750089105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05281862750089105,,,,,,,,,,,0.0279473769588887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04181292380991097,,,,,,,,,,,,,,,,,,,,,,,,,,0.03400425277189223,0.07163300222988987,0.07163300222988987,0.05281862750089105,0.07163300222988987,0.07163300222988987,0.07163300222988987,0.05281862750089105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,0.021762721774011028,,,0.043525443548022055,,,,,,,,,,,,,,,,,,,,,,0.021762721774011028,,,0.033803921600570275,0.021762721774011028,0.017886321253688768,,,,,,,,,,,,,,,,,,,,0.021762721774011028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021762721774011028,,,,,,,,,0.033803921600570275,,,,,,,,,,,,,,,,,,,0.026760271238343025,0.026760271238343025,,,,0.033803921600570275,,,,0.06760784320114055,0.04584512142712952,0.09169024285425904,0.04584512142712952,0.04584512142712952,0.04584512142712952,0.04584512142712952,0.04584512142712952,0.04584512142712952,0.04584512142712952,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,0.029810535422814612,,,,,,,0.05633986933428379,,,,,,,,,,,,,,,,,,,,,,0.036271202956685046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05633986933428379,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05633986933428379,,,,,,,,,0.036271202956685046,,,,,,,,,,,,,,,,,0.07640853571188252,0.05633986933428379,0.07640853571188252,0.07640853571188252,0.07640853571188252,0.07640853571188252,0.07640853571188252,0.07640853571188252,0.07640853571188252,,,,,,,,,,,
