,thị,trường,nhà,đất,trước,giờ,g,nghe,ngóng,chờ,đợi,đó,là,nhận,xét,chung,của,nhiều,trung,tâm,bất,động,sản,về,hiện,nay,những,thông,tin,việc,giá,sẽ,được,nâng,cao,sau,ngày,1,7,thời,điểm,luật,đai,có,hiệu,lực,đã,khiến,đa,số,lượng,giao,dịch,rao,bán,gian,gần,đây,sụt,mạnh,tại,địa,ốc,ngân,hàng,thương,mại,á,châu,acb,tháng,6,chỉ,còn,40,căn,giảm,khoảng,30,so,với,5,ông,lê,tuấn,phương,phụ,trách,cho,biết,cả,người,và,mua,đều,đang,trong,tình,trạng,cư,tăng,song,nhẹ,rất,hiếm,thành,công,điều,này,thể,qua,đến,vay,tiền,để,2,nói,hình,ty,đô,mới,tp,hcm,trầm,lắng,hơn,phó,giám,đốc,trần,quang,trình,các,tụt,50,lý,khung,kể,từ,mai,thì,dự,đoán,nên,họ,găm,lại,cũng,không,muốn,vội,vàng,bỏ,ra,vì,vài,nữa,chấp,thuận,mỗi,tiến,hành,nhưng,một,hợp,đồng,nào,thực,mặc,dù,800,nguyễn,trọng,tài,century,21,thu,ân,vnexpress,theo,chủ,yếu,do,đưa,chứ,nhằm,mục,đích,uy,tín,trịnh,văn,luận,quan,rằng,càng,tất,cầm,chừng,lo,thuế,đánh,vào,thế,khi,mà,nếu,nước,lên,thuyền,chuyên,gia,cục,quản,bộ,chính,khó,bởi,mặt,bằng,quá,rồi,tuy,nhiên,giới,kinh,doanh,thận,chưa,gì,tay,tôi,vẫn,biến,như,tiêu,dùng,chuyện,sách,ban,lập,tức,hay,lãnh,đạo,nghiệp,khác,chối,định,ngay,họp,án,phố
0,0.038652239774454006,0.045112907308324436,0.01858357339685526,0.015824061052973595,0.026721078207772215,0.042625120031760964,0.042625120031760964,0.026721078207772215,0.026721078207772215,0.022556453654162218,0.026721078207772215,0.03259078684296159,0.019326119887227003,0.03259078684296159,0.042625120031760964,0.03259078684296159,0.019326119887227003,0.022556453654162218,0.026721078207772215,0.016686745018972843,0.026721078207772215,0.026721078207772215,0.026721078207772215,0.026721078207772215,0.022556453654162218,0.026721078207772215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.007147528229559715,0.012172354656133534,,,,,,,,,,,,,,,,,,,,0.020554675544440165,,,0.0173511181955094,0.03278855387058535,0.03278855387058535,0.03278855387058535,0.00963240035797142,0.020554675544440165,0.0173511181955094,0.03278855387058535,0.025069836033047375,0.0173511181955094,0.0173511181955094,0.020554675544440165,0.020554675544440165,0.04110935108888033,0.020554675544440165,0.0173511181955094,0.0173511181955094,0.008320797218294977,0.0173511181955094,0.0173511181955094,0.0173511181955094,0.03278855387058535,0.03278855387058535,0.025069836033047375,0.0173511181955094,0.011119373357399286,0.011119373357399286,0.012835957706902188,0.008320797218294977,0.03278855387058535,0.0173511181955094,0.025069836033047375,0.03278855387058535,0.025069836033047375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,0.008447078816752392,0.007192755024078907,,,,,,,,,,,,,0.017569199897479095,,0.024291889279792925,0.015169768199066222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020505866958329292,0.013141077604199157,0.013141077604199157,0.015169768199066222,0.009833669439803155,,,,,,0.020505866958329292,0.029627988039055992,0.029627988039055992,0.038750109119782696,0.029627988039055992,0.038750109119782696,0.038750109119782696,0.038750109119782696,0.038750109119782696,0.038750109119782696,0.041011733916658584,0.029627988039055992,0.029627988039055992,0.017569199897479095,0.038750109119782696,0.029627988039055992,0.017569199897479095,0.029627988039055992,0.038750109119782696,0.029627988039055992,0.029627988039055992,0.029627988039055992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,0.029421461288037676,,,,,,,,,0.03485358027100724,0.02176531958996458,,,,,,,,,,,0.016333200606995016,,,,,,,,,,,,,,,,,,,,,,,,0.014109177891891483,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018854589606024878,0.055597982650122994,0.055597982650122994,0.04250972196908034,0.055597982650122994,0.055597982650122994,0.02176531958996458,0.02520798246160044,0.03485358027100724,0.037709179212049755,0.03485358027100724,0.029421461288037676,0.03485358027100724,0.04250972196908034,0.029421461288037676,0.04250972196908034,0.055597982650122994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024157649859033754,0.02819556706770277,0.011614733373034538,,,,,,,,,,,,,0.040738483553701986,,,,,,,,,,,0.02819556706770277,,,,0.015652650581703557,,,,,,0.02819556706770277,,,,,,,,,,,,,,0.02819556706770277,0.01806898170577384,0.01806898170577384,0.020858431273716053,0.013521295479729337,,0.02819556706770277,0.040738483553701986,,,,,,,,,,,,,,,,,,,0.024157649859033754,,,,,,,,,,,,,,,,0.03340134775971527,,,,,,,0.0532814000397012,0.02819556706770277,0.0532814000397012,0.0532814000397012,0.0532814000397012,0.0532814000397012,0.03340134775971527,0.02819556706770277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.011150144038113157,,,,,,,,,,,,,,,,,,,,,,0.027067744384994662,,,,,,,,,,,,,,,,,,,,,,0.027067744384994662,,,0.03910894421155391,,,,,,,0.027067744384994662,,,0.03910894421155391,,,,,,,,,,,0.027067744384994662,,,0.023191343864672406,,,0.023191343864672406,,,,,,0.017346222437542885,,,0.03910894421155391,,,,,,0.017346222437542885,,0.027067744384994662,,,0.027067744384994662,,,,,,,,,,,0.03206529384932666,0.05115014403811315,0.023191343864672406,0.1023002880762263,0.03206529384932666,0.05115014403811315,0.03910894421155391,0.03206529384932666,0.05115014403811315,0.027067744384994662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.032210199812045,,0.01548631116404605,0.01318671754414466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024091975607698452,0.024091975607698452,,,,,,,,0.0375940894236037,,,,,,,,,,,,,0.032210199812045,,,,,,,,,,,,,,,,,,,,,,,,0.05431797807160265,,,,,,,,,0.0375940894236037,,,,,,,,,,,0.0710418667196016,0.044535130346287026,0.0710418667196016,0.027811241698288074,0.05431797807160265,0.05431797807160265,0.0710418667196016,0.0710418667196016,0.05431797807160265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.011614733373034538,0.009890038158108495,0.03340134775971527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02819556706770277,,,,,0.01806898170577384,0.01806898170577384,,,,,,,,,,,,,,,,,,0.05639113413540554,0.040738483553701986,,,,,0.024157649859033754,,,0.040738483553701986,0.040738483553701986,,,,,,,,0.020858431273716053,0.024157649859033754,,,,,,,0.02819556706770277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0532814000397012,0.03340134775971527,0.03340134775971527,0.0532814000397012,0.0532814000397012,0.03340134775971527,0.02819556706770277,0.0532814000397012,0.0532814000397012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,0.01636971833066234,,,,0.027642494697695395,0.027642494697695395,0.023334262400857467,0.027642494697695395,,,,,,,,,0.01726215001962708,,,,,,,,,,,0.01295391772278915,,,,,,0.023334262400857467,,,,,0.023334262400857467,0.023334262400857467,0.022380075276793386,0.023334262400857467,0.023334262400857467,,,,,,,,,0.011190037638396693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027642494697695395,0.029907280064729116,0.05528498939539079,0.023334262400857467,0.027642494697695395,,,,,,,,,,,,,,,,,,,,,,,,,,0.01726215001962708,,,,,,,,,,,,,,,0.023334262400857467,0.023334262400857467,0.0440949517569941,0.027642494697695395,0.0440949517569941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,0.005789290629136681,,,,,,,,,0.01414106333211732,,,,,,,,,,,,,,,,,,0.018325054339555384,,0.016504722185972355,,,,0.016504722185972355,,,,,,,0.007914904671061075,,,,,,,,,,,0.007914904671061075,,,,,,,,,,,,,,,,,,0.023846917202167018,0.02828212666423464,,,,,,,,,0.010576964900940785,,,,,,,,,0.02115392980188157,,0.016504722185972355,,,,,,,0.016504722185972355,,,,,,,,,0.01414106333211732,,,,0.023846917202167018,,,0.016504722185972355,,,,0.012209813428516717,,,,,,,,,,,0.019552008444711378,,,,,0.016504722185972355,,,,0.023846917202167018,0.023846917202167018,0.023846917202167018,0.03118911221836168,0.023846917202167018,0.03118911221836168,0.023846917202167018,0.016504722185972355,0.012209813428516717,0.03118911221836168,0.03118911221836168,0.03118911221836168,0.03118911221836168,0.019552008444711378,0.03118911221836168,0.023846917202167018,0.023846917202167018,0.03118911221836168,0.03118911221836168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,0.004223539408376196,,0.012145944639896463,,,,,,,0.014813994019527996,,,,,,,,,,,,,0.010252933479164646,0.012145944639896463,,,,,,,0.030758800437493936,,,,,,,0.012145944639896463,0.012145944639896463,,,0.004916834719901578,,,,,,,,0.0065705388020995785,0.0065705388020995785,0.007584884099533111,0.004916834719901578,,,,,,0.010252933479164646,0.014813994019527996,0.014813994019527996,,,,,,,,0.030758800437493936,,,,,0.029627988039055992,,0.014813994019527996,,,,0.014813994019527996,0.0065705388020995785,,,,,,0.007584884099533111,0.008784599948739548,,,,,,,,,,,,,,,,0.012145944639896463,0.041011733916658584,,,,,0.012145944639896463,,,,,,,0.03643783391968939,,,0.014813994019527996,0.014813994019527996,,,,,0.012145944639896463,0.012145944639896463,,,,,,,,,,0.012145944639896463,,,,,,,,,0.010252933479164646,0.007584884099533111,,,,,,,0.014813994019527996,,,,0.038750109119782696,0.019375054559891348,0.014813994019527996,0.010252933479164646,0.019375054559891348,0.019375054559891348,0.019375054559891348,0.014813994019527996,0.019375054559891348,0.019375054559891348,0.019375054559891348,0.019375054559891348,0.019375054559891348,0.014813994019527996,0.012145944639896463,0.019375054559891348,0.019375054559891348,0.019375054559891348,0.019375054559891348,0.019375054559891348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.02070655702202893,0.024167628915173805,,,,,,0.028629726651184517,0.028629726651184517,,,,0.02070655702202893,,,,,0.024167628915173805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024167628915173805,0.015487698604949005,0.015487698604949005,0.017878655377470905,0.023179363679536005,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015487698604949005,,,,,,,,,0.015487698604949005,,,,,,,,,,,,,,,,,,,,,,,0.028629726651184517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017878655377470905,,,,,0.028629726651184517,,,,,,,,,0.024167628915173805,,,,,,,,,,,0.028629726651184517,,,,,,0.03491870018888742,0.045669771462601025,0.045669771462601025,0.045669771462601025,0.03491870018888742,0.045669771462601025,0.045669771462601025,0.045669771462601025,0.045669771462601025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
