,tái,khởi,động,hàng,loạt,cao,ốc,dở,dang,phó,tổng,giám,đốc,công,ty,liên,doanh,du,lịch,nghi,tàm,nguyễn,viết,tạo,hào,hứng,khi,nhận,được,thông,tin,đàm,phán,giữa,mẹ,với,ngân,thành,như,vậy,khách,sạn,lien,resort,nằm,ở,vị,thế,đẹp,nhất,hồ,tây,sẽ,lại,tiếp,tục,vào,cuối,tháng,7,này,sau,gần,8,năm,do,thiếu,tiền,ông,cho,biết,đang,giải,quyết,những,khâu,cùng,nước,ngoài,để,khoản,vay,15,triệu,usd,phần,xây,thô,đã,xong,nay,việc,chủ,yếu,là,tập,trung,hoàn,thiện,nội,thất,the,và,văn,hoá,từ,liêm,s,holdings,của,singapore,pernas,securities,berhad,malaysia,đầu,90,xin,tư,63,dựng,một,395,phòng,tiêu,chuẩn,5,sao,tuy,nhiên,cuộc,khủng,hoảng,kinh,tế,châu,á,hồi,1997,khiến,dự,án,bị,ngừng,trệ,các,chối,nguyên,nhân,đối,tác,trong,theo,đánh,giá,thị,trường,bất,sản,vn,sắc,đều,đạt,suất,trên,70,toà,nhà,căn,hộ,cấp,thuê,kiến,bắt,hoạt,chúng,tôi,hẳn,đoàn,quản,lý,nổi,tiếng,giới,điều,hành,đồng,thời,miễn,giảm,gian,chết,kéo,dài,hạn,40,giấy,phép,tâm,sự,tòa,55,lê,đại,hà,cũng,rậm,rịch,im,hơi,lặng,park,hyatt,tp,hcm,giai,đoạn,thoả,thuận,225,gia,vietcombank,incombank,sacombank,bidv,agribank,mới,đây,hợp,quận,1,35,tầng,diện,tích,3,000,m2,bỏ,trống,hiện,bên,chỉnh,sơ,bộ,kế,hoạch,chesterton,quý,i,tăng,trưởng,hơn,trước,194,222,tại,hầu,kín,chỗ,đặc,biệt,loại,a,20,28,tỷ,lệ,2,so,ngoái
0,0.023809523809523808,0.0166421429603814,0.010855522753564866,0.028669523396569637,0.03097690465866622,0.014334761698284819,0.03097690465866622,0.023809523809523808,0.023809523809523808,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.032566568260694595,0.028669523396569637,0.0166421429603814,0.0166421429603814,0.023809523809523808,0.023809523809523808,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.0166421429603814,0.03097690465866622,0.03097690465866622,0.023809523809523808,0.01961687478438854,0.023809523809523808,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.03097690465866622,0.023809523809523808,0.023809523809523808,0.014334761698284819,0.014334761698284819,0.03097690465866622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,0.03125,0.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,0.040657187364499414,0.01633996079001055,0.01633996079001055,0.02574714815450996,0.03125,0.040657187364499414,0.02574714815450996,0.040657187364499414,0.03125,0.040657187364499414,0.040657187364499414,0.03125,0.040657187364499414,0.02184281263550059,0.03125,0.03125,0.040657187364499414,0.02184281263550059,0.02184281263550059,0.040657187364499414,0.040657187364499414,0.03125,0.02184281263550059,0.040657187364499414,0.040657187364499414,0.014247873614053887,0.03125,0.040657187364499414,0.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.02315615351261394,,,,,,,,,,0.017535844448066322,0.02315615351261394,,,,,,,,,0.026883461705231496,,,,0.03168879772862765,,,,,,,0.038461538461538464,0.02315615351261394,0.02315615351261394,,,,,,,,,,,,,,,,,,,,,0.026883461705231496,,,,,,,,,,,0.03168879772862765,0.017535844448066322,0.05003961521784544,0.020110720972320677,0.038461538461538464,0.05003961521784544,0.038461538461538464,0.05003961521784544,0.05003961521784544,0.020110720972320677,0.02315615351261394,0.03168879772862765,0.038461538461538464,0.026883461705231496,0.05003961521784544,0.03168879772862765,0.026883461705231496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,0.021711045507129732,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024898987870492266,0.024898987870492266,,,,,,,,,,,,,,,0.0332842859207628,,,,,,,,,,,,,0.021711045507129732,,,,,,,,,,,,,,,,0.06195380931733244,0.0332842859207628,0.06195380931733244,0.03923374956877708,0.06195380931733244,0.06195380931733244,0.047619047619047616,0.06195380931733244,0.06195380931733244,0.03923374956877708,0.047619047619047616,0.06195380931733244,0.03923374956877708,0.047619047619047616,0.03923374956877708,0.06195380931733244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,0.031443583148256855,0.041521378712273266,0.024102413942621338,0.024102413942621338,0.034482758620689655,0.034482758620689655,,,,,,,,,,,,,,,0.034482758620689655,,0.020760689356136633,,,,,,,0.05682129247891853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028410646239459266,,,,,,,0.04486310329875797,0.048204827885242676,0.015721791574128428,0.04486310329875797,0.024102413942621338,0.04486310329875797,0.04486310329875797,0.04486310329875797,0.048204827885242676,0.04486310329875797,0.04486310329875797,0.04486310329875797,0.04486310329875797,0.04486310329875797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,0.027958800173440754,0.027958800173440754,,,,,,,,,,,,,,,,,,,,,,,,0.020915149811213504,0.020915149811213504,,,,,,,,,,,,,,,0.027958800173440754,,,,,,,,0.018237278225988977,,,,,,,,,,0.04,,,,,0.032956349637772754,,,,0.032956349637772754,0.027958800173440754,,0.027958800173440754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06591269927554551,0.04,0.032956349637772754,0.04,0.05204119982655925,0.032956349637772754,0.027958800173440754,0.05204119982655925,0.018237278225988977,0.05204119982655925,0.05204119982655925,0.027958800173440754,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0.018244242161453407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036488484322906814,,,,,,,,,,,,,,,,,,0.030303030303030304,,,0.021180909222303604,,,,,,,0.013816119868173467,0.030303030303030304,,,,,,,0.030303030303030304,,,,,0.015844810463040534,0.018244242161453407,,0.030303030303030304,0.021180909222303604,,,,,,,,,,,,,,,,,,,,,,,,0.021180909222303604,,,,,,,,,,,,,,,,,,,,,,,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.03942515138375701,0.030303030303030304,0.03942515138375701,0.030303030303030304,0.021180909222303604,0.030303030303030304,0.030303030303030304,0.03942515138375701,0.03942515138375701,0.036488484322906814,0.03942515138375701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.02329900014453396,0.015197731854990813,,,,,,,,,,,,,0.02329900014453396,0.02329900014453396,,,,,,,0.02329900014453396,,,,,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03333333333333333,0.02746362469814396,,,0.017429291509344587,,,,,,0.017429291509344587,0.020068666377598746,,,0.02329900014453396,,,,,,,,,,,,,0.02746362469814396,,,,,,,,,,,,,,,0.02329900014453396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03333333333333333,,,,,,0.020068666377598746,,0.04336766652213271,0.04336766652213271,0.04336766652213271,0.03333333333333333,0.020068666377598746,0.03333333333333333,0.03333333333333333,0.02746362469814396,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.04336766652213271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,0.020068666377598746,,,,,,,,0.030395463709981627,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017429291509344587,0.017429291509344587,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015197731854990813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02329900014453396,0.015197731854990813,,,,,,,,,,,,,0.03333333333333333,,,,,,,0.030395463709981627,,,0.02329900014453396,0.03333333333333333,,,,,,,,,,,,,,,,,,0.04013733275519749,,,,,,,,,,,,,,,,0.08673533304426542,0.06666666666666667,0.08673533304426542,0.05492724939628792,0.04336766652213271,0.02746362469814396,0.02746362469814396,0.04336766652213271,0.04336766652213271,0.02746362469814396,0.017429291509344587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.0414483596045204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07490079463130171,0.09090909090909091,,,,,,,,,0.06354272766691081,,,,,,,,,0.06354272766691081,,,0.0414483596045204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07490079463130171,,,,,,,,,,,,,,,,,,,,,,,,,0.06354272766691081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,0.11827545415127103,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
