,việt,nam,sẽ,cùng,các,nước,apec,tự,do,ngành,mỏ,đại,sứ,tại,chile,nguyễn,văn,đào,trong,phát,biểu,bế,mạc,hội,nghị,bộ,trưởng,diễn,đàn,kinh,tế,châu,á,thái,bình,dương,chiều,nay,đã,ủng,hộ,tuyên,bố,chung,của,về,việc,khai,thác,bền,vững,và,hóa,buôn,bán,sản,phẩm,đang,triển,rất,nhanh,quá,trình,đó,thể,hiện,một,vai,trò,đặc,biệt,quan,trọng,chúng,tôi,mong,muốn,tăng,cường,hợp,tác,với,vì,quyền,lợi,nói,đầu,tiên,nêu,rõ,không,chỉ,giúp,công,dân,có,liên,đến,cải,thiện,mà,còn,đóng,góp,cho,tổng,quốc,ý,thức,được,sự,cần,thiết,nâng,cao,tính,hiệu,quả,xuất,hoạt,động,này,tiến,hành,trên,phạm,vi,viết,nhất,trí,tới,đây,xác,định,ràng,chịu,thuế,phi,đồng,thời,tỏ,ra,ngại,trước,minh,âu,vừa,ban,sắc,luật,hạn,chế,nhập,khẩu,kim,loại,reach,là,đạo,đi,ngược,lại,gây,nên,những,tổn,thất,năm,2006,chuỗi,21,mặt,nền,lớn,thế,giới,như,mỹ,nhật,bản,nga,trung,đáng,chú,thượng,đỉnh
0,0.018244242161453407,0.018244242161453407,0.009122121080726703,0.01635123100072159,0.011521552779139577,0.007229109919994886,0.013683181621090055,0.023580340920716474,0.023580340920716474,0.009122121080726703,0.021687329759984657,0.011790170460358237,0.011790170460358237,0.011790170460358237,0.01635123100072159,0.01635123100072159,0.01635123100072159,0.01635123100072159,0.007229109919994886,0.011790170460358237,0.01635123100072159,0.01635123100072159,0.01635123100072159,0.009122121080726703,0.009122121080726703,0.011790170460358237,0.011790170460358237,0.011790170460358237,0.01635123100072159,0.007229109919994886,0.005760776389569788,0.011790170460358237,0.01635123100072159,0.01635123100072159,0.01635123100072159,0.01635123100072159,0.01635123100072159,0.01635123100072159,0.01635123100072159,0.01635123100072159,0.01635123100072159,0.009122121080726703,0.009122121080726703,0.007229109919994886,0.007229109919994886,0.01635123100072159,0.011790170460358237,0.011790170460358237,0.011790170460358237,0.01635123100072159,0.01635123100072159,0.007229109919994886,0.011790170460358237,0.009122121080726703,0.009122121080726703,0.005760776389569788,0.007229109919994886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.06689555459199582,0.06689555459199582,,,,,,,,,,,,,,,,,,0.08646125004262707,,,,,,,,,,0.05301347274662915,0.042245693523511776,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11990902733862498,0.11990902733862498,0.11990902733862498,0.11990902733862498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,0.04013733275519749,0.03180808364797749,,,,,,,,0.03180808364797749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07194541640317499,0.07194541640317499,0.05187675002557624,0.07194541640317499,0.07194541640317499,0.04013733275519749,0.07194541640317499,0.07194541640317499,0.07194541640317499,0.07194541640317499,0.04013733275519749,0.07194541640317499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0.027157945836543285,0.017040044811416515,0.010751071273713613,,,,0.017040044811416515,0.02779111608513013,0.02779111608513013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017040044811416515,,,,0.02779111608513013,0.02779111608513013,,,0.017040044811416515,,0.021502142547427227,0.021502142547427227,0.013578972918271643,0.017040044811416515,,,,,,,,,,,,,,,,,0.02779111608513013,0.02779111608513013,0.038542187358843745,0.038542187358843745,0.038542187358843745,0.038542187358843745,0.038542187358843745,0.038542187358843745,0.02779111608513013,0.038542187358843745,0.02779111608513013,0.02779111608513013,0.038542187358843745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,0.01617920177496196,0.010151516057865158,0.0064048935247655574,0.016556409582630716,0.016556409582630716,0.02561957409906223,0.020303032115730316,,,,,,,,,,,,,0.012809787049531115,0.012809787049531115,,,,,0.010151516057865158,0.00808960088748098,,,,,,,,,,,0.012809787049531115,0.012809787049531115,0.020303032115730316,0.030454548173595473,,,,,,,,0.016556409582630716,,,0.00808960088748098,0.010151516057865158,,,,,,,,,,,,,,,0.012809787049531115,,,,,,,,,,,,,,,0.022961303107396275,0.022961303107396275,0.022961303107396275,0.016556409582630716,0.016556409582630716,0.022961303107396275,0.022961303107396275,0.022961303107396275,0.04592260621479255,0.022961303107396275,0.016556409582630716,0.022961303107396275,0.016556409582630716,0.016556409582630716,0.022961303107396275,0.022961303107396275,0.022961303107396275,0.016556409582630716,0.022961303107396275,0.022961303107396275,0.012809787049531115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02511164498524539,,,,,,,0.02511164498524539,,,,0.02001111798482137,,,,,,,,,,,,,,,,,,0.04095532896756019,0.04095532896756019,,,,,,,,,,,,,,,,,,,,,,,,0.04095532896756019,0.04095532896756019,,,,,,,,0.04095532896756019,0.056799012949874994,0.04095532896756019,0.04095532896756019,0.0316873679646296,0.04095532896756019,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02534741611410707,,,,,,,,,,,0.04013733275519749,0.04013733275519749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04013733275519749,,,0.05187675002557624,,0.04013733275519749,,,,,,,,0.05187675002557624,0.05187675002557624,0.07194541640317499,0.07194541640317499,0.05187675002557624,0.07194541640317499,0.07194541640317499,0.07194541640317499,0.07194541640317499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,0.012041199826559249,,0.015208449668464241,,0.006020599913279624,,,,,,,,,,,,0.009542425094393249,,,,,,,0.015563025007672872,0.015563025007672872,,,,,0.015563025007672872,,,,,,,,,,,,,,,0.015563025007672872,,,,,0.009542425094393249,,0.012041199826559249,0.012041199826559249,0.007604224834232121,0.009542425094393249,,,,,,,,,,,,,,,0.03612359947967774,,,,,,,,,,,,,,,,,,0.015563025007672872,,,,,,,0.015563025007672872,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015563025007672872,,,,,0.015563025007672872,0.021583624920952497,0.021583624920952497,0.015563025007672872,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.043167249841904995,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.015563025007672872,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.015563025007672872,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.021583624920952497,0.021583624920952497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02511164498524539,,,,,,,,,,,,,,,,,,,,,,,0.0316873679646296,,,,,,,,,,,,,,,,,0.04095532896756019,0.04095532896756019,,,,,,0.04095532896756019,,,,,,,,,,,,,,,,,,,,,0.0316873679646296,0.04095532896756019,,,,,,,,,,,,,,,,,,,0.04095532896756019,,,,,,,,,,,,,,,,,,0.04095532896756019,,,,,,,,0.04095532896756019,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,0.056799012949874994,,,,,,,,,,,,,,,,,,,
9,,,,,0.024529757529781034,0.015391008216763305,0.009710645021418747,,,,,,,,,,,,,,,,,,,,,,,0.015391008216763305,0.012264878764890517,,,,,,,,,,,,,,0.03078201643352661,,,,,,,,,,,,,,,,,,,,,,0.019421290042837495,,,,,,,,,,,,,,,0.025101653238182052,,,,,,,,,,,,,,,,,,,,,,0.025101653238182052,,,0.019421290042837495,,,,0.025101653238182052,,,,,,,,,0.025101653238182052,0.025101653238182052,,,,,,,,0.025101653238182052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,0.034812298259600805,,,,
