,buôn,bán,cyanure,26,bị,cáo,lĩnh,122,năm,tù,chiều,21,5,tand,tỉnh,quảng,nam,đã,tuyên,án,cho,vì,tội,vận,chuyển,tàng,trữ,mua,trái,phép,chất,độc,trần,thị,thùy,trang,nhận,mức,cao,nhất,là,18,đồng,thời,phải,bồi,thường,20,triệu,ngoài,ra,hoàng,tấn,thành,huỳnh,văn,phương,và,phạm,hồng,lâm,lần,lượt,15,6,cả,bốn,nêu,trên,2,người,dân,ngộ,171,hộ,thiệt,hại,do,nước,sông,ô,nhiễm,với,số,tiền,hơn,tỷ,các,nguyễn,thu,hiền,lê,an,7,mỗi,phạt,10,có,được,hưởng,treo,một,tách,vụ,khác,những,còn,lại,từ,1,đến,đầu,2000,tháng,3,2002,tổ,chức,phía,bắc,vào,đối,tượng,đào,vàng,tại,huyện,miền,núi,ở,khi,công,phát,hiện,lệnh,vứt,4,bao,xuống,trường,giang,xã,tam,anh,để,phi,tang,hành,động,này,gây,nghiêm,trọng,môi,trong,khu,vực
0,0.025,0.034948500216800946,0.026143937264016884,0.05,0.007745097999287159,0.01989700043360188,0.025,0.05,0.01109243748081782,0.01505149978319906,0.025,0.025,0.017474250108400473,0.025,0.025,0.013071968632008442,0.013071968632008442,0.00994850021680094,0.013071968632008442,0.013071968632008442,0.00994850021680094,0.025,0.025,0.017474250108400473,0.017474250108400473,0.025,0.025,0.025,0.025,0.025,0.025,0.017474250108400473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,0.006734867825467095,0.017301739507479895,,,0.009645597809406799,0.01308826068104266,,,,,,,,,,0.02273385849044946,,,,,,,,,,,,,0.043478260869565216,0.02273385849044946,0.043478260869565216,0.02273385849044946,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.04546771698089892,0.043478260869565216,0.03039000018852256,0.03039000018852256,0.03039000018852256,0.043478260869565216,0.03039000018852256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,0.007040998181170145,,,,0.010084034073470746,0.013683181621090055,,,0.031771363833455406,,,,,,0.023767215694560802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045454545454545456,0.031771363833455406,0.045454545454545456,0.045454545454545456,0.023767215694560802,0.045454545454545456,0.045454545454545456,0.031771363833455406,0.02736636324218011,0.045454545454545456,0.045454545454545456,0.031771363833455406,0.045454545454545456,0.045454545454545456,0.031771363833455406,0.031771363833455406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,0.013277310855920845,0.011369714533486789,,,,,,,,,,,,,,,0.011369714533486789,,,,,,,,,,,0.01997057155245768,,,,,,,,,,,0.01493939272229536,,0.01997057155245768,0.01997057155245768,0.01997057155245768,,,,,,,,,,,0.00860085701897089,,,,,,0.01997057155245768,,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.01997057155245768,0.02857142857142857,0.01493939272229536,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.01997057155245768,0.01997057155245768,0.01997057155245768,0.01997057155245768,0.02857142857142857,0.01997057155245768,0.02857142857142857,0.02857142857142857,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,0.023831070767037416,0.030610769897849048,,,0.008532644216013708,0.01157807675630697,,,,,,,,,0.020110720972320677,,,,,,,,,,,,,,,0.040221441944641355,,,,,,,,,0.020110720972320677,,,,,,0.026883461705231496,,,,,,,,,0.02315615351261394,,,,,,,0.026883461705231496,,,,,,,,,,,,,,,,,,,,,,,0.026883461705231496,0.038461538461538464,0.038461538461538464,0.026883461705231496,0.038461538461538464,0.026883461705231496,0.026883461705231496,0.038461538461538464,0.026883461705231496,0.026883461705231496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,0.0653598431600422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04368562527100118,,,0.0326799215800211,,,,,,,,,,,,,,,,,0.0653598431600422,,,,,,,,,,,,,,,,,,,,,,,0.04368562527100118,,,,0.0625,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,0.012908496665478598,,,,0.01848739580136303,0.025085832971998432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043573228773361464,,,,,,,,,,,,,,,,,,,,,,,,,0.0582475003613349,0.0582475003613349,,,,,,,,,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0582475003613349,0.08333333333333333,0.0582475003613349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.018891081198270782,0.014131857980549667,,,,,,0.005995912151793416,,,,,,,0.014131857980549667,0.014131857980549667,0.01075513536951453,,,0.01075513536951453,,,0.018891081198270782,0.018891081198270782,,,,,,,,,,,0.014131857980549667,,,,,,,,,,,,,,,,,,,,,,0.00813594582875625,,,,,,,,,,,0.018891081198270782,,,,,,,,,,,,,,,0.018891081198270782,,,,0.018891081198270782,,,0.018891081198270782,,,,,,,,,,,,,,,,,,0.037782162396541565,,0.018891081198270782,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.018891081198270782,0.02702702702702703,0.018891081198270782,0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.015378786625892283,,0.004555939999580682,,,,,,,,,,,0.015378786625892283,0.015378786625892283,0.011704117902118753,,,0.011704117902118753,,,,,,,,,,,,,0.015378786625892283,,0.015378786625892283,,,,,,,,,,,,,,,,,,0.030757573251784565,,,0.020557941304000554,0.0088538234018818,,,0.020557941304000554,,,,,,,,,,,,,,,,,,,0.020557941304000554,,,,,,,,,,,,,0.020557941304000554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020557941304000554,,0.020557941304000554,,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.020557941304000554,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,0.026529333911469173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04659800028906792,,0.04659800028906792,0.04659800028906792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04659800028906792,,,,,,,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
