,cảnh,sát,giao,thông,có,quyền,còng,tay,bắt,người,vì,vài,hành,vi,biểu,hiện,phạm,chính,một,tài,xế,đã,bị,khống,chế,khóa,vào,cửa,sổ,bỏ,mặc,giữa,trời,mưa,những,chặn,kiểm,tra,ôtô,của,anh,trong,lúc,thi,công,vụ,lại,không,đeo,thẻ,ngành,trung,bình,dĩ,an,dương,trình,bày,khoảng,10h20,ngày,3,5,lái,xe,đến,đổ,đất,san,lấp,mặt,bằng,gần,ngã,ba,tân,vạn,xong,bảng,tên,hỏi,giấy,tờ,đồng,ý,đang,lưu,được,cùng,hai,113,đi,tới,hỗ,trợ,này,gọi,điện,cho,chủ,mang,nhưng,và,đòi,10,phút,sau,ông,phan,minh,phương,đội,phó,huyện,nguyễn,tấn,thành,lê,toàn,xã,thắng,jeep,vừa,lấy,nộp,tiền,phạt,chờ,bà,ấy,đem,về,sẽ,xuất,chấp,nhận,yêu,cầu,trụ,sở,ở,đó,giải,quyết,kể,tiếp,tại,ubnd,khi,đưa,tôi,liền,với,điều,kiện,chở,máy,ra,ngồi,thì,nhóm,quật,xuống,dùng,đánh,ngực,lên,ca,lan,can,rồi,ngoài,khác,chân,thang,đầu,giờ,làm,việc,buổi,chiều,họ,chuyển,nhà,vệ,sinh,nói,14h,tháo,để,15h15,ký,biên,bản,lập,11h,chứng,trương,hữu,trưởng,thấy,chuẩn,nên,ngăn,đây,là,vấn,đề,chứ,đâu,phải,tội,mà,các,trấn,áp,như,vậy,lát,giãy,giụa,đè,thụi,4,cái,19,mời,nội,dung,quá,trọng,tải,tình,trạng,chạy,rượt,đuổi,biết,trước,trần,nhơn,thừa,chuyện,sai,chung,tai,tiếng,còn,liệu,đúng,quy,nếu,luật,chưa
0,0.014710230800963633,0.014710230800963633,0.02363513899812238,0.021506883623207258,0.05401711638302208,0.034009255765092,0.028711625948125548,0.03182543011699128,0.034009255765092,0.017754139385184588,0.022913412632076594,0.034009255765092,0.04001572123586017,0.04001572123586017,0.034009255765092,0.034009255765092,0.017754139385184588,0.02700855819151104,0.020007860617930084,0.01591271505849564,0.01591271505849564,0.02700855819151104,0.01591271505849564,0.02700855819151104,0.02700855819151104,0.02700855819151104,0.01591271505849564,0.034009255765092,0.034009255765092,0.022913412632076594,0.02700855819151104,0.034009255765092,0.02700855819151104,0.02700855819151104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.01581349811103591,0.01581349811103591,,,,,,,,,,,0.043016900328549684,,,,,,,,,,,,,,,,,,,,,,0.05806840011174874,0.04926383715896468,0.04926383715896468,0.04926383715896468,0.07311989989494781,0.05806840011174874,0.017422732279605967,0.04926383715896468,0.03817139967814687,0.05806840011174874,0.027965400545350627,0.05806840011174874,0.05806840011174874,0.023119899894947806,0.04926383715896468,0.07311989989494781,0.07311989989494781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,0.022808224917177083,0.022808224917177083,,,,,,,,,,,,,,,,,,,,0.011615154853070643,,,,,,,,,,,0.048746599929965204,0.025547783456755416,0.02544759978543124,0.018643600363567086,0.048746599929965204,0.028677933552366457,0.038712266741165825,0.038712266741165825,0.048746599929965204,0.048746599929965204,0.038712266741165825,0.038712266741165825,0.048746599929965204,0.010542332074023938,0.028677933552366457,0.03284255810597645,0.03284255810597645,0.048746599929965204,0.048746599929965204,0.038712266741165825,0.038712266741165825,0.03284255810597645,0.038712266741165825,0.048746599929965204,0.048746599929965204,0.048746599929965204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.019766872638794883,0.019766872638794883,0.03175971802872695,0.028899874868684755,,,,,,,,,,,,,,,0.053771125410687105,,,,,,,,,,,,,,,,,0.06157979644870585,,,,,,,,,,,,0.028899874868684755,0.06157979644870585,,,,,,,,,,,,,,,,0.019766872638794883,,0.06157979644870585,,,,,,,,,,,0.07258550013968593,0.06157979644870585,0.06157979644870585,0.09139987486868476,0.053771125410687105,0.053771125410687105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,0.033028428421354006,,,,,,,0.0703769102270924,,,,,,,,,0.04887476767966517,0.04887476767966517,,,,,,,,,,,,,,,,0.0703769102270924,0.0703769102270924,,,,,,,,,,0.06605685684270801,,,,,,,,,,,,,,,,,0.02259071158719415,,,,,,,,,,,,,,,,,,,0.05453057096878123,0.05453057096878123,0.10445699984992543,0.10445699984992543,0.0703769102270924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0451814231743883,0.0451814231743883,0.03629682060425937,0.033028428421354006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05453057096878123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0829548573024982,0.0829548573024982,0.0829548573024982,0.061452714755070977,0.0829548573024982,0.10445699984992543,0.10445699984992543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,0.02631718259674279,,0.029362615137036047,,,0.0330899233296536,,,,,,,0.02631718259674279,0.02631718259674279,,,,,0.04466800008596057,,,,,,,,,,,,,,,,,0.029362615137036047,0.04466800008596057,0.02151184657334664,0.04466800008596057,,0.017784538380729083,,,,,,,,,,,,,,,,,0.012164229316181467,0.0330899233296536,,,,,,,,,,,,,,,,0.0330899233296536,0.0330899233296536,0.029362615137036047,0.029362615137036047,,,,,,,,,,,0.03789525935304976,0.056246076842267546,0.056246076842267546,0.03789525935304976,0.0330899233296536,0.0330899233296536,0.04466800008596057,0.029362615137036047,0.04466800008596057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.01757055345670656,0.01757055345670656,0.02823086046997951,0.025688777661053114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031072667272611806,,,,,,,,0.01064490977364809,0.02120633315452603,0.031072667272611806,,,,,,,,,,0.00878527672835328,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02389827796030538,0.032260222284304856,,,,,,,,,,,,0.04062216660830433,0.04062216660830433,0.027368798421647043,0.02120633315452603,0.04062216660830433,0.04062216660830433,0.02120633315452603,0.05473759684329409,0.032260222284304856,0.017147221052352758,0.04062216660830433,0.04062216660830433,0.032260222284304856,0.04062216660830433,0.032260222284304856,0.02120633315452603,0.027368798421647043,0.027368798421647043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013938185823684772,,,,,,,,,,,,0.01532867007405325,,,,0.06882704052567949,0.04645472008939899,,,,,,,0.02530159697765745,,,,,,,,,,,,,,,,,0.06882704052567949,0.06882704052567949,,,,,,,,,0.034413520262839746,,,,,,,,0.034413520262839746,,,,,,,,,,,,,,,,,,,,,,,0.04645472008939899,0.05849591991595825,0.05849591991595825,0.05849591991595825,0.05849591991595825,0.05849591991595825,0.05849591991595825,0.05849591991595825,0.05849591991595825,0.022372320436280502,0.05849591991595825,0.04645472008939899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01833971818905891,,,,,,,0.024336736731524002,,,,,0.020169302729017433,,,,,,,,,,,,,,,,,,,,0.05185667069364703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0401804207138388,,,0.0401804207138388,,,,,,,,,0.0401804207138388,0.05185667069364703,,,,,,,,,,,0.029437263731948028,,,0.07696831567889242,0.05185667069364703,0.07696831567889242,0.06112463169657762,0.05185667069364703,0.05185667069364703,0.06112463169657762,0.06112463169657762,0.06112463169657762,0.06112463169657762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
