,đề,nghị,truy,tố,học,sinh,phát,tán,truyện,sex,cô,giáo,thảo,cơ,quan,an,ninh,điều,tra,công,tiền,giang,đã,kết,thúc,vụ,án,truyền,bá,văn,hóa,phẩm,đồi,trụy,ở,huyện,gò,tây,5,trường,hợp,bị,khởi,đều,là,cấp,3,tháng,2,nguyễn,chí,hiếu,huy,phương,lớp,11a1,ptth,bán,vĩnh,bình,tải,có,nội,dung,mang,tên,cùng,10,ảnh,khỏa,thân,trên,mạng,internet,vào,đĩa,mềm,hai,người,sau,đó,in,ra,để,đọc,và,xem,những,tài,liệu,không,lành,mạnh,được,cho,một,số,bạn,còn,võ,thành,11a9,mượn,sao,giới,thiệu,nhiều,khác,gặp,thuê,tập,16,trang,với,giá,9,000,đồng,vks,can,liên,trình,lê,đình,trung,đỗ,cương,về,tội,hành,vi,của,đủ,yếu,cấu,danh,họ,tuổi,cứu,trách,nhiệm,hình,sự,lại,xử,lý,chính
0,0.01762768308319628,0.01762768308319628,0.013435034058061013,0.010460302234053871,0.013435034058061013,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.013435034058061013,0.02479506393233869,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.03525536616639256,0.01762768308319628,0.026870068116122026,0.026870068116122026,0.016305841943914583,0.01762768308319628,0.01762768308319628,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.01762768308319628,0.013435034058061013,0.013435034058061013,0.02479506393233869,0.02479506393233869,0.01762768308319628,0.01762768308319628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0.031380906702161614,0.04030510217418304,0.052883049249588844,,,,,,,,,,,,0.04030510217418304,0.04030510217418304,,,,,,,,,,,,,,,,,,,,0.04030510217418304,0.04030510217418304,0.052883049249588844,0.052883049249588844,0.07438519179701608,0.07438519179701608,0.052883049249588844,0.07438519179701608,0.052883049249588844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,0.013435034058061013,,0.01762768308319628,0.01762768308319628,0.01762768308319628,,,,,,,0.016305841943914583,,,,,,,,,,,,,0.013435034058061013,0.013435034058061013,,,0.01762768308319628,0.01762768308319628,,0.013435034058061013,,,,,,,,0.02479506393233869,0.02479506393233869,0.03525536616639256,0.01762768308319628,0.008152920971957292,0.02479506393233869,0.01762768308319628,0.01762768308319628,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.01762768308319628,0.01762768308319628,0.02479506393233869,0.02479506393233869,0.01762768308319628,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.01762768308319628,0.02479506393233869,0.02479506393233869,0.02479506393233869,0.013435034058061013,0.01762768308319628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10413926851582252,0.04393326938302627,0.10413926851582252,0.10413926851582252,0.05642714304385626,0.10413926851582252,0.05642714304385626,0.10413926851582252,0.04393326938302627,0.10413926851582252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,0.02821357152192813,,0.037018134474712194,0.037018134474712194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017121134041110316,,0.037018134474712194,,,,,,,,,0.037018134474712194,0.037018134474712194,,,,,,,,0.037018134474712194,,,,,,,,,,,,,,0.021966634691513134,,0.037018134474712194,0.05206963425791126,0.05206963425791126,0.05206963425791126,0.05206963425791126,0.05206963425791126,0.037018134474712194,0.02821357152192813,0.05206963425791126,0.05206963425791126,0.05206963425791126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,0.024458762915871877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024458762915871877,,,0.052883049249588844,,,,,,,,,,,,,,,,,,,,,0.04030510217418304,0.052883049249588844,,,,,0.04030510217418304,,0.04030510217418304,,,,,,,,,,,0.04030510217418304,,,,0.052883049249588844,0.052883049249588844,0.052883049249588844,0.07438519179701608,0.07438519179701608,0.07438519179701608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,0.02969849633887171,,,,,,,,,,,0.018022246359063486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018022246359063486,,,,,,,,,,,,,,,,,,,,,,,,0.02969849633887171,,,0.023122773359487505,,,0.02969849633887171,,,,,,,,,,,,,0.02969849633887171,,,,,,,,,,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,0.05481014132411711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5206963425791126,0.5206963425791126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.01510944264273967,0.01510944264273967,0.01151574347833801,0.008965973343474747,,,,,,,,,,0.01510944264273967,0.03021888528547934,0.03021888528547934,0.01510944264273967,0.01151574347833801,0.01151574347833801,0.02096465392789018,0.01510944264273967,0.01510944264273967,,,,,,0.01510944264273967,0.01510944264273967,0.03021888528547934,0.01510944264273967,0.01510944264273967,0.01151574347833801,0.01151574347833801,,,,,0.01151574347833801,,,0.01510944264273967,,,0.01510944264273967,,0.01510944264273967,,,0.03021888528547934,0.01510944264273967,0.006988217975963393,,,,,,,,,,,,,,,0.01510944264273967,,,,,,,,,,,,0.008965973343474747,,,,,,,0.008965973343474747,,,,,,,,,,,,,,0.01510944264273967,0.01510944264273967,,,,,,,,,,,,,,,,,,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.02125291194200459,0.01510944264273967,,,,,,,,,,,,,,,,,,
9,,,0.025648701383571025,0.019969667901375575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025648701383571025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019969667901375575,,,,,0.025648701383571025,,0.019969667901375575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03365284952246563,0.03365284952246563,0.04733603114355569,0.04733603114355569,0.09467206228711138,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.04733603114355569,0.04733603114355569,,,,
