,nhân,viên,ngân,hàng,giả,chữ,ký,của,khách,để,rút,tiền,cơ,quan,cảnh,sát,điều,tra,công,an,tp,hcm,ngày,19,5,đã,bắt,tạm,giam,trịnh,thị,mai,kế,toán,tiết,kiệm,chi,nhánh,thương,mại,cổ,phần,các,doanh,nghiệp,ngoài,quốc,vp,bank,3,chiếm,đoạt,400,triệu,đồng,gửi,thượng,đế,ở,nạn,đầu,tiên,vụ,án,là,bà,t,n,quận,sau,khi,340,hằng,tháng,vẫn,trả,lãi,cho,như,không,có,chuyện,gì,xảy,ra,những,thế,còn,đứng,tên,hợp,vay,50,rồi,nhập,vào,sổ,đó,tiếp,tục,khoản,trên,với,thủ,đoạn,tương,tự,10,b,k,p,l,8,2003,hành,vi,bị,phát,hiện,cô,ta,nộp,lại,250
0,0.018518518518518517,0.024093148067851504,0.030515138553493287,0.019365879454827317,0.015257569276746643,0.015257569276746643,0.012943888969185535,0.007369259419852548,0.01114925909866597,0.024093148067851504,0.015257569276746643,0.01114925909866597,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.04818629613570301,0.04818629613570301,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.015257569276746643,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.018518518518518517,0.018518518518518517,0.008443184363883784,0.018518518518518517,0.018518518518518517,0.015257569276746643,0.015257569276746643,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.04818629613570301,0.024093148067851504,0.024093148067851504,0.024093148067851504,0.012943888969185535,0.012943888969185535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.03923374956877708,0.04979797574098453,0.03923374956877708,0.03923374956877708,0.0332842859207628,0.03789904844495596,0.028669523396569637,,,0.028669523396569637,,,,,,,,,,,,,,,,,,,,0.021711045507129732,,,,,,,,,,,,,,,,,,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.06195380931733244,0.024898987870492266,0.028669523396569637,0.047619047619047616,0.06195380931733244,0.06195380931733244,0.03923374956877708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.1,,,,,,,0.03979400086720376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13010299956639812,0.13010299956639812,0.13010299956639812,0.13010299956639812,0.13010299956639812,0.13010299956639812,0.06020599913279624,0.06989700043360189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6989700043360189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6989700043360189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,0.27463624698143957,,,,,,,,,,0.4336766652213271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,0.030610769897849048,,,0.0633775954572553,0.04631230702522788,,,,,,,,,,,,,,,,,,,,,,,0.0633775954572553,0.0633775954572553,,,,,,,,,,,,,,,,,,0.040221441944641355,0.04631230702522788,0.07692307692307693,,,,,,,,,,0.04631230702522788,,0.05376692341046299,,0.07692307692307693,0.10007923043569088,0.10007923043569088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.026143937264016884,,,,,0.03010299956639812,,,0.03010299956639812,,,,,,,,,,,,,,,,,,,,0.02279659778248622,,,,,,,,,,,,,,,,0.034948500216800946,0.034948500216800946,,,,,,,,,,0.04119543704721594,,,,,,,,,,,,,,0.06505149978319906,0.05,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.05,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.06505149978319906,0.06505149978319906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05065910618330271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06689555459199582,,0.0776633338151132,,,,,,,,,,,,0.1111111111111111,,,,,,0.144558888407109,0.144558888407109,0.144558888407109,0.144558888407109,0.144558888407109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,0.029048819182240976,,,0.0388316669075566,0.022107778259557644,0.03344777729599791,,,,,,,,,,,,,,,,,,,,,,,,,,0.04577270783023993,0.04577270783023993,,,,,,,,,,,,0.0388316669075566,0.0388316669075566,,,,,0.029048819182240976,0.06689555459199582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0722794442035545,0.0722794442035545,0.05555555555555555,0.0722794442035545,0.0722794442035545,0.0722794442035545,0.0722794442035545,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,0.08239087409443188,0.08239087409443188,0.06989700043360189,,,,,,,,,,,,,,,,,,,,,,,,,0.04559319556497244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06020599913279624,,0.06989700043360189,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13010299956639812,0.13010299956639812,0.13010299956639812,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,0.2059771852360797,0.1505149978319906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3252574989159953,0.3252574989159953,,,,,,,,,,,,,,,,,,,,,,
