,đàn,em,của,hà,tí,tồ,sau,15,năm,lẩn,trốn,bị,bắt,ra,sao,ngày,14,5,vũ,văn,bang,trùm,buôn,bán,ma,túy,cỡ,bự,đệ,tử,đã,công,an,ninh,bình,giữ,1989,quả,tang,vận,chuyển,23,kg,thuốc,phiện,nhưng,hắn,khỏi,nhà,tạm,7,đường,dây,do,cầm,đầu,triệt,phá,nhiều,đối,tượng,liên,quan,lĩnh,án,hình,trai,nhận,chung,thân,riêng,thoát,lưới,pháp,luật,thấy,sóng,yên,biển,lặng,mới,xuất,lộ,diện,quê,ở,huyện,kim,sơn,vào,những,1980,vùng,đất,địa,ấy,người,ta,xôn,xao,bàn,tán,về,sự,giàu,có,nhanh,chóng,hai,anh,ruột,đình,vang,không,ai,lý,giải,nổi,vì,mọi,việc,vỡ,lẽ,khi,21,10,thạch,thành,thanh,hoá,với,bản,chất,cáo,già,chỉ,8,cũng,biệt,tăm,từ,đó,chồng,bỏ,bà,con,xã,hùng,tiến,phạm,thị,đắc,vợ,lúc,nào,ủ,rũ,như,tàu,lá,héo,gần,đây,chị,ăn,tươm,tất,lạ,thường,mỗi,lần,đi,chợ,đều,mua,thức,ngon,điều,lâu,nay,chẳng,bao,giờ,xảy,hàng,xóm,kháo,rằng,4,đứa,làm,xa,1,mình,lượng,chiếu,cói,gia,lại,rất,cả,bất,được,báo,phương,lập,đêm,13,các,lực,bố,trí,quanh,mở,cửa,buổi,sáng,trinh,sát,ập,khống,chế,cho,cô,tin,luôn,là,động,nguy,hiểm,nên,mũi,tác,thứ,ấp,thì,kịp,trở,tay,đang,ngồi,co,ro,trong,xó,tối,bên,đống,đồ,nghề,còng,số,bập,kẻ,lệnh,truy,nã,qua
0,0.03148141177937903,0.020121381905101352,0.02967853763799526,0.048628061860473235,0.048628061860473235,0.048628061860473235,0.01714665008109421,0.020121381905101352,0.012954001055958944,0.024314030930236617,0.012954001055958944,0.040242763810202704,0.03429330016218842,0.020121381905101352,0.024314030930236617,0.01483926881899763,0.024314030930236617,0.020121381905101352,0.024314030930236617,0.024314030930236617,0.0066863478470403385,0.024314030930236617,0.024314030930236617,0.024314030930236617,0.020121381905101352,0.020121381905101352,0.03148141177937903,0.03148141177937903,0.03148141177937903,0.024314030930236617,0.01714665008109421,0.01483926881899763,0.020121381905101352,0.020121381905101352,0.020121381905101352,0.020121381905101352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,0.025908002111917888,,0.025908002111917888,0.040242763810202704,0.03429330016218842,,,,,,,,0.013372695694080677,,,,,,,,,,0.03429330016218842,,,,,0.040242763810202704,0.048628061860473235,0.048628061860473235,0.048628061860473235,0.048628061860473235,0.048628061860473235,0.048628061860473235,0.048628061860473235,0.048628061860473235,0.048628061860473235,0.040242763810202704,0.03429330016218842,0.048628061860473235,0.02967853763799526,0.048628061860473235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.06382433119187113,0.06382433119187113,0.06382433119187113,0.04500995646287231,,0.03400425277189223,,,0.05281862750089105,,,,,,,,,,,,,0.05281862750089105,0.05281862750089105,,,,,,,,,,,,,,,,,,,,,,,,,0.08263870592086996,0.08263870592086996,0.08263870592086996,0.08263870592086996,0.08263870592086996,0.06382433119187113,0.08263870592086996,0.08263870592086996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0.03521241833392737,0.02596872043324585,,,,,,,,,,,,,,,,,,0.023402217464641183,,,,,,,,,0.042549554127914085,0.03000663764191487,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042549554127914085,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.08509910825582817,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,0.0550924706139133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,0.04500995646287231,0.05281862750089105,0.03400425277189223,0.06382433119187113,0.03400425277189223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04500995646287231,,,,,,,,,0.06382433119187113,,,,,,,,,,,,,,,,,,,,0.05281862750089105,0.08263870592086996,0.08263870592086996,0.08263870592086996,0.08263870592086996,0.08263870592086996,0.08263870592086996,0.08263870592086996,0.06382433119187113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,0.03510332619696178,,,,,,,,,,,,,0.1056372550017821,0.1056372550017821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1652774118417399,0.1056372550017821,0.12764866238374226,0.1652774118417399,0.12764866238374226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.020121381905101352,0.01483926881899763,,,,,,0.012954001055958944,,,,,,0.024314030930236617,,,,0.048628061860473235,0.024314030930236617,0.0066863478470403385,,,0.024314030930236617,,,,,,,,,,,,,,,,,,,,,,0.020121381905101352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020121381905101352,,,0.024314030930236617,0.01714665008109421,0.024314030930236617,0.03148141177937903,0.03148141177937903,0.03148141177937903,0.03148141177937903,0.03148141177937903,0.024314030930236617,0.020121381905101352,0.03148141177937903,0.03148141177937903,0.03148141177937903,0.03148141177937903,0.024314030930236617,0.03148141177937903,0.03148141177937903,0.024314030930236617,0.03148141177937903,0.03148141177937903,0.024314030930236617,0.03148141177937903,0.03148141177937903,0.03148141177937903,0.03148141177937903,0.020121381905101352,0.03148141177937903,0.03148141177937903,0.03148141177937903,0.03148141177937903,0.03148141177937903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,0.02769843474638296,,,0.023971126553765404,,,,,0.010801023445219009,,,,,,,,,,,0.023971126553765404,0.03250377076977911,,,,0.039276511502689924,0.039276511502689924,0.039276511502689924,0.039276511502689924,0.039276511502689924,0.039276511502689924,0.039276511502689924,0.039276511502689924,0.039276511502689924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039276511502689924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.039276511502689924,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,0.0508545882589969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.02967853763799526,,,,0.03429330016218842,,,,0.025908002111917888,,,,,0.02967853763799526,,,,,0.013372695694080677,0.048628061860473235,0.048628061860473235,,0.040242763810202704,0.040242763810202704,,,,,0.03429330016218842,,,,,0.040242763810202704,,,,,,,,,,,,0.048628061860473235,0.02967853763799526,0.048628061860473235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.06296282355875805,0.048628061860473235,0.048628061860473235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,0.08903561291398578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10287990048656527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14588418558141972,0.18888847067627418,0.18888847067627418,0.14588418558141972,0.14588418558141972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
