,vụ,buôn,lậu,ở,cảng,sài,gòn,do,một,nhóm,người,có,tổ,chức,đó,là,nhận,định,ban,đầu,của,cơ,quan,điều,tra,sau,4,ngày,xem,xét,các,vấn,đề,liên,đến,hoạt,động,cửa,hàng,miễn,thuế,tuy,lệnh,khởi,tố,án,và,bắt,giam,những,chưa,tiến,hành,nhưng,khẳng,sẽ,phải,thực,hiện,biện,pháp,này,trong,khi,ông,lê,như,phấn,giám,đốc,công,ty,cổ,phần,xuất,nhập,khẩu,dịch,đã,văn,gửi,bộ,an,viện,kiểm,sát,tổng,hải,báo,chí,rằng,số,bị,tịch,thu,hoàn,toàn,hợp,chứ,không,ngay,lúc,kê,niêm,phong,kho,quầy,chúng,tôi,cử,đại,diện,nhân,sự,tới,xin,được,tiếp,xúc,với,đồng,trách,nhiệm,để,nắm,tình,hình,cho,nay,cũng,biên,bản,khám,nên,cụ,thể,hóa,trên,mà,lực,lượng,đều,nguồn,gốc,xứ,rõ,ràng,lệ,đây,về,kinh,doanh,tại,thành,thủ,thục,theo,đúng,qui,nhà,nước,giải,trình,đặc,biệt,nhấn,mạnh,đơn,vị,trực,quản,lý,dõi,thời,gian,dài,nơi,đường,dây,trường,sai,phạm,nếu,gây,ra,bởi,cá,nào,thì,chịu,trước,luật,nhiên,việc,đưa,ngoài,tiêu,thụ,làm,chặt,chẽ,chủ,trương,cách,hệ,thống,rất,tinh,vi,xác,đoạn,lận,phản,ánh,bạn,đọc,vnexpress,nguyễn,tấn,phát,việt,kiều,mỹ,viên,bán,ghi,họ,tên,passport,lại,yêu,cầu,ký,hoá,kịp,in,chính,kẽ,hở,thêm,vào,mua,lấy,chênh,tuồn,phía,hoàng,nhượng,phó,bày,tỏ,điểm,giữ,vì,dán,tem,đâu,hay,cảnh,cả,chục,xe,mặt,khiến,mọi,trở,quá,nghiêm,trọng,vẻ,mang,tính,biết,thuộc,nam,quyền,can,thiệp,song,đóng,địa,bàn,bảo,vệ,vẫn,khỏi,trùng,khớp,giấy,tờ,chất,chỉ,thức,thế,coi,chiếc,rượu,cần
0,0.016094841075961822,0.018810900567446602,0.012266770226925272,0.029183101757004483,0.024533540453850543,0.02797620332548641,0.02797620332548641,0.018810900567446602,0.013988101662743205,0.029183101757004483,0.018810900567446602,0.00654413034052133,0.013988101662743205,0.013988101662743205,0.013988101662743205,0.007443971322221876,0.018810900567446602,0.009550710735440492,0.022638971416483154,0.029183101757004483,0.019101421470880984,0.013988101662743205,0.019101421470880984,0.016094841075961822,0.012266770226925272,0.022638971416483154,0.029183101757004483,0.029183101757004483,0.029183101757004483,0.022638971416483154,0.013988101662743205,0.029183101757004483,0.029183101757004483,0.022638971416483154,0.016094841075961822,0.018810900567446602,0.018810900567446602,0.010811405234955421,0.003006580394919162,0.010811405234955421,0.010811405234955421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.023882667403040125,,,,,,,,,,0.027912949229114314,,,,,,,0.014172022381621375,,,,0.020756537951167334,0.02834404476324275,0.023882667403040125,0.018202304207695565,,,,,,0.020756537951167334,,,0.03359331242445888,,,,,,,,0.027912949229114314,0.03359331242445888,0.04330395744587762,0.04330395744587762,0.04330395744587762,0.012521941012351013,0.03359331242445888,0.04330395744587762,0.04330395744587762,0.027912949229114314,0.04330395744587762,0.04330395744587762,0.023882667403040125,0.023882667403040125,0.03359331242445888,0.01604273034864353,0.03359331242445888,0.027912949229114314,0.04330395744587762,0.027912949229114314,0.03359331242445888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.01156816702334756,,0.00881674110060254,,0.00881674110060254,0.010053948070096679,0.010053948070096679,,,,,0.004703593682249706,,,0.010053948070096679,0.005350354387846973,,0.006864573341097854,,,,0.010053948070096679,0.006864573341097854,,,,,,,,0.010053948070096679,,,,0.01156816702334756,,,,0.006482938976544443,,,,,,,,0.012130630355715044,,,,,,,,0.01156816702334756,,0.00777069751262421,,,,0.013520334782852247,,0.01156816702334756,0.016271760705597268,0.010053948070096679,0.02097535438784697,0.013520334782852247,0.013520334782852247,0.010053948070096679,0.013520334782852247,0.024261260711430088,0.01763348220120508,0.013520334782852247,0.013520334782852247,0.01156816702334756,0.010053948070096679,0.010053948070096679,0.016271760705597268,0.01763348220120508,0.016271760705597268,0.02097535438784697,0.016271760705597268,0.010053948070096679,0.02097535438784697,0.01156816702334756,0.01156816702334756,0.013520334782852247,0.01156816702334756,0.02097535438784697,0.016271760705597268,0.016271760705597268,0.00777069751262421,0.02097535438784697,0.02097535438784697,0.013520334782852247,0.01156816702334756,0.013520334782852247,0.01156816702334756,0.016271760705597268,0.005350354387846973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,0.005190172339034158,0.011094011663554955,0.011094011663554955,,,,,0.01795504629583147,,,,,,,,,,,,0.011094011663554955,,,,,,,0.008574562772550852,0.007153587836186972,0.008574562772550852,0.008574562772550852,,,,,,0.006692761575566921,0.01795504629583147,,,,,,0.012764873956797308,,,,,,,,,0.012764873956797308,,,,,,0.011094011663554955,0.014918990105216271,0.020078284726700764,0.009728817766182113,,,,,,,0.009728817766182113,,,,0.02218802332710991,,0.012764873956797308,,,,,0.01795504629583147,,,,,,,,,,0.0059038393245207975,0.023145218634865624,0.023145218634865624,0.023145218634865624,0.01795504629583147,0.01795504629583147,0.014918990105216271,0.01795504629583147,0.012764873956797308,0.011094011663554955,0.023145218634865624,0.04629043726973125,0.04629043726973125,0.011094011663554955,0.01795504629583147,0.023145218634865624,0.023145218634865624,0.019457635532364227,0.029837980210432543,0.023145218634865624,0.014918990105216271,0.023145218634865624,0.012764873956797308,0.012764873956797308,0.01795504629583147,0.01795504629583147,0.01795504629583147,0.012764873956797308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,0.041204829814406846,,,,,,,,,,,,,0.04959012786467738,,,,,0.03525536616639256,,,,,,,,,,,,,,,,0.041204829814406846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016305841943914583,,,,,,,,0.03525536616639256,0.0306406036421994,,,,,,,,0.05374013623224405,,,,,,,,0.04959012786467738,0.04959012786467738,0.03525536616639256,0.041204829814406846,0.06392488956296219,0.041204829814406846,0.06392488956296219,0.06392488956296219,0.06392488956296219,0.04959012786467738,0.06392488956296219,0.041204829814406846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,0.00813594582875625,,,,0.00925466704924882,,,,,,,,,,,,,,,,,,,,,,,0.011213732283752552,0.013441206508322957,0.013441206508322957,,,,,,0.02098271196664224,,,,,,,,,,,,,,,,0.02000980241876335,,,,,,,,0.01049135598332112,,,,0.02000980241876335,,,,0.015250579201042232,,,0.0281457482475196,0.017390612878005068,,,,,,,,,0.013441206508322957,,,,0.02000980241876335,0.04677305005959696,0.02000980241876335,,,,,,0.0281457482475196,0.0281457482475196,0.02338652502979848,0.0281457482475196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034781225756010135,0.0281457482475196,0.0281457482475196,0.02338652502979848,0.02000980241876335,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.02338652502979848,0.0281457482475196,0.0281457482475196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,0.00925466704924882,,0.011873856590007099,,,0.011873856590007099,,,,,,,,,,0.017390612878005068,,,,,,,0.013441206508322957,0.007475821522501701,0.013441206508322957,0.013441206508322957,,,,,,0.01049135598332112,,,,,,,,,,,,,,,,,,0.017390612878005068,,,0.02338652502979848,,,0.01049135598332112,0.015250579201042232,,,,0.034781225756010135,0.017390612878005068,,0.015250579201042232,,,,,,,,,,,,,0.013441206508322957,,,,0.02000980241876335,,,,,,,,,,,,,,,,,,,,,0.030501158402084463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0281457482475196,0.0281457482475196,0.02338652502979848,0.02338652502979848,0.0281457482475196,0.0281457482475196,0.0281457482475196,0.03628169407627584,0.0281457482475196,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,0.03628169407627584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.016966694629461643,0.011064145694873776,,,,,,0.025233438293575976,,,0.005902548934587867,0.012616719146787988,0.012616719146787988,,0.013428340424400246,,0.008614366545691424,,,0.008614366545691424,,,,,,,,,,,,,,,0.016966694629461643,0.016966694629461643,0.01950292709050782,0.005423635222207116,0.01950292709050782,0.01950292709050782,,,,,,0.007611375909468263,,,,,,,,0.014516915480279292,,0.00975146354525391,,,,,,0.014516915480279292,,0.012616719146787988,,,0.016966694629461643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006714170212200123,,,,,,,,0.014516915480279292,0.012616719146787988,,,,,,,,,0.016966694629461643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016966694629461643,0.016966694629461643,,,,,0.04083892882973432,,,,,,,0.026322013349455022,0.026322013349455022,0.026322013349455022,0.026322013349455022,0.014516915480279292,0.02041946441486716,0.016966694629461643,0.02041946441486716,0.016966694629461643,0.026322013349455022,0.026322013349455022,0.02041946441486716,0.026322013349455022,0.026322013349455022,0.026322013349455022,0.026322013349455022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,0.01308826068104266,,,0.02797620332548641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021622810469910842,,,,0.037621801134893204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032189682151923645,,,,,,,,,,,,,,,0.05595240665097282,,,,,,,,,0.032189682151923645,0.032189682151923645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04527794283296631,0.04527794283296631,0.04527794283296631,0.058366203514008966,0.058366203514008966,0.032189682151923645,0.058366203514008966,0.09055588566593262,0.04527794283296631,0.037621801134893204,0.058366203514008966,0.037621801134893204,0.058366203514008966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,0.018202304207695565,,,,,,,,,0.009710645021418747,0.020756537951167334,0.020756537951167334,,0.011045892929748589,,,,,,0.020756537951167334,0.014172022381621375,0.023882667403040125,0.018202304207695565,,,,,,,,,,,,,,0.004461377360202628,,,0.027912949229114314,,,,,,,,,,,,,,,0.01604273034864353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03359331242445888,,,,,,,,,0.011045892929748589,,,,,,,,,,,,,0.020756537951167334,,,,0.018202304207695565,,,,,,,,,,,0.027912949229114314,,,,,,,,0.027912949229114314,,,0.03359331242445888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023882667403040125,,0.03359331242445888,0.03359331242445888,,,,,0.03359331242445888,0.020756537951167334,0.03359331242445888,0.03359331242445888,0.04330395744587762,0.04330395744587762,0.027912949229114314,0.04330395744587762,0.04330395744587762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
