,chi,nhánh,bitocimex,có,dấu,hiệu,bất,minh,về,tài,chính,đoàn,thanh,tra,ubnd,tỉnh,bình,phước,kết,luận,tình,hình,của,tp,hcm,thuộc,công,ty,thương,mại,xuất,nhập,khẩu,du,lịch,rất,phức,tạp,thu,hợp,pháp,trong,năm,2003,hơn,710,lao,động,đi,nước,ngoài,trên,118,tỷ,đồng,tuy,nhiên,qua,kiểm,số,chứng,từ,là,25,tiền,còn,lại,không,thể,hiện,sổ,sách,kế,toán,chỉ,biên,nhận,tay,và,ghi,chép,tương,tự,tổng,đã,117,nhưng,được,28,cho,biết,vào,thời,điểm,quý,i,2004,duy,nhất,phó,giám,đốc,ông,lê,anh,tuấn,mặt,để,làm,việc,với,toàn,bộ,nhân,viên,như,thủ,quỹ,đều,nghỉ,đầu,tháng,5,do,trục,trặc,thực,96,sang,malaysia,này,phải,trước,hạn,họ,đến,đòi,quyền,lợi,giải,quyết,thỏa,đáng
0,0.016723888647998956,0.014081897841170593,0.039969675779541664,0.014081897841170593,0.039969675779541664,0.039969675779541664,0.039969675779541664,0.019984837889770832,0.014410208340437844,0.039969675779541664,0.039969675779541664,0.01114925909866597,0.01114925909866597,0.008835578791104859,0.019984837889770832,0.039969675779541664,0.039969675779541664,0.039969675779541664,0.019984837889770832,0.019984837889770832,0.019984837889770832,0.019984837889770832,0.014410208340437844,0.019984837889770832,0.019984837889770832,0.019984837889770832,0.019984837889770832,0.019984837889770832,0.019984837889770832,0.019984837889770832,0.01114925909866597,0.019984837889770832,0.01114925909866597,0.019984837889770832,0.019984837889770832,0.019984837889770832,0.019984837889770832,0.019984837889770832,0.01114925909866597,0.014410208340437844,0.019984837889770832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0158436839823148,0.02001111798482137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0316873679646296,,0.0316873679646296,,,,,,0.0316873679646296,,,0.04095532896756019,0.056799012949874994,0.056799012949874994,0.0316873679646296,0.056799012949874994,0.04095532896756019,0.04095532896756019,0.056799012949874994,0.04095532896756019,0.056799012949874994,0.02511164498524539,0.056799012949874994,0.02511164498524539,0.02511164498524539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.02534741611410707,,,,,,,,,,0.03180808364797749,,,,,,,,,,,,,,,,,,,,,,,,,0.04013733275519749,,,,,,0.04013733275519749,,,,,,,,,0.03180808364797749,0.03180808364797749,0.07194541640317499,0.07194541640317499,0.07194541640317499,0.07194541640317499,0.03180808364797749,0.05187675002557624,0.05187675002557624,0.05187675002557624,0.07194541640317499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,0.017282329168709365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021687329759984657,,,,,,,,0.021687329759984657,,,,,0.035370511381074714,0.04905369300216477,0.04905369300216477,0.02736636324218011,0.035370511381074714,0.02736636324218011,0.07074102276214943,0.07074102276214943,0.02736636324218011,0.02736636324218011,0.035370511381074714,0.04905369300216477,0.04905369300216477,0.04905369300216477,0.04905369300216477,0.04905369300216477,0.04905369300216477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.02736636324218011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043374659519969314,,0.043374659519969314,0.043374659519969314,,,,,0.043374659519969314,,,,,0.07074102276214943,,,,,,,,,,,,,,,,,0.09810738600432954,0.09810738600432954,0.09810738600432954,0.07074102276214943,0.09810738600432954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04013733275519749,,,,,,,0.03180808364797749,,0.03180808364797749,,,,,,,0.05187675002557624,0.05187675002557624,,,,,,,0.05187675002557624,0.04013733275519749,0.05187675002557624,0.05187675002557624,0.04013733275519749,0.04013733275519749,0.05187675002557624,,,,,,,,,,,,0.05187675002557624,0.05187675002557624,0.07194541640317499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.01157807675630697,0.014623509296600232,,0.014623509296600232,,,,,,,,0.02315615351261394,0.04631230702522788,0.03670163497843557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029928894245524758,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.029928894245524758,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.029928894245524758,0.029928894245524758,0.041506971001831726,0.041506971001831726,0.041506971001831726,0.041506971001831726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.031684270142633836,,,,,,,,0.050171665943996864,0.050171665943996864,0.039760104559971865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050171665943996864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0648459375319703,0.0648459375319703,,,,,0.08993177050396874,0.08993177050396874,0.08993177050396874,0.0648459375319703,0.08993177050396874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047712125471966245,,,,,,,,,,,,,0.06020599913279624,0.06020599913279624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1079181246047625,0.1079181246047625,0.1079181246047625,0.1079181246047625,0.1079181246047625,0.1079181246047625,0.1079181246047625,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1945378125959109,,,,,,,,,,,,,,,,,,,,,,,,,0.1945378125959109,,,,,,,,,0.2697953115119062,0.2697953115119062,,,,,,,,,,,,,,,,,,,,,,,
